Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,background,genotype,plasmid,source,treatment,rrna depletion,GEO Accession
SRR16633390,126180287,9463521525,75,3355,SRX12834332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779164,SAMN22771628,simple,4932,Saccharomyces cerevisiae,GSM5661108,GEO,SRA1319938,11,2022,Ganesan,HFY114,WT_EV_Nterm_NoCHX rep1_riboseq,HFY114,W303,Wild-type,YEplac112,total ribosomes,untreated,Ribo-Zero Gold,GSM5661108
SRR16633391,131422895,9856717125,75,3524,SRX12834333,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779165,SAMN22771629,simple,4932,Saccharomyces cerevisiae,GSM5661109,GEO,SRA1319938,11,2022,Ganesan,HFY114,WT_EV_Nterm_NoCHX rep2_riboseq,HFY114,W303,Wild-type,YEplac112,total ribosomes,untreated,Ribo-Zero Gold,GSM5661109
SRR16633392,102782132,7708659900,75,2641,SRX12834334,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779170,SAMN22771630,simple,4932,Saccharomyces cerevisiae,GSM5661110,GEO,SRA1319938,11,2022,Ganesan,HFY871,FLAGUpf1_NoCHX rep1_riboseq,HFY871,W303,upf1::HIS3,pG1-FLAG-UPF1,total ribosomes,untreated,Ribo-Zero Gold,GSM5661110
SRR16633393,124081040,9306078000,75,3164,SRX12834335,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779166,SAMN22771631,simple,4932,Saccharomyces cerevisiae,GSM5661111,GEO,SRA1319938,11,2022,Ganesan,HFY871,FLAGUpf1_NoCHX rep2_riboseq,HFY871,W303,upf1::HIS3,pG1-FLAG-UPF1,total ribosomes,untreated,Ribo-Zero Gold,GSM5661111
SRR16633394,124065294,9304897050,75,3232,SRX12834336,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779167,SAMN22771632,simple,4932,Saccharomyces cerevisiae,GSM5661112,GEO,SRA1319938,11,2022,Ganesan,HFY115,FLAGUpf2_NoCHX rep1_riboseq,HFY115,W303,nmd2::HIS3,YEplac112-FLAG-UPF2,total ribosomes,untreated,Ribo-Zero Gold,GSM5661112
SRR16633395,132593384,9944503800,75,3450,SRX12834337,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779168,SAMN22771633,simple,4932,Saccharomyces cerevisiae,GSM5661113,GEO,SRA1319938,11,2022,Ganesan,HFY115,FLAGUpf2_NoCHX rep2_riboseq,HFY115,W303,nmd2::HIS3,YEplac112-FLAG-UPF2,total ribosomes,untreated,Ribo-Zero Gold,GSM5661113
SRR16633396,124733288,9354996600,75,3166,SRX12834338,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779169,SAMN22771634,simple,4932,Saccharomyces cerevisiae,GSM5661114,GEO,SRA1319938,11,2022,Ganesan,HFY861,FLAGUpf3_NoCHX rep1_riboseq,HFY861,W303,upf3::HIS3,YEplac195-TPI-FLAG-UPF3,total ribosomes,untreated,Ribo-Zero Gold,GSM5661114
SRR16633397,133419664,10006474800,75,3469,SRX12834339,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779171,SAMN22771635,simple,4932,Saccharomyces cerevisiae,GSM5661115,GEO,SRA1319938,11,2022,Ganesan,HFY861,FLAGUpf3_NoCHX rep2_riboseq,HFY861,W303,upf3::HIS3,YEplac195-TPI-FLAG-UPF3,total ribosomes,untreated,Ribo-Zero Gold,GSM5661115
SRR16633398,135947167,10196037525,75,3633,SRX12834340,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779172,SAMN22771609,simple,4932,Saccharomyces cerevisiae,GSM5661116,GEO,SRA1319938,11,2022,Ganesan,HFY114,WT_EV_Nterm_CHX rep1_riboseq,HFY114,W303,Wild-type,YEplac112,total ribosomes,cycloheximide,Ribo-Zero Gold,GSM5661116
SRR16633399,132428361,9932127075,75,3529,SRX12834341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP343728,PRJNA776169,36192133,"",SRS10779173,SAMN22771610,simple,4932,Saccharomyces cerevisiae,GSM5661117,GEO,SRA1319938,11,2022,Ganesan,HFY114,WT_EV_Nterm_CHX rep2_riboseq,HFY114,W303,Wild-type,YEplac112,total ribosomes,cycloheximide,Ribo-Zero Gold,GSM5661117
