Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,GEO Accession
SRR11728138,22032519,641150000,29,285,SRX8287432,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609249,SAMN14848304,simple,511693,Escherichia coli BL21,GSM4521027,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,Ribo_Api_A,Bacterial culture,BL21,Apidaecin,GSM4521027
SRR11728139,15977217,456361937,28,204,SRX8287433,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609250,SAMN14848303,simple,511693,Escherichia coli BL21,GSM4521028,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,Ribo_Api_B,Bacterial culture,BL21,Apidaecin,GSM4521028
SRR11728140,47805182,1356765262,28,591,SRX8287434,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609251,SAMN14848302,simple,511693,Escherichia coli BL21,GSM4521029,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,Ribo_Control_A,Bacterial culture,BL21,Control (untreated),GSM4521029
SRR11728141,19004981,544434360,28,242,SRX8287435,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609252,SAMN14848301,simple,511693,Escherichia coli BL21,GSM4521030,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,Ribo_Control_B,Bacterial culture,BL21,Control (untreated),GSM4521030
SRR11728142,25706349,726184822,28,303,SRX8287436,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609253,SAMN14848300,simple,511693,Escherichia coli BL21,GSM4521031,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,Ribo_Api_Pmn,Bacterial culture,BL21,Apidaecin + puromycin in lysate,GSM4521031
SRR11728143,23980193,680800251,28,283,SRX8287437,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609254,SAMN14848299,simple,511693,Escherichia coli BL21,GSM4521032,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,Ribo_Control_Pmn,Bacterial culture,BL21,Control (untreated) + puromycin in lysate,GSM4521032
SRR11728144,27927014,856454894,30,376,SRX8287438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609255,SAMN14848298,simple,511693,Escherichia coli BL21,GSM4521033,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,RNA_Api_A,Bacterial culture,BL21,Apidaecin,GSM4521033
SRR11728145,20988562,641691280,30,283,SRX8287439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609256,SAMN14848297,simple,511693,Escherichia coli BL21,GSM4521034,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,RNA_Api_B,Bacterial culture,BL21,Apidaecin,GSM4521034
SRR11728146,22591928,697158410,30,306,SRX8287440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609257,SAMN14848296,simple,511693,Escherichia coli BL21,GSM4521035,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,RNA_Control_A,Bacterial culture,BL21,Control (untreated),GSM4521035
SRR11728147,21288738,655327947,30,288,SRX8287441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260436,PRJNA630973,33031031,"",SRS6609258,SAMN14848295,simple,511693,Escherichia coli BL21,GSM4521036,GEO,SRA1073049,10,2020,Mangano,Bacterial culture,RNA_Control_B,Bacterial culture,BL21,Control (untreated),GSM4521036
