Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,library type,media,total rna selection method,rt enzyme,harvest method,GEO Accession
SRR1585892,18086005,904300250,50,600,SRX710236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709015,SAMN03079467,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513381,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAD Ribo-Seq rep1,YWG25,YWG25,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513381
SRR1585893,23442151,937686040,40,614,SRX710237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709016,SAMN03079468,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513382,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAD Ribo-Seq rep2,YWG25,YWG25,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513382
SRR1585894,14660790,733039500,50,491,SRX710238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709017,SAMN03079469,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513383,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAD RNA-Seq rep1,YWG25,YWG25,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513383
SRR1585895,19167235,766689400,40,513,SRX710239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709018,SAMN03079470,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513384,GEO,SRA185842,04,2016,Thompson,YWG25,WT YPAD RNA-Seq rep2,YWG25,YWG25,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513384
SRR1585896,18974196,948709800,50,637,SRX710240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709020,SAMN03079471,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513385,GEO,SRA185842,04,2016,Thompson,YWG1114,asc1-D109Y YPAD Ribo-Seq rep1,YWG1114,YWG1114,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513385
SRR1585897,17670058,706802320,40,466,SRX710241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709019,SAMN03079472,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513386,GEO,SRA185842,04,2016,Thompson,YWG1119,asc1-D109Y YPAD Ribo-Seq rep2,YWG1119,YWG1119,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513386
SRR1585898,14864594,743229700,50,501,SRX710242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709022,SAMN03079473,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513387,GEO,SRA185842,04,2016,Thompson,YWG1114,asc1-D109Y YPAD RNA-Seq rep1,YWG1114,YWG1114,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513387
SRR1585899,18876288,755051520,40,504,SRX710243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709021,SAMN03079474,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513388,GEO,SRA185842,04,2016,Thompson,YWG1119,asc1-D109Y YPAD RNA-Seq rep2,YWG1119,YWG1119,RNA-Seq,YPAD (2% glucose w/v),oligo dT cellulose,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513388
SRR1585900,14907009,745350450,50,492,SRX710244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709023,SAMN03079475,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513389,GEO,SRA185842,04,2016,Thompson,YWG1116,asc1-M1X YPAD Ribo-Seq rep1,YWG1116,YWG1116,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513389
SRR1585901,18255341,730213640,40,480,SRX710245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047486,PRJNA262036,27117520,"",SRS709024,SAMN03079476,simple,658763,Saccharomyces cerevisiae Sigma1278b,GSM1513390,GEO,SRA185842,04,2016,Thompson,YWG1121,asc1-M1X YPAD Ribo-Seq rep2,YWG1121,YWG1121,Ribo-Seq,YPAD (2% glucose w/v),-,Superscript III,"pour over ice, freeze cell pellet in liquid nitrogen, thaw and lyse",GSM1513390
