Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR12790129,44590822,2184950278,49,1386,SRX9259284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490377,SAMN16392804,simple,9606,Homo sapiens,GSM4822815,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_Control_rep1,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822815
SRR12790130,32104697,1573130153,49,911,SRX9259285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490378,SAMN16392803,simple,9606,Homo sapiens,GSM4822816,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_4OHT_rep1,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822816
SRR12790131,61676469,3022146981,49,1620,SRX9259286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490379,SAMN16392802,simple,9606,Homo sapiens,GSM4822817,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_Control_rep1,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822817
SRR12790132,45682189,2238427261,49,1193,SRX9259287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490380,SAMN16392801,simple,9606,Homo sapiens,GSM4822818,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_4OHT_rep1,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822818
SRR12790133,33268430,1630153070,49,625,SRX9259288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490381,SAMN16392800,simple,9606,Homo sapiens,GSM4822819,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_Control_rep2,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822819
SRR12790134,36695449,1798077001,49,652,SRX9259289,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490382,SAMN16392799,simple,9606,Homo sapiens,GSM4822820,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_4OHT_rep2,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822820
SRR12790135,52798710,2587136790,49,958,SRX9259290,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490383,SAMN16392798,simple,9606,Homo sapiens,GSM4822821,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_Control_rep2,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822821
SRR12790136,37790819,1851750131,49,649,SRX9259291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490384,SAMN16392797,simple,9606,Homo sapiens,GSM4822822,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_4OHT_rep2,Human embryonic kidney cells,HEK-TtH cells stably expressing fused ER:HRasG12V,GSM4822822
SRR12790137,22078324,1081837876,49,580,SRX9259292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490385,SAMN16392796,simple,9606,Homo sapiens,GSM4822823,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_shScram_rep1,Human embryonic kidney cells,HEK293,GSM4822823
SRR12790138,103846246,5088466054,49,2712,SRX9259293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490386,SAMN16392795,simple,9606,Homo sapiens,GSM4822824,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_shFTO_rep1,Human embryonic kidney cells,HEK293,GSM4822824
SRR12790139,7220181,353788869,49,229,SRX9259294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490387,SAMN16392794,simple,9606,Homo sapiens,GSM4822825,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_shScram_rep1,Human embryonic kidney cells,HEK293,GSM4822825
SRR12790140,12035148,589722252,49,380,SRX9259295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490388,SAMN16392793,simple,9606,Homo sapiens,GSM4822826,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_shFTO_rep1,Human embryonic kidney cells,HEK293,GSM4822826
SRR12790141,36569410,1791901090,49,1142,SRX9259296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490389,SAMN16392792,simple,9606,Homo sapiens,GSM4822827,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_shScram_rep2,Human embryonic kidney cells,HEK293,GSM4822827
SRR12790142,145464686,7127769614,49,4534,SRX9259297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490390,SAMN16392791,simple,9606,Homo sapiens,GSM4822828,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_shFTO_rep2,Human embryonic kidney cells,HEK293,GSM4822828
SRR12790143,10458628,512472772,49,348,SRX9259298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490391,SAMN16392790,simple,9606,Homo sapiens,GSM4822829,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_shScram_rep2,Human embryonic kidney cells,HEK293,GSM4822829
SRR12790144,13499521,661476529,49,442,SRX9259299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490392,SAMN16392789,simple,9606,Homo sapiens,GSM4822830,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,QTI_seq_shFTO_rep2,Human embryonic kidney cells,HEK293,GSM4822830
SRR12790145,32126629,1574204821,49,912,SRX9259300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286677,PRJNA667952,33597240,"",SRS7490393,SAMN16392788,simple,9606,Homo sapiens,GSM4822831,GEO,SRA1140064,12,2020,Dong,Human embryonic kidney cells,Ribo_seq_OE_GFP_rep1,Human embryonic kidney cells,HEK293,GSM4822831
