Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,disease stage,genotype,gender,GEO Accession
SRR2927604,54231853,2711592650,50,1769,SRX1420671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153798,SAMN04244178,simple,10090,Mus musculus,GSM1930843,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-CTRL-1,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930843
SRR2927605,47608106,2380405300,50,1547,SRX1420672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153797,SAMN04244179,simple,10090,Mus musculus,GSM1930844,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-CTRL-2,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930844
SRR2927606,41677980,2083899000,50,1305,SRX1420673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153795,SAMN04244180,simple,10090,Mus musculus,GSM1930845,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-CTRL-3,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930845
SRR2927607,45422343,2271117150,50,1463,SRX1420674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153794,SAMN04244181,simple,10090,Mus musculus,GSM1930846,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-CTRL-4,Motor Neuron,Spinal Cord,Onset,Non-Tg,male,GSM1930846
SRR2927608,52176995,2608849750,50,1690,SRX1420675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153792,SAMN04244182,simple,10090,Mus musculus,GSM1930847,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-G37R-1,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930847
SRR2927609,41890298,2094514900,50,1323,SRX1420676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153793,SAMN04244183,simple,10090,Mus musculus,GSM1930848,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-G37R-2,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930848
SRR2927610,43465462,2173273100,50,1353,SRX1420677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153791,SAMN04244184,simple,10090,Mus musculus,GSM1930849,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-G37R-3,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930849
SRR2927611,46773615,2338680750,50,1492,SRX1420678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153790,SAMN04244185,simple,10090,Mus musculus,GSM1930850,GEO,SRA309945,12,2015,Sun,Motor Neuron,MN-G37R-4,Motor Neuron,Spinal Cord,Onset,SOD1 G37R,male,GSM1930850
SRR2927612,45786274,2289313700,50,1472,SRX1420679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153789,SAMN04244186,simple,10090,Mus musculus,GSM1930851,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-CTRL-1,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930851
SRR2927613,52947401,2647370050,50,1693,SRX1420680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153796,SAMN04244187,simple,10090,Mus musculus,GSM1930852,GEO,SRA309945,12,2015,Sun,Astrocyte,Astro-CTRL-2,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930852
