Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,functional assay,cell line,master plasmid,GEO Accession
SRR14887008,2064791,185831190,90,76,SRX11204082,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258563,SAMN19835055,simple,32630,synthetic construct,GSM5396479,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep1_Bin1,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396479
SRR14887009,3216714,289504260,90,119,SRX11204083,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258564,SAMN19835054,simple,32630,synthetic construct,GSM5396480,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep1_Bin2,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396480
SRR14887010,2325583,209302470,90,85,SRX11204084,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258565,SAMN19835053,simple,32630,synthetic construct,GSM5396481,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep1_Bin3,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396481
SRR14887011,2529067,227616030,90,92,SRX11204085,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258566,SAMN19835052,simple,32630,synthetic construct,GSM5396482,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep1_Bin4,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396482
SRR14887012,1846385,166174650,90,67,SRX11204086,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258567,SAMN19835082,simple,32630,synthetic construct,GSM5396483,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep1_Bin5,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396483
SRR14887013,1962379,176614110,90,72,SRX11204087,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258568,SAMN19835081,simple,32630,synthetic construct,GSM5396484,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep1_Bin6,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396484
SRR14887014,1788614,160975260,90,65,SRX11204088,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258569,SAMN19835080,simple,32630,synthetic construct,GSM5396485,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep1_Bin7,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396485
SRR14887015,1620728,145865520,90,64,SRX11204089,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258570,SAMN19835079,simple,32630,synthetic construct,GSM5396486,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep2_Bin1,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396486
SRR14887016,6306025,567542250,90,250,SRX11204090,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258571,SAMN19835078,simple,32630,synthetic construct,GSM5396487,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep2_Bin2,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396487
SRR14887017,2138209,192438810,90,84,SRX11204091,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258572,SAMN19835077,simple,32630,synthetic construct,GSM5396488,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep2_Bin3,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396488
SRR14887018,1502758,135248220,90,59,SRX11204092,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258573,SAMN19835076,simple,32630,synthetic construct,GSM5396489,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep2_Bin4,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396489
SRR14887019,1010995,90989550,90,39,SRX11204093,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258574,SAMN19835075,simple,32630,synthetic construct,GSM5396490,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep2_Bin5,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396490
SRR14887020,3785031,340652790,90,150,SRX11204094,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258575,SAMN19835074,simple,32630,synthetic construct,GSM5396491,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep2_Bin6,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396491
SRR14887021,1595869,143628210,90,62,SRX11204095,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP325235,PRJNA740184,34437836,"",SRS9258576,SAMN19835073,simple,32630,synthetic construct,GSM5396492,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,IRES_Screening_Rep2_Bin7,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396492
SRR14887022,2134220,192079800,90,99,SRX11204096,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258577,SAMN19835072,simple,32630,synthetic construct,GSM5396493,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac1,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396493
SRR14887023,24461291,2470590391,101,925,SRX11204097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258578,SAMN19835100,simple,32630,synthetic construct,GSM5396494,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac2,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396494
SRR14887024,20061518,2026213318,101,768,SRX11204098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258579,SAMN19835099,simple,32630,synthetic construct,GSM5396495,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac3,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396495
SRR14887025,23580903,2381671203,101,903,SRX11204099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258580,SAMN19835095,simple,32630,synthetic construct,GSM5396496,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac4,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396496
SRR14887026,20776082,2098384282,101,910,SRX11204100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258581,SAMN19835093,simple,32630,synthetic construct,GSM5396497,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac5,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396497
SRR14887027,28984718,2927456518,101,1097,SRX11204101,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258582,SAMN19835091,simple,32630,synthetic construct,GSM5396498,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac6,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396498
SRR14887028,21522555,2173778055,101,821,SRX11204102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258583,SAMN19835088,simple,32630,synthetic construct,GSM5396499,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac7,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396499
SRR14887029,22134651,2235599751,101,841,SRX11204103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258584,SAMN19835086,simple,32630,synthetic construct,GSM5396500,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac8,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396500
SRR14887030,19430645,1962495145,101,744,SRX11204104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258585,SAMN19835085,simple,32630,synthetic construct,GSM5396501,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac9,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396501
SRR14887031,12948636,1307812236,101,507,SRX11204105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258586,SAMN19835084,simple,32630,synthetic construct,GSM5396502,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac10,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396502
SRR14887032,21535653,2175100953,101,816,SRX11204106,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258587,SAMN19834881,simple,32630,synthetic construct,GSM5396503,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac11,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396503
SRR14887033,16264394,1642703794,101,621,SRX11204107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258588,SAMN19834879,simple,32630,synthetic construct,GSM5396504,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac12,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396504
SRR14887034,23511847,2374696547,101,897,SRX11204108,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258589,SAMN19835083,simple,32630,synthetic construct,GSM5396505,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac13,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396505
SRR14887035,23360315,2359391815,101,895,SRX11204109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258590,SAMN19834887,simple,32630,synthetic construct,GSM5396506,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac14,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396506
SRR14887036,22204247,2242628947,101,850,SRX11204110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258591,SAMN19834886,simple,32630,synthetic construct,GSM5396507,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,CHX_Frac15,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396507
SRR14887037,2083526,187517340,90,104,SRX11204111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258592,SAMN19834885,simple,32630,synthetic construct,GSM5396508,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac2,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396508
SRR14887038,1900598,171053820,90,94,SRX11204112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258593,SAMN19834884,simple,32630,synthetic construct,GSM5396509,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac3,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396509
SRR14887039,2816807,253512630,90,136,SRX11204113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258594,SAMN19834883,simple,32630,synthetic construct,GSM5396510,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac4,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396510
SRR14887040,805471,72492390,90,41,SRX11204114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258595,SAMN19834882,simple,32630,synthetic construct,GSM5396511,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac5,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396511
SRR14887041,2076992,186929280,90,103,SRX11204115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258596,SAMN19834877,simple,32630,synthetic construct,GSM5396512,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac6,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396512
SRR14887042,2275300,204777000,90,112,SRX11204116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258597,SAMN19834876,simple,32630,synthetic construct,GSM5396513,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac7,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396513
SRR14887043,2324624,209216160,90,115,SRX11204117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258598,SAMN19834874,simple,32630,synthetic construct,GSM5396514,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac8,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396514
SRR14887044,2354561,211910490,90,113,SRX11204118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP325235,PRJNA740184,34437836,"",SRS9258599,SAMN19834873,simple,32630,synthetic construct,GSM5396515,GEO,SRA1249745,08,2021,Chen,Designed oligonucleotides,PMY_Frac9,Designed oligonucleotides,circRNA cap-independent translation,HEK-293T,oligo-split-eGFP-circRNA,GSM5396515
