Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,cell_line,growth_protocol,sample_type,treatment,replicate,condition,BioSampleModel
SRR16796972,57630739,2104913093,36,915,SRX12995909,rnaseq_nts_r1,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936098,SAMN22901728,simple,10029,Cricetulus griseus,rnaseq_nts_r1,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq non-temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,1,non temperature shifted,Model organism or animal
SRR16796971,63386104,2412490778,38,1035,SRX12995910,rnaseq_nts_r2,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936099,SAMN22901729,simple,10029,Cricetulus griseus,rnaseq_nts_r2,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq non-temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,2,non temperature shifted,Model organism or animal
SRR16796970,75106201,3830416251,51,1185,SRX12995911,ribo_harr_nts_r3,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936100,SAMN22901738,simple,10029,Cricetulus griseus,ribo_harr_nts_r3,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq non-temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,3,non temperature shifted,Model organism or animal
SRR16796969,88349149,4505806599,51,1397,SRX12995912,ribo_harr_nts_r4,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936101,SAMN22901739,simple,10029,Cricetulus griseus,ribo_harr_nts_r4,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq non-temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,4,non temperature shifted,Model organism or animal
SRR16796968,63411853,3234004503,51,1008,SRX12995913,ribo_harr_ts_r1,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936102,SAMN22901740,simple,10029,Cricetulus griseus,ribo_harr_ts_r1,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,1,temperature shifted,Model organism or animal
SRR16796967,64629854,3296122554,51,1013,SRX12995914,ribo_harr_ts_r2,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936103,SAMN22901741,simple,10029,Cricetulus griseus,ribo_harr_ts_r2,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,2,temperature shifted,Model organism or animal
SRR16796966,76161364,3884229564,51,1219,SRX12995915,ribo_harr_ts_r3,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936104,SAMN22901742,simple,10029,Cricetulus griseus,ribo_harr_ts_r3,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,3,temperature shifted,Model organism or animal
SRR16796965,47837298,2439702198,51,794,SRX12995916,ribo_harr_ts_r4,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936105,SAMN22901743,simple,10029,Cricetulus griseus,ribo_harr_ts_r4,NIBRT,SRA1323672,12,2022,Makar,"",Harringtonine Ribo-seq temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,Harringtoninine,4,temperature shifted,Model organism or animal
SRR16796964,52337425,2669208675,51,815,SRX12995917,ribo_nodrug_nts_r1,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936106,SAMN22901744,simple,10029,Cricetulus griseus,ribo_nodrug_nts_r1,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq non-temerature shifted replicate 1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,1,non temperature shifted,Model organism or animal
SRR16796963,37208000,1897608000,51,591,SRX12995918,ribo_nodrug_nts_r2,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936107,SAMN22901745,simple,10029,Cricetulus griseus,ribo_nodrug_nts_r2,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq non-temerature shifted replicate 2,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,2,non temperature shifted,Model organism or animal
SRR16796962,49302676,2514436476,51,782,SRX12995919,ribo_nodrug_nts_r3,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936108,SAMN22901746,simple,10029,Cricetulus griseus,ribo_nodrug_nts_r3,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq non-temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,3,non temperature shifted,Model organism or animal
SRR16796961,73935242,3770697342,51,1193,SRX12995920,ribo_nodrug_nts_r4,OTHER,Inverse rRNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936109,SAMN22901747,simple,10029,Cricetulus griseus,ribo_nodrug_nts_r4,NIBRT,SRA1323672,12,2022,Makar,"",No drug Ribo-seq non-temerature shifted replicate 4,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",Ribo-seq,No drug,4,non temperature shifted,Model organism or animal
SRR16796960,65256089,2605920383,39,1104,SRX12995921,rnaseq_nts_r3,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP344698,PRJNA778050,1,"",SRS10936110,SAMN22901730,simple,10029,Cricetulus griseus,rnaseq_nts_r3,NIBRT,SRA1323672,12,2022,Makar,"",Total RNA-seq non-temerature shifted replicate 3,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,female,Ovary,CHO-K1,"CHOK1 cell line (CHO K1 mAb) was seeded at a density of 2 × 105 cells/ml in 50ml SFM-II media (Gibco, 12052098) in 8 replicate shake flasks in a Kuhner orbital shaker at 170rpm at 5% CO2.",RNA-seq,NA,3,non temperature shifted,Model organism or animal
