Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,host cell type,parasite,host growth,GEO Accession
SRR8907185,95271970,7240669720,76,1860,SRX5693006,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632492,SAMN11433244,simple,9606,Homo sapiens,GSM3723750,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,Riboseq_confluentHFF_rep1,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723750
SRR8907186,59185502,4498098152,76,1063,SRX5693007,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632491,SAMN11433243,simple,9606,Homo sapiens,GSM3723751,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,Riboseq_confluentHFF_rep2,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723751
SRR8907187,64728958,4919400808,76,1296,SRX5693008,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632493,SAMN11433242,simple,9606,Homo sapiens,GSM3723752,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,Riboseq_confluentHFF_rep3,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723752
SRR8907188,74345267,5650240292,76,1922,SRX5693009,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632494,SAMN11433241,simple,9606,Homo sapiens,GSM3723753,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,Riboseq_confluentHFF-RH_rep1,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723753
SRR8907189,53731143,4083566868,76,879,SRX5693010,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632496,SAMN11433240,simple,9606,Homo sapiens,GSM3723754,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,Riboseq_confluentHFF-RH_rep2,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723754
SRR8907190,63112705,4796565580,76,1666,SRX5693011,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632495,SAMN11433239,simple,9606,Homo sapiens,GSM3723755,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,Riboseq_confluentHFF-RH_rep3,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723755
SRR8907191,52172391,3965101716,76,1424,SRX5693012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632498,SAMN11433236,simple,9606,Homo sapiens,GSM3723756,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,RNAseq_confluentHFF_rep1,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723756
SRR8907192,71506969,5434529644,76,1944,SRX5693013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632499,SAMN11433235,simple,9606,Homo sapiens,GSM3723757,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,RNAseq_confluentHFF_rep2,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723757
SRR8907193,51112367,3884539892,76,1421,SRX5693014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632497,SAMN11433234,simple,9606,Homo sapiens,GSM3723758,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts,RNAseq_confluentHFF_rep3,Human Foreskin Fibroblasts,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723758
SRR8907194,60999135,4635934260,76,1662,SRX5693015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192707,PRJNA533074,31167946,"",SRS4632501,SAMN11433233,simple,9606,Homo sapiens,GSM3723759,GEO,SRA874614,05,2019,Holmes,Human Foreskin Fibroblasts and RH Toxoplasma,RNAseq_confluentHFF-RH_rep1,Human Foreskin Fibroblasts and RH Toxoplasma,human foreskin fibroblasts,Toxoplasma gondii RH,confluent,GSM3723759
