Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,time point,treatment,GEO Accession
SRR1382078,54746715,4379737200,40,2863,SRX591752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS634994,SAMN02851506,simple,10090,Mus musculus,GSM1410654,GEO,SRA170153,07,2015,Katz,NSCs,"KH2 control, No Dox (E13.5)",NSCs,E13.5,72 hours,No Dox,GSM1410654
SRR1382079,41280849,3302467920,40,2161,SRX591753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS634995,SAMN02851504,simple,10090,Mus musculus,GSM1410655,GEO,SRA170153,07,2015,Katz,NSCs,"MSI1, No Dox (E13.5)",NSCs,E13.5,72 hours,No Dox,GSM1410655
SRR1382080,99166757,7273375760,40,4599,SRX591754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS634996,SAMN02851505,simple,10090,Mus musculus,GSM1410656,GEO,SRA170153,06,2014,Katz,NSCs,"MSI1, No Dox, technical replicate (E13.5)",NSCs,E13.5,72 hours,No Dox,GSM1410656
SRR1382081,19024314,1358203400,40,845,SRX591755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS634997,SAMN02851517,simple,10090,Mus musculus,GSM1410657,GEO,SRA170153,07,2014,Katz,NSCs,"MSI1, DOX (E13.5)",NSCs,E13.5,72 hours,DOX 1ug/ml,GSM1410657
SRR1382082,52171355,6260562600,60,4194,SRX591756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS634998,SAMN02851509,simple,10090,Mus musculus,GSM1410658,GEO,SRA170153,07,2015,Katz,NSCs,"KH2 control, No Dox (E12.5)",NSCs,E12.5,72 hours,No Dox,GSM1410658
SRR1382083,93038274,11164592880,60,7445,SRX591757,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS634999,SAMN02851507,simple,10090,Mus musculus,GSM1410659,GEO,SRA170153,07,2015,Katz,NSCs,"KH2 control, Dox (E12.5)",NSCs,E12.5,72 hours,DOX 1ug/ml,GSM1410659
SRR1382084,87360698,10483283760,60,6989,SRX591758,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635000,SAMN02851511,simple,10090,Mus musculus,GSM1410660,GEO,SRA170153,07,2015,Katz,NSCs,"MSI1, No Dox (E12.5)",NSCs,E12.5,72 hours,No Dox,GSM1410660
SRR1382085,33682168,4041860160,60,2689,SRX591759,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635001,SAMN02851512,simple,10090,Mus musculus,GSM1410661,GEO,SRA170153,07,2015,Katz,NSCs,"MSI1, DOX (E12.5)",NSCs,E12.5,72 hours,DOX 1ug/ml,GSM1410661
SRR1382086,56436454,6772374480,60,4510,SRX591760,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635002,SAMN02851520,simple,10090,Mus musculus,GSM1410662,GEO,SRA170153,07,2015,Katz,NSCs,"MSI2, No Dox (E12.5)",NSCs,E12.5,72 hours,No Dox,GSM1410662
SRR1382087,67941519,8152982280,60,5450,SRX591761,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635003,SAMN02851516,simple,10090,Mus musculus,GSM1410663,GEO,SRA170153,07,2015,Katz,NSCs,"MSI2, DOX (E12.5)",NSCs,E12.5,72 hours,DOX 1ug/ml,GSM1410663
SRR1382088,107662492,12919499040,60,8695,SRX591762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635004,SAMN02851510,simple,10090,Mus musculus,GSM1410664,GEO,SRA170153,07,2015,Katz,NSCs,"Cre-less Msi1/Msi2 floxed control line C1, No Tam (E12.5)",NSCs,E12.5,48 hours,No 4-OHT,GSM1410664
SRR1382089,95526183,11463141960,60,7733,SRX591763,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635005,SAMN02851508,simple,10090,Mus musculus,GSM1410665,GEO,SRA170153,07,2015,Katz,NSCs,"Cre-less Msi1/Msi2 floxed control line C1, TAM (E12.5)",NSCs,E12.5,48 hours,4-OHT,GSM1410665
SRR1382090,87728705,10527444600,60,7068,SRX591764,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635006,SAMN02851515,simple,10090,Mus musculus,GSM1410666,GEO,SRA170153,07,2015,Katz,NSCs,"Cre-carrying Msi1/Msi2 floxed line C4, No Tam (E12.5)",NSCs,E12.5,48 hours,No 4-OHT,GSM1410666
SRR1382091,106610138,12793216560,60,8588,SRX591765,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043153,PRJNA252579,25380226,"",SRS635007,SAMN02851513,simple,10090,Mus musculus,GSM1410667,GEO,SRA170153,07,2015,Katz,NSCs,"Cre-carrying Msi1/Msi2 floxed line C4, TAM (E12.5)",NSCs,E12.5,48 hours,4-OHT,GSM1410667
