Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR20142194,26536214,8013936628,151,2708,SRX16177168,GSM6337651,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838710,SAMN29715120,simple,9606,Homo sapiens,GSM6337651,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_GFP_A,A549,A549,epithelial,WT,GFP expression,missing,missing
SRR20142193,31431639,9492354978,151,3161,SRX16177169,GSM6337652,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838711,SAMN29715119,simple,9606,Homo sapiens,GSM6337652,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_nsp1wt_A,A549,A549,epithelial,WT,FH-NSP1 expression,missing,missing
SRR20142192,35660968,10769612336,151,3499,SRX16177170,GSM6337653,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838712,SAMN29715118,simple,9606,Homo sapiens,GSM6337653,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_nsp1_H45A_A,A549,A549,epithelial,WT,FH-NSP1 H45A expression,missing,missing
SRR20142191,31110926,9395499652,151,3171,SRX16177171,GSM6337654,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838713,SAMN29715117,simple,9606,Homo sapiens,GSM6337654,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_nsp1_164165A_A,A549,A549,epithelial,WT,FH-NSP1 K164A/H165A expression,missing,missing
SRR20142190,33400253,10086876406,151,3348,SRX16177172,GSM6337655,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838714,SAMN29715116,simple,9606,Homo sapiens,GSM6337655,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_GFP_B,A549,A549,epithelial,WT,GFP expression,missing,missing
SRR20142189,40621693,12267751286,151,4162,SRX16177173,GSM6337656,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838715,SAMN29715115,simple,9606,Homo sapiens,GSM6337656,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_nsp1wt_B,A549,A549,epithelial,WT,FH-NSP1 expression,missing,missing
SRR20142188,35674991,10773847282,151,3473,SRX16177174,GSM6337657,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838716,SAMN29715114,simple,9606,Homo sapiens,GSM6337657,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_H45A_B,A549,A549,epithelial,WT,FH-NSP1 H45A expression,missing,missing
SRR20142187,41180692,12436568984,151,4100,SRX16177175,GSM6337658,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838717,SAMN29715113,simple,9606,Homo sapiens,GSM6337658,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,A549_164165A_B,A549,A549,epithelial,WT,FH-NSP1 K164A/H165A expression,missing,missing
SRR20142186,41812272,2090613600,50,594,SRX16177176,GSM6337659,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838718,SAMN29715112,simple,9606,Homo sapiens,GSM6337659,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,Ribosome_Footprint_seq_A549_GFP_1,A549,A549,epithelial,WT,GFP expression,missing,missing
SRR20142185,54243380,2712169000,50,807,SRX16177177,GSM6337660,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP386256,PRJNA858420,1,"",SRS13838719,SAMN29715111,simple,9606,Homo sapiens,GSM6337660,"Laboratory of Muscle Stem Cells and Gene Regulation, NIAMS, NIH",SRA1454276,07,2023,Makar,A549,Ribosome_Footprint_seq_A549_GFP_2,A549,A549,epithelial,WT,GFP expression,missing,missing
