Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,chip antibody,fixation,cell type,GEO Accession
SRR5239141,39890523,8008197491,100,3191,SRX2546020,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964901,SAMN06312811,simple,10090,Mus musculus,GSM2481144,GEO,SRA536653,04,2017,Davari,primary T-cells,totPol2 NR_1,primary T-cells,Balb/c DO11.10,anti-RNA Pol II(8WG16) ab817,10min 1% Formaldehyde,primary Th1 cells,GSM2481144
SRR5239142,68438847,13726630583,100,5462,SRX2546021,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964906,SAMN06312820,simple,10090,Mus musculus,GSM2481145,GEO,SRA536653,04,2017,Davari,primary T-cells,totPol2 NR_2,primary T-cells,Balb/c DO11.10,anti-RNA Pol II(8WG16) ab817,10min 1% Formaldehyde,primary Th1 cells,GSM2481145
SRR5239143,32834232,6583728115,100,2606,SRX2546022,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964903,SAMN06312819,simple,10090,Mus musculus,GSM2481146,GEO,SRA536653,04,2017,Davari,primary T-cells,totPol2 30min_1,primary T-cells,Balb/c DO11.10,anti-RNA Pol II(8WG16) ab817,10min 1% Formaldehyde,primary Th1 cells,GSM2481146
SRR5239144,61206673,12282707868,100,4904,SRX2546023,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964902,SAMN06312818,simple,10090,Mus musculus,GSM2481147,GEO,SRA536653,04,2017,Davari,primary T-cells,totPol2 30min_2,primary T-cells,Balb/c DO11.10,anti-RNA Pol II(8WG16) ab817,10min 1% Formaldehyde,primary Th1 cells,GSM2481147
SRR5239145,57183187,11475634591,100,4490,SRX2546024,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964904,SAMN06312817,simple,10090,Mus musculus,GSM2481148,GEO,SRA536653,04,2017,Davari,primary T-cells,totPol2 2h_1,primary T-cells,Balb/c DO11.10,anti-RNA Pol II(8WG16) ab817,10min 1% Formaldehyde,primary Th1 cells,GSM2481148
SRR5239146,58718576,11783980680,100,4778,SRX2546025,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964905,SAMN06312816,simple,10090,Mus musculus,GSM2481149,GEO,SRA536653,04,2017,Davari,primary T-cells,totPol2 2h_2,primary T-cells,Balb/c DO11.10,anti-RNA Pol II(8WG16) ab817,10min 1% Formaldehyde,primary Th1 cells,GSM2481149
SRR5239147,52638006,10574230423,100,4319,SRX2546026,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964907,SAMN06312815,simple,10090,Mus musculus,GSM2481150,GEO,SRA536653,04,2017,Davari,primary T-cells,H3K36me3 NR_1,primary T-cells,Balb/c DO11.10,anti-Histone H3 K36me3 ab9050,10min 1% Formaldehyde,primary Th1 cells,GSM2481150
SRR5239148,45225833,9082111398,100,3687,SRX2546027,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964908,SAMN06312814,simple,10090,Mus musculus,GSM2481151,GEO,SRA536653,04,2017,Davari,primary T-cells,H3K36me3 30min_1,primary T-cells,Balb/c DO11.10,anti-Histone H3 K36me3 ab9050,10min 1% Formaldehyde,primary Th1 cells,GSM2481151
SRR5239149,56130667,11270581661,100,4542,SRX2546028,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964909,SAMN06312813,simple,10090,Mus musculus,GSM2481152,GEO,SRA536653,04,2017,Davari,primary T-cells,H3K36me3 2h_1,primary T-cells,Balb/c DO11.10,anti-Histone H3 K36me3 ab9050,10min 1% Formaldehyde,primary Th1 cells,GSM2481152
SRR5239150,24924591,4961145717,99,1990,SRX2546029,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP099084,PRJNA371839,28423325,"",SRS1964910,SAMN06312812,simple,10090,Mus musculus,GSM2481153,GEO,SRA536653,04,2017,Davari,primary T-cells,Tcell input,primary T-cells,Balb/c DO11.10,input,10min 1% Formaldehyde,primary Th1 cells,GSM2481153
