Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,material,treatment,GEO Accession
SRR12333532,36148724,1843584924,51,634,SRX8833507,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097610,SAMN15654984,simple,10090,Mus musculus,GSM4697830,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS15_RPF,RAW264.7,RAW264.7,ribosome-protected fragments,"LPS, 15 min",GSM4697830
SRR12333533,33015075,1683768825,51,591,SRX8833508,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097611,SAMN15654983,simple,10090,Mus musculus,GSM4697831,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS30_RPF,RAW264.7,RAW264.7,ribosome-protected fragments,"LPS, 30 min",GSM4697831
SRR12333534,35093753,1789781403,51,619,SRX8833509,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097612,SAMN15654982,simple,10090,Mus musculus,GSM4697832,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS45_RPF,RAW264.7,RAW264.7,ribosome-protected fragments,"LPS, 45 min",GSM4697832
SRR12333535,36670825,1870212075,51,643,SRX8833510,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097613,SAMN15654981,simple,10090,Mus musculus,GSM4697833,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS60_RPF,RAW264.7,RAW264.7,ribosome-protected fragments,"LPS, 60 min",GSM4697833
SRR12333536,36942083,1884046233,51,650,SRX8833511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097614,SAMN15654980,simple,10090,Mus musculus,GSM4697834,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS75_RPF,RAW264.7,RAW264.7,ribosome-protected fragments,LPS 75 min,GSM4697834
SRR12333537,37037061,1888890111,51,649,SRX8833512,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097615,SAMN15654979,simple,10090,Mus musculus,GSM4697835,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS90_RPF,RAW264.7,RAW264.7,ribosome-protected fragments,LPS 90 min,GSM4697835
SRR12333538,38530377,1965049227,51,678,SRX8833513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097616,SAMN15654978,simple,10090,Mus musculus,GSM4697836,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS16_RPF,RAW264.7,RAW264.7,ribosome-protected fragments,"LPS, 16 h",GSM4697836
SRR12333539,34717168,1770575568,51,609,SRX8833514,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097617,SAMN15654977,simple,10090,Mus musculus,GSM4697837,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS0_IN,RAW264.7,RAW264.7,Input,untreated,GSM4697837
SRR12333540,37009137,1887465987,51,647,SRX8833515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097618,SAMN15654976,simple,10090,Mus musculus,GSM4697838,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS15_IN,RAW264.7,RAW264.7,Input,"LPS, 15 min",GSM4697838
SRR12333541,36333113,1852988763,51,634,SRX8833516,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273780,PRJNA649003,34480152,"",SRS7097619,SAMN15654975,simple,10090,Mus musculus,GSM4697839,GEO,SRA1104215,06,2021,Schott,RAW264.7,LPS30_IN,RAW264.7,RAW264.7,Input,"LPS, 30 min",GSM4697839
