Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,condition,protocol,GEO Accession
SRR627536,26181799,3141815880,60,1894,SRX207917,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377822,SAMN01821792,simple,9606,Homo sapiens,GSM1041191,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,C1.rna,Immortalized primary fibroblasts,BJ cells,"Proliferation, normal conditions",,GSM1041191
SRR627537,28243869,3389264280,60,2039,SRX207918,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377823,SAMN01821793,simple,9606,Homo sapiens,GSM1041192,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,C2.rna,Immortalized primary fibroblasts,BJ cells,"Proliferation, normal conditions",,GSM1041192
SRR627538,25495010,3059401200,60,1842,SRX207919,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377824,SAMN01821794,simple,9606,Homo sapiens,GSM1041193,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,Q1.rna,Immortalized primary fibroblasts,BJ cells,Quiescence induced by serum depletion,,GSM1041193
SRR627539,27075925,3249111000,60,1957,SRX207920,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377825,SAMN01821795,simple,9606,Homo sapiens,GSM1041194,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,Q2.rna,Immortalized primary fibroblasts,BJ cells,Quiescence induced by serum depletion,,GSM1041194
SRR627540,25117826,3014139120,60,1807,SRX207921,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377826,SAMN01821796,simple,9606,Homo sapiens,GSM1041195,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,preS1.rna,Immortalized primary fibroblasts,BJ cells,pre-senescence; 5 dys after RASG12V induction,BJ cells expressing hTERT and tamoxifen-inducible RASG12V were cultured in the presence of 10-7M 4-OHT-Tamoxifen for 5 days,GSM1041195
SRR627541,21619863,2594383560,60,1559,SRX207922,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377827,SAMN01821797,simple,9606,Homo sapiens,GSM1041196,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,preS2.rna,Immortalized primary fibroblasts,BJ cells,pre-senescence; 5 dys after RASG12V induction,BJ cells expressing hTERT and tamoxifen-inducible RASG12V were cultured in the presence of 10-7M 4-OHT-Tamoxifen for 5 days,GSM1041196
SRR627542,49899303,2544864453,51,1690,SRX207923,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377828,SAMN01821798,simple,9606,Homo sapiens,GSM1041197,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,C3.rna,Immortalized primary fibroblasts,BJ cells,"Proliferation, normal conditions",,GSM1041197
SRR627543,43395063,2213148213,51,1479,SRX207924,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377829,SAMN01821799,simple,9606,Homo sapiens,GSM1041198,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,S.rna,Immortalized primary fibroblasts,BJ cells,Senescence; 14 dys after RASG12V induction,BJ cells expressing hTERT and tamoxifen-inducible RASG12V were cultured in the presence of 10-7M 4-OHT-Tamoxifen for 14 days,GSM1041198
SRR627544,44581119,2273637069,51,1517,SRX207925,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377830,SAMN01821800,simple,9606,Homo sapiens,GSM1041199,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,Tr.rna,Immortalized primary fibroblasts,BJ cells,Transformed cells (induced by RASG12V in the background of stable p53 and p16INK4A kds),"BJ cells expressing hTERT, p16INK4A-KD, p53-KD and SV40 small T were retrovirally transduced with pBabe-puro-RASG12V",GSM1041199
SRR627620,147998439,7399921950,50,4679,SRX207945,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377846,SAMN01821856,simple,9606,Homo sapiens,GSM1047584,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,C1.rp,Immortalized primary fibroblasts,BJ cells,"Proliferation, normal conditions",,GSM1047584
SRR627621,149411410,7470570500,50,4730,SRX207946,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377847,SAMN01821857,simple,9606,Homo sapiens,GSM1047585,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,C2.rp,Immortalized primary fibroblasts,BJ cells,"Proliferation, normal conditions",,GSM1047585
SRR627622,151488332,7574416600,50,4842,SRX207947,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377848,SAMN01821858,simple,9606,Homo sapiens,GSM1047586,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,Q1.rp,Immortalized primary fibroblasts,BJ cells,Quiescence induced by serum depletion,,GSM1047586
SRR627623,169525289,8476264450,50,5748,SRX207948,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377849,SAMN01821859,simple,9606,Homo sapiens,GSM1047587,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,Q2.rp,Immortalized primary fibroblasts,BJ cells,Quiescence induced by serum depletion,,GSM1047587
SRR627624,163634462,8181723100,50,5464,SRX207949,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377850,SAMN01821860,simple,9606,Homo sapiens,GSM1047588,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,preS.rp,Immortalized primary fibroblasts,BJ cells,pre-senescence; 5 dys after RASG12V induction,BJ cells expressing hTERT and tamoxifen-inducible RASG12V were cultured in the presence of 10-7M 4-OHT-Tamoxifen for 5 days,GSM1047588
SRR627625,161141887,8218236237,51,5371,SRX207950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377851,SAMN01821861,simple,9606,Homo sapiens,GSM1047589,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,S.rp,Immortalized primary fibroblasts,BJ cells,"Proliferation, normal conditions",,GSM1047589
SRR627626,143407219,7313768169,51,4514,SRX207951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377852,SAMN01821862,simple,9606,Homo sapiens,GSM1047590,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,C3.rp,Immortalized primary fibroblasts,BJ cells,Senescence; 14 dys after RASG12V induction,BJ cells expressing hTERT and tamoxifen-inducible RASG12V were cultured in the presence of 10-7M 4-OHT-Tamoxifen for 14 days,GSM1047590
SRR627627,178192873,9087836523,,5844,SRX207952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017378,PRJNA182756,23594524,"",SRS377853,SAMN01821863,simple,9606,Homo sapiens,GSM1047591,GEO,SRA062117,03,2013,Loayza-Puch,Immortalized primary fibroblasts,Tr.rp,Immortalized primary fibroblasts,BJ cells,Transformed cells (induced by RASG12V in the background of stable p53 and p16INK4A kds),"BJ cells expressing hTERT, p16INK4A-KD, p53-KD and SV40 small T were retrovirally transduced with pBabe-puro-RASG12V",GSM1047591
