Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,infection,virus strain,time,GEO Accession
SRR5990806,14727037,721624813,49,443,SRX3146513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478472,SAMN07573544,simple,9606,Homo sapiens,GSM2760246,GEO,SRA604097,05,2018,Lin,muscle,"Mock,1.75 h, mRNA",muscle,RD,mock,not applicable,1.75 h,GSM2760246
SRR5990807,25264376,1237954424,49,477,SRX3146513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478472,SAMN07573544,simple,9606,Homo sapiens,GSM2760246,GEO,SRA604097,05,2018,Lin,muscle,"Mock,1.75 h, mRNA",muscle,RD,mock,not applicable,1.75 h,GSM2760247
SRR5990808,30057004,1472793196,49,535,SRX3146513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478472,SAMN07573544,simple,9606,Homo sapiens,GSM2760246,GEO,SRA604097,05,2018,Lin,muscle,"Mock,1.75 h, mRNA",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,1.75 h,GSM2760248
SRR5990809,12435969,609362481,49,383,SRX3146514,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478473,SAMN07573543,simple,9606,Homo sapiens,GSM2760247,GEO,SRA604097,05,2018,Lin,muscle,"Mock,1.75 h, RPF",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,1.75 h,GSM2760249
SRR5990810,34551086,1693003214,49,798,SRX3146514,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478473,SAMN07573543,simple,9606,Homo sapiens,GSM2760247,GEO,SRA604097,05,2018,Lin,muscle,"Mock,1.75 h, RPF",muscle,RD,mock,not applicable,3.5 h,GSM2760250
SRR5990811,40347266,1977016034,49,899,SRX3146514,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478473,SAMN07573543,simple,9606,Homo sapiens,GSM2760247,GEO,SRA604097,05,2018,Lin,muscle,"Mock,1.75 h, RPF",muscle,RD,mock,not applicable,3.5 h,GSM2760251
SRR5990812,15573134,763083566,49,469,SRX3146515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478474,SAMN07573562,simple,9606,Homo sapiens,GSM2760248,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect,1.75 h ,mRNA",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760252
SRR5990813,28351934,1389244766,49,536,SRX3146515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478474,SAMN07573562,simple,9606,Homo sapiens,GSM2760248,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect,1.75 h ,mRNA",muscle and virus,RD,Enterovirus 71,SK-EV006/Malaysia/97,3.5 h,GSM2760253
SRR5990814,33715470,1652058030,49,601,SRX3146515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478474,SAMN07573562,simple,9606,Homo sapiens,GSM2760248,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect,1.75 h ,mRNA",muscle,RD,mock,not applicable,6.25 h,GSM2760254
SRR5990815,13162410,644958090,49,399,SRX3146516,,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131318,PRJNA401882,29696588,"",SRS2478475,SAMN07573561,simple,9606,Homo sapiens,GSM2760249,GEO,SRA604097,05,2018,Lin,muscle and virus,"Infect,1.75 h, RPF",muscle,RD,mock,not applicable,6.25 h,GSM2760255
