Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment
SRR22565236,9540039,839523432,88,343,SRX18528510,GSM6803843,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993032,SAMN32093935,simple,3702,Arabidopsis thaliana,GSM6803843,RIKEN,SRA1555289,12,2022,Asai,whole plant,pDMR6_IP_biorep1,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565235,4556576,396422112,87,159,SRX18528511,GSM6803844,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993033,SAMN32093934,simple,3702,Arabidopsis thaliana,GSM6803844,RIKEN,SRA1555289,12,2022,Asai,whole plant,pDMR6_IP_biorep2,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565234,1983787,170605682,86,68,SRX18528512,GSM6803845,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993034,SAMN32093933,simple,3702,Arabidopsis thaliana,GSM6803845,RIKEN,SRA1555289,12,2022,Asai,whole plant,pDMR6_IP_biorep3,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565233,4512874,397132912,88,161,SRX18528513,GSM6803846,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993035,SAMN32093932,simple,3702,Arabidopsis thaliana,GSM6803846,RIKEN,SRA1555289,12,2022,Asai,whole plant,pPR1_IP_biorep1,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565232,665024,57192064,86,23,SRX18528514,GSM6803848,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993036,SAMN32093931,simple,3702,Arabidopsis thaliana,GSM6803848,RIKEN,SRA1555289,12,2022,Asai,whole plant,pPR1_IP_biorep2,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565231,13041308,1108511180,85,448,SRX18528515,GSM6803849,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993037,SAMN32093930,simple,3702,Arabidopsis thaliana,GSM6803849,RIKEN,SRA1555289,12,2022,Asai,whole plant,pPR1_IP_biorep3,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565230,381867,33604296,88,13,SRX18528516,GSM6803850,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993038,SAMN32093929,simple,3702,Arabidopsis thaliana,GSM6803850,RIKEN,SRA1555289,12,2022,Asai,whole plant,pAct2_IP_biorep1,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565229,1068855,91921530,86,37,SRX18528517,GSM6803851,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993039,SAMN32093928,simple,3702,Arabidopsis thaliana,GSM6803851,RIKEN,SRA1555289,12,2022,Asai,whole plant,pAct2_IP_biorep2,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565228,300849,25873014,86,10,SRX18528518,GSM6803852,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993040,SAMN32093927,simple,3702,Arabidopsis thaliana,GSM6803852,RIKEN,SRA1555289,12,2022,Asai,whole plant,pAct2_IP_biorep3,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
SRR22565227,12684146,1116204848,88,452,SRX18528519,GSM6803853,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP411860,PRJNA909785,37307565,"",SRS15993041,SAMN32093926,simple,3702,Arabidopsis thaliana,GSM6803853,RIKEN,SRA1555289,12,2022,Asai,whole plant,pDMR6_Total_biorep1,whole plant,whole plant,Col-0,Hyaloperonospora arabidopsidis inoculation
