Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,agent,strain,substrain,genetic background,GEO Accession
SRR12337199,31364041,883105361,28,422,SRX8837154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100500,SAMN15659494,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698014,GEO,SRA1104576,07,2023,Makar,WT_no_drug,WT_no_drug,WT_no_drug,no drug treatment,K-12,MG1655,,GSM4698014
SRR12337200,45564539,1301697571,28,621,SRX8837155,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100501,SAMN15659516,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698015,GEO,SRA1104576,07,2023,Makar,WT_cap_low,WT_cap_low,WT_cap_low,capreomycin 200 microg/ml,K-12,MG1655,,GSM4698015
SRR12337201,12363826,356080049,28,169,SRX8837156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100502,SAMN15659515,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698016,GEO,SRA1104576,07,2023,Makar,WT_vio_low,WT_vio_low,WT_vio_low,viomycin 200 microg/ml,K-12,MG1655,,GSM4698016
SRR12337202,3534409,102724732,29,49,SRX8837157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100503,SAMN15659514,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698017,GEO,SRA1104576,07,2023,Makar,WT_spec_low,WT_spec_low,WT_spec_low,spectinomycin 200 microg/ml,K-12,MG1655,,GSM4698017
SRR12337203,40883975,1113731532,27,537,SRX8837158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100504,SAMN15659513,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698018,GEO,SRA1104576,07,2023,Makar,WT_blast,WT_blast,WT_blast,blasticidin,K-12,MG1655,,GSM4698018
SRR12337204,29695866,923277191,31,445,SRX8837159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100505,SAMN15659512,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698019,GEO,SRA1104576,07,2023,Makar,WT_spec_high,WT_spec_high,WT_spec_high,spectinomycin 2000 microg/ml,K-12,MG1655,,GSM4698019
SRR12337205,15882931,472775623,29,230,SRX8837160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100506,SAMN15659511,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698020,GEO,SRA1104576,07,2023,Makar,WT_line,WT_line,WT_line,linezolid,K-12,MG1655,,GSM4698020
SRR12337206,52443710,1710561406,32,824,SRX8837161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100507,SAMN15659510,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698021,GEO,SRA1104576,07,2023,Makar,WT_vio_high,WT_vio_high,WT_vio_high,viomycin 2000 microg/ml,K-12,MG1655,,GSM4698021
SRR12337207,23478807,673165164,28,311,SRX8837162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100508,SAMN15659509,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698022,GEO,SRA1104576,07,2023,Makar,WT_cm1,WT_cm1,WT_cm1,chloramphenicol,K-12,MG1655,,GSM4698022
SRR12337208,27933699,795049843,28,368,SRX8837163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273894,PRJNA649104,1,"",SRS7100509,SAMN15659508,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4698023,GEO,SRA1104576,07,2023,Makar,WT_cm2,WT_cm2,WT_cm2,chloramphenicol,K-12,MG1655,,GSM4698023
