Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,agent,time point,GEO Accession
SRR12764717,16048877,1203665775,75,404,SRX9235407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468757,SAMN16351549,simple,60711,Chlorocebus sabaeus,GSM4815888,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-lowMOI-24hpi-rep1,Vero E6,Cycloheximide,mock-lowMOI,24hpi,GSM4815888
SRR12764718,31612110,2370908250,75,806,SRX9235408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468758,SAMN16351548,simple,60711,Chlorocebus sabaeus,GSM4815889,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-lowMOI-48hpi-rep1,Vero E6,Cycloheximide,mock-lowMOI,48hpi,GSM4815889
SRR12764719,31952785,2396458875,75,808,SRX9235409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468759,SAMN16351547,simple,60711,Chlorocebus sabaeus,GSM4815890,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-lowMOI-72hpi-rep1,Vero E6,Cycloheximide,mock-lowMOI,72hpi,GSM4815890
SRR12764720,24121125,1809084375,75,603,SRX9235410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468760,SAMN16351546,simple,60711,Chlorocebus sabaeus,GSM4815891,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-lowMOI-24hpi-rep1,Vero E6,Cycloheximide,SARS2-lowMOI,24hpi,GSM4815891
SRR12764721,32038486,2402886450,75,777,SRX9235411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468761,SAMN16351545,simple,60711,Chlorocebus sabaeus,GSM4815892,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-lowMOI-48hpi-rep1,Vero E6,Cycloheximide,SARS2-lowMOI,48hpi,GSM4815892
SRR12764722,35236256,2642719200,75,861,SRX9235412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468762,SAMN16351544,simple,60711,Chlorocebus sabaeus,GSM4815893,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-lowMOI-72hpi-rep1,Vero E6,Cycloheximide,SARS2-lowMOI,72hpi,GSM4815893
SRR12764723,53793235,322759410,6,15,SRX9235413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468763,SAMN16351543,simple,60711,Chlorocebus sabaeus,GSM4815894,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-lowMOI-24hpi-rep2,Vero E6,Cycloheximide,mock-lowMOI,24hpi,GSM4815894
SRR12764724,47305437,283832622,6,14,SRX9235414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468764,SAMN16351542,simple,60711,Chlorocebus sabaeus,GSM4815895,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-lowMOI-48hpi-rep2,Vero E6,Cycloheximide,mock-lowMOI,48hpi,GSM4815895
SRR12764725,48680470,292082820,6,13,SRX9235415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468765,SAMN16351541,simple,60711,Chlorocebus sabaeus,GSM4815896,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-mock-lowMOI-72hpi-rep2,Vero E6,Cycloheximide,mock-lowMOI,72hpi,GSM4815896
SRR12764726,44708066,268248396,6,12,SRX9235416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286182,PRJNA667051,35604092,"",SRS7468766,SAMN16351540,simple,60711,Chlorocebus sabaeus,GSM4815897,GEO,SRA1137052,11,2020,Puray-Chavez,Vero E6,RNA-seq-SARS2-lowMOI-24hpi-rep2,Vero E6,Cycloheximide,SARS2-lowMOI,24hpi,GSM4815897
