Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,background strain,cell type,treatment,cell line,GEO Accession
SRR9641393,80192445,3368082690,42,2347,SRX6403237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061300,SAMN12211622,simple,10090,Mus musculus,GSM3927384,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,2i/LIF culture,E14Tg2a,GSM3927384
SRR9641394,40541937,1702761354,42,1212,SRX6403238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061298,SAMN12211621,simple,10090,Mus musculus,GSM3927385,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,2i/LIF culture,E14Tg2a,GSM3927385
SRR9641395,66162127,2778809334,42,1964,SRX6403239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061299,SAMN12211620,simple,10090,Mus musculus,GSM3927386,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_d1_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 1day,E14Tg2a,GSM3927386
SRR9641396,64412013,2705304546,42,1916,SRX6403240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061301,SAMN12211614,simple,10090,Mus musculus,GSM3927387,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_d1_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 1day,E14Tg2a,GSM3927387
SRR9641397,20797022,873474924,42,663,SRX6403241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061302,SAMN12211613,simple,10090,Mus musculus,GSM3927388,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_d3_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 3days,E14Tg2a,GSM3927388
SRR9641398,81183086,3409689612,42,2361,SRX6403242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061303,SAMN12211612,simple,10090,Mus musculus,GSM3927389,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_d3_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 3days,E14Tg2a,GSM3927389
SRR9641399,67767820,2846248440,42,1991,SRX6403243,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061304,SAMN12211611,simple,10090,Mus musculus,GSM3927390,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_d7_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 7days,E14Tg2a,GSM3927390
SRR9641400,72171970,3031222740,42,2107,SRX6403244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061305,SAMN12211610,simple,10090,Mus musculus,GSM3927391,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_2iL_d7_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 7days,E14Tg2a,GSM3927391
SRR9641401,57952005,2433984210,42,1774,SRX6403245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061306,SAMN12211609,simple,10090,Mus musculus,GSM3927392,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_SL_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF culture,E14Tg2a,GSM3927392
SRR9641402,89289732,3750168744,42,2724,SRX6403246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212919,PRJNA552552,32238817,"",SRS5061307,SAMN12211608,simple,10090,Mus musculus,GSM3927393,GEO,SRA916697,03,2020,Atlasi,E14Tg2a,RFP_SL_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF culture,E14Tg2a,GSM3927393
