Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,GEO Accession
SRR5906459,13608062,694011162,51,291,SRX3067996,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412549,SAMN07456589,simple,9606,Homo sapiens,GSM2734576,GEO,SRA596989,08,2018,Tuorto,fS,fS1,fS,cervix adenocarcinoma cell line HeLa,Serum,GSM2734576
SRR5906460,12788517,652214367,51,277,SRX3067997,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412548,SAMN07456588,simple,9606,Homo sapiens,GSM2734577,GEO,SRA596989,08,2018,Tuorto,fS,fS2,fS,cervix adenocarcinoma cell line HeLa,Serum,GSM2734577
SRR5906461,13695619,698476569,51,298,SRX3067998,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412546,SAMN07456587,simple,9606,Homo sapiens,GSM2734578,GEO,SRA596989,08,2018,Tuorto,fS+q,fS+q1,fS+q,cervix adenocarcinoma cell line HeLa,Serum +20nM queuine,GSM2734578
SRR5906462,16409774,836898474,51,349,SRX3067999,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412545,SAMN07456586,simple,9606,Homo sapiens,GSM2734579,GEO,SRA596989,08,2018,Tuorto,fS+q,fS+q2,fS+q,cervix adenocarcinoma cell line HeLa,Serum +20nM queuine,GSM2734579
SRR5906463,12983831,662175381,51,285,SRX3068000,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412547,SAMN07456599,simple,9606,Homo sapiens,GSM2734580,GEO,SRA596989,08,2018,Tuorto,fSF,fSF1,fSF,cervix adenocarcinoma cell line HeLa,Serum free,GSM2734580
SRR5906464,10294207,525004557,51,222,SRX3068001,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412544,SAMN07456598,simple,9606,Homo sapiens,GSM2734581,GEO,SRA596989,08,2018,Tuorto,fSF,fSF2,fSF,cervix adenocarcinoma cell line HeLa,Serum free,GSM2734581
SRR5906465,12134607,618864957,51,261,SRX3068002,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412543,SAMN07456582,simple,9606,Homo sapiens,GSM2734582,GEO,SRA596989,08,2018,Tuorto,fSF+qR,fSF+qR1,fSF+qR,cervix adenocarcinoma cell line HeLa,Serum free 30 days+20nm queuine 15 days,GSM2734582
SRR5906466,10846930,553193430,51,233,SRX3068003,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412542,SAMN07456583,simple,9606,Homo sapiens,GSM2734583,GEO,SRA596989,08,2018,Tuorto,fSF+qR,fSF+qR2,fSF+qR,cervix adenocarcinoma cell line HeLa,Serum free 30 days+20nm queuine 15 days,GSM2734583
SRR5906467,15754652,803487252,51,335,SRX3068004,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412541,SAMN07456584,simple,9606,Homo sapiens,GSM2734584,GEO,SRA596989,08,2018,Tuorto,fSF+q,fSF+q1,fSF+q,cervix adenocarcinoma cell line HeLa,Serum free+20nm queuine 45 days,GSM2734584
SRR5906468,13818631,704750181,51,300,SRX3068005,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP114965,PRJNA397422,30093495,"",SRS2412540,SAMN07456585,simple,9606,Homo sapiens,GSM2734585,GEO,SRA596989,08,2018,Tuorto,fSF+q,fSF+q2,fSF+q,cervix adenocarcinoma cell line HeLa,Serum free+20nm queuine 45 days,GSM2734585
