Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,vector,treatment,cell line
SRR18021515,76688788,21989421972,143,6802,SRX14175631,GSM5899122,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999547,SAMN25941641,simple,9606,Homo sapiens,GSM5899122,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV-1,epithelial,EV,untreated,H1299
SRR18021514,65817630,18887929348,143,5841,SRX14175632,GSM5899123,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999549,SAMN25941640,simple,9606,Homo sapiens,GSM5899123,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV-3,epithelial,EV,untreated,H1299
SRR18021513,88083726,25304596840,143,7839,SRX14175633,GSM5899124,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999548,SAMN25941639,simple,9606,Homo sapiens,GSM5899124,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV-4,epithelial,EV,untreated,H1299
SRR18021512,70349253,20227625948,143,6200,SRX14175634,GSM5899125,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999551,SAMN25941638,simple,9606,Homo sapiens,GSM5899125,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV-5,epithelial,EV,untreated,H1299
SRR18021511,76778185,22070264625,143,6800,SRX14175635,GSM5899126,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999550,SAMN25941637,simple,9606,Homo sapiens,GSM5899126,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EVG418-1,epithelial,EV,G418,H1299
SRR18021510,65336020,18722091599,142,5778,SRX14175636,GSM5899127,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999552,SAMN25941636,simple,9606,Homo sapiens,GSM5899127,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EVG418-2,epithelial,EV,G418,H1299
SRR18021509,58552982,16858486360,143,5163,SRX14175637,GSM5899128,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999553,SAMN25941635,simple,9606,Homo sapiens,GSM5899128,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EVG418-4,epithelial,EV,G418,H1299
SRR18021508,62684524,18065092417,143,5560,SRX14175638,GSM5899129,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999554,SAMN25941634,simple,9606,Homo sapiens,GSM5899129,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EVG418-5,epithelial,EV,G418,H1299
SRR18021507,89205691,25519191930,142,7885,SRX14175639,GSM5899130,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999555,SAMN25941633,simple,9606,Homo sapiens,GSM5899130,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV5FUR-1,epithelial,EV,FUr,H1299
SRR18021506,79770965,22904432319,143,7110,SRX14175640,GSM5899131,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359802,PRJNA806948,36433934,"",SRS11999556,SAMN25941632,simple,9606,Homo sapiens,GSM5899131,"van Heesch, Princess Maxima Center",SRA1372940,12,2022,Palomar-Siles,epithelial,RNA-Seq H1299-EV5FUR-2,epithelial,EV,FUr,H1299
