Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,developmental stage,disease,infect,organism part,sample name,Experimental Factor: cell line,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: infect,Experimental Factor: time
ERR6109867,49491001,3761316076,76,1219,ERX5747088,CHX_RNA_8hpi_WT_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987158,SAMEA9252555,simple,60711,Chlorocebus sabaeus,SAMEA9252555,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",CHX_RNA_8hpi_WT_1,2022-03-09,2022-03-09,SAMEA9252555,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:CHX_RNA_8hpi_WT_1,ArrayExpress,MA-104,kidney cell,late embryo,normal,PRRSV-1 WT,kidney,E-MTAB-10623:CHX_RNA_8hpi_WT_1,MA-104,cycloheximide,100,PRRSV-1 WT,8
ERR6109868,73028398,5550158248,76,1809,ERX5747089,CHX_RNA_8hpi_WT_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987159,SAMEA9252556,simple,60711,Chlorocebus sabaeus,SAMEA9252556,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",CHX_RNA_8hpi_WT_2,2022-03-09,2022-03-09,SAMEA9252556,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:CHX_RNA_8hpi_WT_2,ArrayExpress,MA-104,kidney cell,late embryo,normal,PRRSV-1 WT,kidney,E-MTAB-10623:CHX_RNA_8hpi_WT_2,MA-104,cycloheximide,100,PRRSV-1 WT,8
ERR6109869,53026267,4029996292,76,1372,ERX5747090,CHX_RNA_9hpi_KO2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987160,SAMEA9252557,simple,60711,Chlorocebus sabaeus,SAMEA9252557,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",CHX_RNA_9hpi_KO2,2022-03-09,2022-03-09,SAMEA9252557,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:CHX_RNA_9hpi_KO2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:CHX_RNA_9hpi_KO2,MARC-145,cycloheximide,100,PRRSV-2 KO2,9
ERR6109870,35276078,2680981928,76,913,ERX5747091,CHX_RNA_9hpi_mock_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987161,SAMEA9252558,simple,60711,Chlorocebus sabaeus,SAMEA9252558,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",CHX_RNA_9hpi_mock,2022-03-09,2022-03-09,SAMEA9252558,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:CHX_RNA_9hpi_mock,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:CHX_RNA_9hpi_mock,MARC-145,cycloheximide,100,mock,9
ERR6109871,46383983,3525182708,76,1208,ERX5747092,CHX_RNA_9hpi_WT_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987162,SAMEA9252559,simple,60711,Chlorocebus sabaeus,SAMEA9252559,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",CHX_RNA_9hpi_WT,2022-03-09,2022-03-09,SAMEA9252559,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:CHX_RNA_9hpi_WT,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 WT,kidney,E-MTAB-10623:CHX_RNA_9hpi_WT,MARC-145,cycloheximide,100,PRRSV-2 WT,9
ERR6109872,40548402,3081678552,76,1079,ERX5747093,noCHX_RNA_12hpi_KO2_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987163,SAMEA9252560,simple,60711,Chlorocebus sabaeus,SAMEA9252560,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_12hpi_KO2_1,2022-03-09,2022-03-09,SAMEA9252560,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_12hpi_KO2_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_12hpi_KO2_1,MARC-145,cycloheximide,0,PRRSV-2 KO2,12
ERR6109873,38958098,2960815448,76,1051,ERX5747094,noCHX_RNA_12hpi_KO2_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987164,SAMEA9252561,simple,60711,Chlorocebus sabaeus,SAMEA9252561,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_12hpi_KO2_2,2022-03-09,2022-03-09,SAMEA9252561,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_12hpi_KO2_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 KO2,kidney,E-MTAB-10623:noCHX_RNA_12hpi_KO2_2,MARC-145,cycloheximide,0,PRRSV-2 KO2,12
ERR6109874,40151560,3051518560,76,1084,ERX5747095,noCHX_RNA_12hpi_mock_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987165,SAMEA9252562,simple,60711,Chlorocebus sabaeus,SAMEA9252562,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_12hpi_mock_1,2022-03-09,2022-03-09,SAMEA9252562,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_12hpi_mock_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_12hpi_mock_1,MARC-145,cycloheximide,0,mock,12
ERR6109875,41266871,3136282196,76,1100,ERX5747096,noCHX_RNA_12hpi_mock_2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987166,SAMEA9252563,simple,60711,Chlorocebus sabaeus,SAMEA9252563,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_12hpi_mock_2,2022-03-09,2022-03-09,SAMEA9252563,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_12hpi_mock_2,ArrayExpress,MARC-145,kidney cell,late embryo,normal,mock,kidney,E-MTAB-10623:noCHX_RNA_12hpi_mock_2,MARC-145,cycloheximide,0,mock,12
ERR6109876,37867819,2877954244,76,1014,ERX5747097,noCHX_RNA_12hpi_WT_1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130049,PRJEB45877,1,"",ERS6987167,SAMEA9252564,simple,60711,Chlorocebus sabaeus,SAMEA9252564,"Division of Virology, Department of Pathology, University of Cambridge",ERA4940031,03,2022,Makar,"",noCHX_RNA_12hpi_WT_1,2022-03-09,2022-03-09,SAMEA9252564,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2022-03-09T12:27:51Z,2022-03-09T12:27:51Z,public,E-MTAB-10623:noCHX_RNA_12hpi_WT_1,ArrayExpress,MARC-145,kidney cell,late embryo,normal,PRRSV-2 WT,kidney,E-MTAB-10623:noCHX_RNA_12hpi_WT_1,MARC-145,cycloheximide,0,PRRSV-2 WT,12
