Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,molecule subtype,GEO Accession
SRR10398489,76408239,3820411950,50,1663,SRX7098742,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611004,SAMN13190909,simple,6239,Caenorhabditis elegans,GSM4148077,GEO,SRA991333,12,2019,Lee,Embryo,Slee111_N2: wild type Riboseq-1,Embryo,mixed early embryo,RNaseI treated Ribo-Zero treated ribosome bound RNA fragments,GSM4148077
SRR10398490,134995957,6749797850,50,3752,SRX7098743,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611005,SAMN13190908,simple,6239,Caenorhabditis elegans,GSM4148078,GEO,SRA991333,12,2019,Lee,Embryo,Slee132_N2: wild type Riboseq-2,Embryo,mixed early embryo,RNaseI treated Ribo-Zero treated ribosome bound RNA fragments,GSM4148078
SRR10398491,121439833,6071991650,50,3187,SRX7098744,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611006,SAMN13190907,simple,6239,Caenorhabditis elegans,GSM4148079,GEO,SRA991333,12,2019,Lee,Embryo,Slee136_N2: wild type Riboseq-3,Embryo,mixed early embryo,RNaseI treated Ribo-Zero treated ribosome bound RNA fragments,GSM4148079
SRR10398492,35703383,1785169150,50,827,SRX7098745,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611007,SAMN13190906,simple,6239,Caenorhabditis elegans,GSM4148080,GEO,SRA991333,12,2019,Lee,Embryo,Slee123_meg34: meg-3meg-4 Riboseq-1,Embryo,mixed early embryo,RNaseI treated Ribo-Zero treated ribosome bound RNA fragments,GSM4148080
SRR10398493,107081543,5354077150,50,2980,SRX7098746,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611008,SAMN13190905,simple,6239,Caenorhabditis elegans,GSM4148081,GEO,SRA991333,12,2019,Lee,Embryo,Slee133_meg34: meg-3meg-4 Riboseq-2,Embryo,mixed early embryo,RNaseI treated Ribo-Zero treated ribosome bound RNA fragments,GSM4148081
SRR10398494,117347118,5867355900,50,3271,SRX7098747,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611009,SAMN13190929,simple,6239,Caenorhabditis elegans,GSM4148082,GEO,SRA991333,12,2019,Lee,Embryo,Slee135_meg34: meg-3meg-4 Riboseq-3,Embryo,mixed early embryo,RNaseI treated Ribo-Zero treated ribosome bound RNA fragments,GSM4148082
SRR10398495,53153078,2657653900,50,1448,SRX7098748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611010,SAMN13190928,simple,6239,Caenorhabditis elegans,GSM4148083,GEO,SRA991333,12,2019,Lee,Embryo,Slee113_mRNAseqFP_N2_1: wild type mRNAseq-1,Embryo,mixed early embryo,Ribo-Zero treated total RNA,GSM4148083
SRR10398496,54109682,2705484100,50,1501,SRX7098749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611011,SAMN13190927,simple,6239,Caenorhabditis elegans,GSM4148084,GEO,SRA991333,12,2019,Lee,Embryo,Slee138_mRNAseqFP_N2_2: wild type mRNAseq-2,Embryo,mixed early embryo,Ribo-Zero treated total RNA,GSM4148084
SRR10398497,64787771,3239388550,50,1796,SRX7098750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611012,SAMN13190926,simple,6239,Caenorhabditis elegans,GSM4148085,GEO,SRA991333,12,2019,Lee,Embryo,Slee142_mRNAseqFP_N2_3: wild type mRNAseq-3,Embryo,mixed early embryo,Ribo-Zero treated total RNA,GSM4148085
SRR10398498,17823378,891168900,50,527,SRX7098751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611013,SAMN13190925,simple,6239,Caenorhabditis elegans,GSM4148086,GEO,SRA991333,12,2019,Lee,Embryo,Slee125_mRNAseqFP_meg34_1: meg-3meg-4 mRNAseq-1,Embryo,mixed early embryo,Ribo-Zero treated total RNA,GSM4148086
SRR10398499,59848989,2992449450,50,1667,SRX7098752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611014,SAMN13190924,simple,6239,Caenorhabditis elegans,GSM4148087,GEO,SRA991333,12,2019,Lee,Embryo,Slee139_mRNAseqFP_meg34_2: meg-3meg-4 mRNAseq-2,Embryo,mixed early embryo,Ribo-Zero treated total RNA,GSM4148087
SRR10398500,50180090,2509004500,50,1394,SRX7098753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228538,PRJNA587444,31975687,"",SRS5611015,SAMN13190923,simple,6239,Caenorhabditis elegans,GSM4148088,GEO,SRA991333,12,2019,Lee,Embryo,Slee141_mRNAseqFP_meg34_3: meg-3meg-4 mRNAseq-3,Embryo,mixed early embryo,Ribo-Zero treated total RNA,GSM4148088
