Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,GEO Accession
SRR7471227,94213486,2499591632,26,1721,SRX4340894,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501601,SAMN09601909,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244224,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244224
SRR7471228,23139976,684063447,29,486,SRX4340895,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501602,SAMN09601908,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244225,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244225
SRR7471229,34404121,972709465,28,552,SRX4340896,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501603,SAMN09601907,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244226,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244226
SRR7471230,26921095,761736279,28,352,SRX4340897,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501606,SAMN09601906,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244227,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244227
SRR7471231,38469682,1069918440,27,710,SRX4340898,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501604,SAMN09601905,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244228,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS2-GFP, total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244228
SRR7471232,44878111,1346445822,30,909,SRX4340899,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501605,SAMN09601904,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244229,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS2-GFP, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244229
SRR7471233,33529683,978814609,29,558,SRX4340900,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501607,SAMN09601903,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244230,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS2-GFP, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244230
SRR7471234,18884840,482814276,25,309,SRX4340901,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501608,SAMN09601902,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244231,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS2-GFP, IP translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244231
SRR7471235,54742659,2791875609,51,1327,SRX4340902,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501609,SAMN09601901,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244232,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1 deletion of MPT domain segment (Δ4989-6153bp), GFP tagged, Total translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244232
SRR7471236,62637379,3194506329,51,1561,SRX4340903,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501610,SAMN09601900,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244233,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1 deletion of MPT domain segment (Δ4989-6153bp), GFP tagged, IP translatome, replicate 1",Yeast,BY4741,whole organism,GSM3244233
SRR7471237,30590860,1560133860,51,794,SRX4340904,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152018,PRJNA479682,30158700,"",SRS3501612,SAMN09601899,simple,1247190,Saccharomyces cerevisiae BY4741,GSM3244234,GEO,SRA733460,07,2018,Shiber,Yeast,"FAS1 deletion of MPT domain segment (Δ4989-6153bp), GFP tagged, Total translatome, replicate 2",Yeast,BY4741,whole organism,GSM3244234
