Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,developmental stage,GEO Accession
SRR8794277,5014073,146409807,29,79,SRX5583591,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545128,SAMN11267640,simple,10090,Mus musculus,GSM3688777,GEO,SRA866693,09,2019,Hebras,Brain,Brain_adult_1,Brain,Brain,adult,GSM3688777
SRR8794278,6558514,188535354,28,101,SRX5583592,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545129,SAMN11267639,simple,10090,Mus musculus,GSM3688778,GEO,SRA866693,09,2019,Hebras,Brain,Brain_adult_2,Brain,Brain,adult,GSM3688778
SRR8794280,4625492,131793389,28,72,SRX5583593,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545130,SAMN11267638,simple,10090,Mus musculus,GSM3688779,GEO,SRA866693,09,2019,Hebras,Brain,Brain_adult_3,Brain,Brain,adult,GSM3688779
SRR8794281,11191154,379011651,33,211,SRX5583594,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545131,SAMN11267637,simple,10090,Mus musculus,GSM3688780,GEO,SRA866693,09,2019,Hebras,Brain,Brain_E16.5_1,Brain,Brain,E16.5,GSM3688780
SRR8794282,9393820,319009977,33,181,SRX5583595,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545132,SAMN11267636,simple,10090,Mus musculus,GSM3688781,GEO,SRA866693,09,2019,Hebras,Brain,Brain_E16.5_2,Brain,Brain,E16.5,GSM3688781
SRR8794284,15071745,518094550,34,294,SRX5583596,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545133,SAMN11267635,simple,10090,Mus musculus,GSM3688782,GEO,SRA866693,09,2019,Hebras,Brain,Brain_E16.5_3,Brain,Brain,E16.5,GSM3688782
SRR8794285,4883262,146280894,29,79,SRX5583597,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545134,SAMN11267634,simple,10090,Mus musculus,GSM3688783,GEO,SRA866693,09,2019,Hebras,Whole head,Brain_E9.5_1,Whole head,Whole head,E9.5,GSM3688783
SRR8794288,7275235,212611112,29,120,SRX5583598,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545135,SAMN11267633,simple,10090,Mus musculus,GSM3688784,GEO,SRA866693,09,2019,Hebras,Whole head,Brain_E9.5_2,Whole head,Whole head,E9.5,GSM3688784
SRR8794290,5900716,172901921,29,94,SRX5583599,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545136,SAMN11267632,simple,10090,Mus musculus,GSM3688785,GEO,SRA866693,09,2019,Hebras,Whole head,Brain_E9.5_3,Whole head,Whole head,E9.5,GSM3688785
SRR8794292,3965949,110426674,27,64,SRX5583600,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545137,SAMN11267631,simple,10090,Mus musculus,GSM3688786,GEO,SRA866693,09,2019,Hebras,Heart,Heart_adult_1,Heart,Heart,adult,GSM3688786
SRR8794295,20515035,597838422,29,350,SRX5583601,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545138,SAMN11267630,simple,10090,Mus musculus,GSM3688787,GEO,SRA866693,09,2019,Hebras,Heart,Heart_adult_2,Heart,Heart,adult,GSM3688787
SRR8794296,1790415,47944875,26,30,SRX5583602,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545139,SAMN11267629,simple,10090,Mus musculus,GSM3688788,GEO,SRA866693,09,2019,Hebras,Heart,Heart_adult_3,Heart,Heart,adult,GSM3688788
SRR8794298,9912604,283747998,28,155,SRX5583603,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545140,SAMN11267628,simple,10090,Mus musculus,GSM3688789,GEO,SRA866693,09,2019,Hebras,Heart,Heart_E16.5_1,Heart,Heart,E16.5,GSM3688789
SRR8794299,9672945,270350884,27,152,SRX5583604,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545141,SAMN11267627,simple,10090,Mus musculus,GSM3688790,GEO,SRA866693,09,2019,Hebras,Heart,Heart_E16.5_2,Heart,Heart,E16.5,GSM3688790
SRR8794301,14507790,406966229,28,226,SRX5583605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP189642,PRJNA529461,31566069,"",SRS4545142,SAMN11267626,simple,10090,Mus musculus,GSM3688791,GEO,SRA866693,09,2019,Hebras,Heart,Heart_E16.5_3,Heart,Heart,E16.5,GSM3688791
