Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,background,GEO Accession
SRR4163289,99451214,4873109486,49,1603,SRX2136121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670255,SAMN05729638,simple,4932,Saccharomyces cerevisiae,GSM2302392,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,WT-1,culture grown in YEPD,HFY114,W303,GSM2302392
SRR4163290,88933360,4357734640,49,1588,SRX2136122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670256,SAMN05729637,simple,4932,Saccharomyces cerevisiae,GSM2302393,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,WT-2,culture grown in YEPD,HFY114,W303,GSM2302393
SRR4163291,88059819,4314931131,49,1564,SRX2136123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670257,SAMN05729636,simple,4932,Saccharomyces cerevisiae,GSM2302394,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,WT-3,culture grown in YEPD,HFY114,W303,GSM2302394
SRR4163292,113873733,5579812917,49,1833,SRX2136124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670258,SAMN05729635,simple,4932,Saccharomyces cerevisiae,GSM2302395,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF1-delta-1,culture grown in YEPD,HFY871,W303,GSM2302395
SRR4163293,97393754,4772293946,49,1744,SRX2136125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670259,SAMN05729634,simple,4932,Saccharomyces cerevisiae,GSM2302396,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF1-delta-2,culture grown in YEPD,HFY871,W303,GSM2302396
SRR4163294,90476642,4433355458,49,1617,SRX2136126,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670260,SAMN05729633,simple,4932,Saccharomyces cerevisiae,GSM2302397,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF1-delta-3,culture grown in YEPD,HFY871,W303,GSM2302397
SRR4163295,90699581,4444279469,49,1456,SRX2136127,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670261,SAMN05729632,simple,4932,Saccharomyces cerevisiae,GSM2302398,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF2-delta-1,culture grown in YEPD,HFY116,W303,GSM2302398
SRR4163296,86894797,4257845053,49,1553,SRX2136128,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670262,SAMN05729631,simple,4932,Saccharomyces cerevisiae,GSM2302399,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF2-delta-2,culture grown in YEPD,HFY116,W303,GSM2302399
SRR4163297,100741275,4936322475,49,1786,SRX2136129,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670263,SAMN05729630,simple,4932,Saccharomyces cerevisiae,GSM2302400,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF2-delta-3,culture grown in YEPD,HFY116,W303,GSM2302400
SRR4163298,101219373,4959749277,49,1750,SRX2136130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP086113,PRJNA341846,28209632,"",SRS1670264,SAMN05729629,simple,4932,Saccharomyces cerevisiae,GSM2302401,GEO,SRA461989,12,2016,Celik,culture grown in YEPD,UPF3-delta-1,culture grown in YEPD,HFY861,W303,GSM2302401
