Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,GEO Accession
SRR15283612,47775208,2436535608,51,1028,SRX11588494,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622974,SAMN20458431,simple,10090,Mus musculus,GSM5482341,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_Control_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482341
SRR15283613,43248406,3632866104,84,1643,SRX11588495,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622973,SAMN20458432,simple,10090,Mus musculus,GSM5482342,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_Control_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482342
SRR15283614,38002596,1938132396,51,801,SRX11588496,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622975,SAMN20458433,simple,10090,Mus musculus,GSM5482343,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_Starvation_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482343
SRR15283615,52407941,4402267044,84,1992,SRX11588497,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622976,SAMN20458439,simple,10090,Mus musculus,GSM5482344,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_Starvation_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482344
SRR15283616,35957044,1833809244,51,766,SRX11588498,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622977,SAMN20458440,simple,10090,Mus musculus,GSM5482345,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_OGT_KO_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482345
SRR15283617,77773863,6533004492,84,2972,SRX11588499,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622979,SAMN20458441,simple,10090,Mus musculus,GSM5482346,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_OGT_KO_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482346
SRR15283618,40677859,2074570809,51,856,SRX11588500,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622978,SAMN20458434,simple,10090,Mus musculus,GSM5482347,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_OGT_KO_Starvation_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482347
SRR15283619,52185415,4383574860,84,1980,SRX11588501,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622980,SAMN20458430,simple,10090,Mus musculus,GSM5482348,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_OGT_KO_Starvation_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482348
SRR15283620,37094960,1891842960,51,776,SRX11588502,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622981,SAMN20458435,simple,10090,Mus musculus,GSM5482349,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_ThiametG_rep1,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482349
SRR15283621,49915799,4192927116,84,1907,SRX11588503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP330265,PRJNA750456,34887587,"",SRS9622982,SAMN20458436,simple,10090,Mus musculus,GSM5482350,GEO,SRA1266273,11,2021,Shu,Mouse embryonic fibroblasts,Ribo-seq_ThiametG_rep2,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,C57BL/6J,GSM5482350
