Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,BioSampleModel
SRR18575353,613212969,183963890700,150,60692,SRX14704305,smORF-22,OTHER,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467181,SAMN27186113,simple,7227,Drosophila melanogaster,smORF 0-2hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,0-2 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575351,241635444,72490633200,150,24671,SRX14704306,smORF-RNA-Seq-009,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467181,SAMN27186113,simple,7227,Drosophila melanogaster,smORF 0-2hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,0-2 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575350,218657609,65597282700,150,23157,SRX14704307,smORF-RNA-Seq-007,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467182,SAMN27186117,simple,7227,Drosophila melanogaster,smORF 2-4hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,2-4 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575349,151505862,45451758600,150,16056,SRX14704308,smORF-RNA-Seq-008,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467182,SAMN27186117,simple,7227,Drosophila melanogaster,smORF 2-4hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,2-4 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575348,991821061,297546318300,150,99215,SRX14704309,smORF-20,OTHER,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467182,SAMN27186117,simple,7227,Drosophila melanogaster,smORF 2-4hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,2-4 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575347,733860474,220158142200,150,72216,SRX14704310,smORF-18,OTHER,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467183,SAMN27186118,simple,7227,Drosophila melanogaster,smORF 4-6hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,4-6 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575346,129183525,38755057500,150,13303,SRX14704311,smORF-RNA-Seq-005,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467183,SAMN27186118,simple,7227,Drosophila melanogaster,smORF 4-6hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,4-6 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575345,52782380,15834714000,150,5434,SRX14704312,smORF-RNA-Seq-006,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467183,SAMN27186118,simple,7227,Drosophila melanogaster,smORF 4-6hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,4-6 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575352,224101016,67230304800,150,23180,SRX14704313,smORF-RNA-Seq-010,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467181,SAMN27186113,simple,7227,Drosophila melanogaster,smORF 0-2hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,0-2 hrs,pooled male and female,whole embryo,Model organism or animal
SRR18575344,967028272,290108481600,150,96757,SRX14704314,smORF-16,OTHER,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367046,PRJNA822424,1,"",SRS12467184,SAMN27186114,simple,7227,Drosophila melanogaster,smORF 10-12hrs,Lawrence Berkeley National Lab,SRA1396214,04,2022,Makar,"","",Oregon R,10-12 hrs,pooled male and female,whole embryo,Model organism or animal
