Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,GEO Accession
SRR6751073,13233618,397861853,30,289,SRX3723691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981011,SAMN08567972,simple,10090,Mus musculus,GSM3017988,GEO,SRA660600,07,2019,Makar,NSC_1,PR1 NSC,NSC_1,brain,mouse brain neural stem cells,GSM3017988
SRR6751074,13307117,400012258,30,290,SRX3723691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981011,SAMN08567972,simple,10090,Mus musculus,GSM3017988,GEO,SRA660600,07,2019,Makar,NSC_1,PR1 NSC,NSC_2,brain,mouse brain neural stem cells,GSM3017989
SRR6751075,18693276,564025377,30,398,SRX3723692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981010,SAMN08567971,simple,10090,Mus musculus,GSM3017989,GEO,SRA660600,07,2019,Makar,NSC_2,PR2 NSC,BTSC_1,brain,mouse brain tumor stem cells,GSM3017990
SRR6751076,18664530,563066469,30,396,SRX3723692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981010,SAMN08567971,simple,10090,Mus musculus,GSM3017989,GEO,SRA660600,07,2019,Makar,NSC_2,PR2 NSC,BTSC_2,brain,mouse brain tumor stem cells,GSM3017991
SRR6751077,29013391,894183500,30,632,SRX3723693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981025,SAMN08567970,simple,10090,Mus musculus,GSM3017990,GEO,SRA660600,07,2019,Makar,BTSC_1,PR3 BTSC,BTSC_3,brain,mouse brain tumor stem cells,GSM3017992
SRR6751078,29212851,900241172,30,635,SRX3723693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981025,SAMN08567970,simple,10090,Mus musculus,GSM3017990,GEO,SRA660600,07,2019,Makar,BTSC_1,PR3 BTSC,NSC_1,brain,mouse brain neural stem cells,GSM3017988
SRR6751079,30121231,927676673,30,651,SRX3723694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981009,SAMN08567966,simple,10090,Mus musculus,GSM3017991,GEO,SRA660600,07,2019,Makar,BTSC_2,PR4 BTSC,NSC_2,brain,mouse brain neural stem cells,GSM3017989
SRR6751080,30274907,932185989,30,652,SRX3723694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981009,SAMN08567966,simple,10090,Mus musculus,GSM3017991,GEO,SRA660600,07,2019,Makar,BTSC_2,PR4 BTSC,BTSC_1,brain,mouse brain tumor stem cells,GSM3017990
SRR6751081,26404316,775393907,29,559,SRX3723695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981012,SAMN08567967,simple,10090,Mus musculus,GSM3017992,GEO,SRA660600,07,2019,Makar,BTSC_3,PR5 BTSC,BTSC_2,brain,mouse brain tumor stem cells,GSM3017991
SRR6751082,26517962,778705223,29,560,SRX3723695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133147,PRJNA434716,1,"",SRS2981012,SAMN08567967,simple,10090,Mus musculus,GSM3017992,GEO,SRA660600,07,2019,Makar,BTSC_3,PR5 BTSC,BTSC_3,brain,mouse brain tumor stem cells,GSM3017992
