Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,temperature,molecule subtype,treatment,strain,substrain,GEO Accession
SRR6001737,20671753,614302032,29,456,SRX3157107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488598,SAMN07602624,simple,562,Escherichia coli,GSM2770989,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling at 37°C in WT cells_1,MG1655,MG1655,wild type,37°C,Ribosome protected mRNA,,,,GSM2770989
SRR6001738,16625543,487122180,29,362,SRX3157108,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488599,SAMN07602623,simple,562,Escherichia coli,GSM2770990,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 10 min after shift to 10°C in WT cells_1,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770990
SRR6001739,8816443,253931666,28,195,SRX3157109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488600,SAMN07602622,simple,562,Escherichia coli,GSM2770991,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 30 min after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770991
SRR6001740,7472980,210323047,28,161,SRX3157110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488601,SAMN07602621,simple,562,Escherichia coli,GSM2770992,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 2 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770992
SRR6001741,16047781,463280196,28,345,SRX3157111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488602,SAMN07602620,simple,562,Escherichia coli,GSM2770993,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 3 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770993
SRR6001742,5968378,168325033,28,129,SRX3157112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488603,SAMN07602619,simple,562,Escherichia coli,GSM2770994,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 4 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770994
SRR6001743,6838687,194508545,28,149,SRX3157113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP117035,PRJNA401857,29628307,"",SRS2488604,SAMN07602618,simple,562,Escherichia coli,GSM2770995,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 6 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770995
SRR6001744,38289935,1914496750,50,1252,SRX3157114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488605,SAMN07602617,simple,562,Escherichia coli,GSM2770996,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 5 min after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770996
SRR6001745,11745422,587271100,50,398,SRX3157115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488606,SAMN07602616,simple,562,Escherichia coli,GSM2770997,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 10 min after shift to 10°C in WT cells_2,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770997
SRR6001746,16428973,821448650,50,556,SRX3157116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488607,SAMN07602615,simple,562,Escherichia coli,GSM2770998,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 15 min after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770998
SRR6001747,11769741,600256791,51,408,SRX3157117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488608,SAMN07602614,simple,562,Escherichia coli,GSM2770999,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 8 hr after shift to 10°C in WT cells,MG1655,MG1655,wild type,10°C,Ribosome protected mRNA,,,,GSM2770999
SRR6001748,11622124,592728324,51,378,SRX3157117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117035,PRJNA401857,29628307,"",SRS2488608,SAMN07602614,simple,562,Escherichia coli,GSM2770999,GEO,SRA605192,04,2018,Zhang,MG1655,Ribosome profiling 8 hr after shift to 10°C in WT cells,MG1655 ∆cspABEG,MG1655,{delta}cspABEG,10°C,Ribosome protected mRNA,,,,GSM2771000
