Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cell_line,sample_type,cell cycle phase,replicate
SRR970490,201908022,10297309122,51,6961,SRX345301,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476840,SAMN02344693,simple,9606,Homo sapiens,Hela G1 RP CS26,University of California San Francisco,SRA099816,07,2015,Makar,"",G1 synch hela RP 1,Hela,ribosome footprint,G1,1
SRR970538,221133673,11277817323,51,7864,SRX345302,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476841,SAMN02344694,simple,9606,Homo sapiens,Hela G1 RP CS28,University of California San Francisco,SRA099816,07,2015,Makar,"",G1 synch hela RP 2,Hela,ribosome footprint,G1,2
SRR970543,218310338,11133827238,51,7557,SRX345303,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476842,SAMN02344695,simple,9606,Homo sapiens,Hela G1 RNA CS25,University of California San Francisco,SRA099816,07,2015,Makar,"",G1 synch hela total RNA 1,Hela,total RNA,G1,1
SRR970550,224038519,11425964469,51,7854,SRX345304,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476843,SAMN02344696,simple,9606,Homo sapiens,Hela G1 RNA CS27,University of California San Francisco,SRA099816,07,2015,Makar,"",G1 synch hela total RNA 2,Hela,total RNA,G1,2
SRR970561,110397778,5630286678,51,4061,SRX345305,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476844,SAMN02344697,simple,9606,Homo sapiens,Hela S RP CS5,University of California San Francisco,SRA099816,07,2015,Makar,"",S-phase hela RP 1,Hela,ribosome footprint,S-phase,1
SRR970565,194516225,9920327475,51,6483,SRX345306,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476845,SAMN02344698,simple,9606,Homo sapiens,Hela S RP CS9,University of California San Francisco,SRA099816,07,2015,Makar,"",S-phase hela RP 2,Hela,ribosome footprint,S-phase,2
SRR970576,33732012,1720332612,51,1337,SRX345307,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476846,SAMN02344699,simple,9606,Homo sapiens,Hela S RNA CS6,University of California San Francisco,SRA099816,07,2015,Makar,"",S-phase hela total RNA 1,Hela,total RNA,S-phase,1
SRR970578,184915452,9430688052,51,6450,SRX345308,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476847,SAMN02344700,simple,9606,Homo sapiens,Hela S RNA CS10,University of California San Francisco,SRA099816,07,2015,Makar,"",S-phase hela total RNA 2,Hela,total RNA,S-phase,2
SRR970587,91743213,4678903863,51,3252,SRX345309,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476848,SAMN02344701,simple,9606,Homo sapiens,Hela Mitosis RP CS3,University of California San Francisco,SRA099816,07,2015,Makar,"",Mitotic hela RP 1,Hela,ribosome footprint,Mitosis,1
SRR970588,218657879,11151551829,51,7616,SRX345310,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476849,SAMN02344702,simple,9606,Homo sapiens,Hela Mitosis RP CS11,University of California San Francisco,SRA099816,07,2015,Makar,"",Mitotic hela RP 2,Hela,ribosome footprint,Mitosis,2
SRR970592,108853066,5551506366,51,3864,SRX345311,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476850,SAMN02344703,simple,9606,Homo sapiens,Hela Mitosis RNA CS4,University of California San Francisco,SRA099816,07,2015,Makar,"",Mitotic hela total RNA 1,Hela,total RNA,Mitosis,1
SRR970593,215012671,10965646221,51,7433,SRX345312,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029589,PRJNA218051,1,"",SRS476851,SAMN02344704,simple,9606,Homo sapiens,Hela Mitosis RNA CS12,University of California San Francisco,SRA099816,07,2015,Makar,"",Mitotic hela total RNA 2,Hela,total RNA,Mitosis,2
