Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,media,sample type,GEO Accession
SRR6348553,2625638,78769140,30,28,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
SRR6348554,2392287,179421525,75,69,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348555,2468579,185143425,75,71,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
SRR6348556,2404264,180319800,75,70,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
SRR6348557,3010164,225762300,75,88,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348558,2929033,219677475,75,86,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
SRR6348559,3026852,227013900,75,88,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
SRR6348560,2939083,220431225,75,86,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877030
SRR6348561,2535818,76074540,30,27,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,total RNA,GSM2877031
SRR6348562,2585958,77578740,30,28,SRX3445558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP126173,PRJNA421178,29377894,"",SRS2735966,SAMN08134025,simple,4932,Saccharomyces cerevisiae,GSM2877029,GEO,SRA636102,01,2018,Diament,Saccharomyces cerevisiae,"Ribo-seq, mRPF",Saccharomyces cerevisiae,YPD,ribosome protected RNA fragment,GSM2877029
