Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,fraction,shRNA,strain,genotype,GEO Accession
SRR14722521,4560468,342035100,75,121,SRX11059531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126759,SAMN19550842,simple,9606,Homo sapiens,GSM5356651,GEO,SRA1240518,01,2022,Makar,mcf10a,mcf10a_charged_tRNA_1,mcf10a,breast cancer cell line,charged tRNA,,,,GSM5356651
SRR14722522,4072659,305449425,75,110,SRX11059532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126760,SAMN19550841,simple,9606,Homo sapiens,GSM5356652,GEO,SRA1240518,01,2022,Makar,mcf10a,mcf10a_charged_tRNA_2,mcf10a,breast cancer cell line,charged tRNA,,,,GSM5356652
SRR14722523,7987760,599082000,75,213,SRX11059533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126761,SAMN19550840,simple,9606,Homo sapiens,GSM5356653,GEO,SRA1240518,01,2022,Makar,mcf10a,mcf10a_charged_tRNA_3,mcf10a,breast cancer cell line,charged tRNA,,,,GSM5356653
SRR14722524,4876838,365762850,75,131,SRX11059534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126762,SAMN19550839,simple,9606,Homo sapiens,GSM5356654,GEO,SRA1240518,01,2022,Makar,mcf10a,mcf10a_total_tRNA_1,mcf10a,breast cancer cell line,total tRNA,,,,GSM5356654
SRR14722525,54792,4109400,75,1,SRX11059535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126763,SAMN19550838,simple,9606,Homo sapiens,GSM5356655,GEO,SRA1240518,01,2022,Makar,mcf10a,mcf10a_total_tRNA_2,mcf10a,breast cancer cell line,total tRNA,,,,GSM5356655
SRR14722526,3540869,265565175,75,96,SRX11059536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126764,SAMN19550837,simple,9606,Homo sapiens,GSM5356656,GEO,SRA1240518,01,2022,Makar,mcf10a,mcf10a_total_tRNA_3,mcf10a,breast cancer cell line,total tRNA,,,,GSM5356656
SRR14722527,7086484,531486300,75,191,SRX11059537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126765,SAMN19550836,simple,9606,Homo sapiens,GSM5356657,GEO,SRA1240518,01,2022,Makar,HCC1806,HCC1806_charged_tRNA_1,HCC1806,breast cancer cell line,charged tRNA,,,,GSM5356657
SRR14722528,4471062,335329650,75,119,SRX11059538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126766,SAMN19550835,simple,9606,Homo sapiens,GSM5356658,GEO,SRA1240518,01,2022,Makar,HCC1806,HCC1806_charged_tRNA_2,HCC1806,breast cancer cell line,charged tRNA,,,,GSM5356658
SRR14722529,6551845,491388375,75,176,SRX11059539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126767,SAMN19550834,simple,9606,Homo sapiens,GSM5356659,GEO,SRA1240518,01,2022,Makar,HCC1806,HCC1806_charged_tRNA_3,HCC1806,breast cancer cell line,charged tRNA,,,,GSM5356659
SRR14722530,4590914,344318550,75,123,SRX11059540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126768,SAMN19550833,simple,9606,Homo sapiens,GSM5356660,GEO,SRA1240518,01,2022,Makar,HCC1806,HCC1806_total_tRNA_1,HCC1806,breast cancer cell line,total tRNA,,,,GSM5356660
SRR14722531,4580118,343508850,75,123,SRX11059541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126769,SAMN19550832,simple,9606,Homo sapiens,GSM5356661,GEO,SRA1240518,01,2022,Makar,HCC1806,HCC1806_total_tRNA_2,HCC1806,breast cancer cell line,total tRNA,,,,GSM5356661
SRR14722532,7504676,562850700,75,204,SRX11059542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126770,SAMN19550831,simple,9606,Homo sapiens,GSM5356662,GEO,SRA1240518,01,2022,Makar,HCC1806,HCC1806_total_tRNA_3,HCC1806,breast cancer cell line,total tRNA,,,,GSM5356662
SRR14722533,10986948,835008048,76,373,SRX11059543,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126771,SAMN19550866,simple,10090,Mus musculus,GSM5356663,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shCtrl-low-1,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shCtrl,,,GSM5356663
SRR14722534,12375177,940513452,76,420,SRX11059544,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126772,SAMN19550865,simple,10090,Mus musculus,GSM5356664,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shCtrl-low-2,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shCtrl,,,GSM5356664
SRR14722535,52100878,3959666728,76,1343,SRX11059545,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126773,SAMN19550864,simple,10090,Mus musculus,GSM5356665,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shCtrl-low-3,4T07,breast cancer cell line,low-translated mRNAs (1-2 polysomes),shCtrl,,,GSM5356665
SRR14722536,13386980,1017410480,76,453,SRX11059546,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126774,SAMN19550855,simple,10090,Mus musculus,GSM5356666,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shCtrl-high-1,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shCtrl,,,GSM5356666
SRR14722537,11274440,856857440,76,388,SRX11059547,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322534,PRJNA734953,1,"",SRS9126775,SAMN19550854,simple,10090,Mus musculus,GSM5356667,GEO,SRA1240518,01,2022,Makar,4T07,polysome profiling shCtrl-high-2,4T07,breast cancer cell line,high-translated mRNAs (3+ polysomes),shCtrl,,,GSM5356667
