Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,sex,tissue,BioSampleModel
SRR13068106,46271274,4627127400,100,2680,SRX9515620,totalRNA-1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723497,SAMN16784939,simple,10090,Mus musculus,CVN,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159350,01,2022,Makar,"",Mus Musculus CVN APPSwDI/NOS2-/-,CVN - APPSwDI/NOS2-/-,6 months old,male,brain cortex,Model organism or animal
SRR13068105,45995066,4599506600,100,2694,SRX9515621,totalRNA-2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723497,SAMN16784939,simple,10090,Mus musculus,CVN,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159350,01,2022,Makar,"",Mus Musculus CVN APPSwDI/NOS2-/-,CVN - APPSwDI/NOS2-/-,6 months old,male,brain cortex,Model organism or animal
SRR13068104,46073508,4607350800,100,2697,SRX9515622,totalRNA-3,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723497,SAMN16784939,simple,10090,Mus musculus,CVN,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159350,01,2022,Makar,"",Mus Musculus CVN APPSwDI/NOS2-/-,CVN - APPSwDI/NOS2-/-,6 months old,male,brain cortex,Model organism or animal
SRR13068103,125158118,4751649071,37,2681,SRX9515623,footp-1,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723497,SAMN16784939,simple,10090,Mus musculus,CVN,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159350,01,2022,Makar,"",Mus Musculus CVN APPSwDI/NOS2-/-,CVN - APPSwDI/NOS2-/-,6 months old,male,brain cortex,Model organism or animal
SRR13068102,124834868,4769192635,38,2777,SRX9515624,footp-2,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723497,SAMN16784939,simple,10090,Mus musculus,CVN,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159350,01,2022,Makar,"",Mus Musculus CVN APPSwDI/NOS2-/-,CVN - APPSwDI/NOS2-/-,6 months old,male,brain cortex,Model organism or animal
SRR13068101,124796265,4750026490,38,2725,SRX9515625,footp-3,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723497,SAMN16784939,simple,10090,Mus musculus,CVN,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159350,01,2022,Makar,"",Mus Musculus CVN APPSwDI/NOS2-/-,CVN - APPSwDI/NOS2-/-,6 months old,male,brain cortex,Model organism or animal
SRR13068325,46527924,4652792400,100,2691,SRX9515839,totalRNA-1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723711,SAMN16784963,simple,10090,Mus musculus,Wild type C57BL/6J,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159393,01,2022,Makar,"",Mus Musculus Wt C57BL/6J,C57BL/6J,6 months old,male,brain cortex,Model organism or animal
SRR13068324,46984842,4698484200,100,2717,SRX9515840,totalRNA-2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723711,SAMN16784963,simple,10090,Mus musculus,Wild type C57BL/6J,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159393,01,2022,Makar,"",Mus Musculus Wt C57BL/6J,C57BL/6J,6 months old,male,brain cortex,Model organism or animal
SRR13068323,47219496,4721949600,100,2738,SRX9515841,totalRNA-3,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723711,SAMN16784963,simple,10090,Mus musculus,Wild type C57BL/6J,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159393,01,2022,Makar,"",Mus Musculus Wt C57BL/6J,C57BL/6J,6 months old,male,brain cortex,Model organism or animal
SRR13068322,125600184,4809873011,38,2621,SRX9515842,footp-1,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723711,SAMN16784963,simple,10090,Mus musculus,Wild type C57BL/6J,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159393,01,2022,Makar,"",Mus Musculus Wt C57BL/6J,C57BL/6J,6 months old,male,brain cortex,Model organism or animal
SRR13068321,147633148,5612208200,38,3230,SRX9515843,footp-2,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723711,SAMN16784963,simple,10090,Mus musculus,Wild type C57BL/6J,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159393,01,2022,Makar,"",Mus Musculus Wt C57BL/6J,C57BL/6J,6 months old,male,brain cortex,Model organism or animal
SRR13068320,98153015,3745570091,38,2158,SRX9515844,footp-3,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723711,SAMN16784963,simple,10090,Mus musculus,Wild type C57BL/6J,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159393,01,2022,Makar,"",Mus Musculus Wt C57BL/6J,C57BL/6J,6 months old,male,brain cortex,Model organism or animal
SRR13068346,47900148,4790014800,100,2771,SRX9515860,totalRNA-1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723727,SAMN16785118,simple,10090,Mus musculus,Tg2576,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159411,01,2022,Makar,"",Mus Musculus Tg2576 APPSw,Tg2576 - APPSw,6 months old,male,brain cortex,Model organism or animal
SRR13068345,47313148,4731314800,100,2745,SRX9515861,totalRNA-2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723727,SAMN16785118,simple,10090,Mus musculus,Tg2576,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159411,01,2022,Makar,"",Mus Musculus Tg2576 APPSw,Tg2576 - APPSw,6 months old,male,brain cortex,Model organism or animal
SRR13068344,46862086,4686208600,100,2717,SRX9515862,totalRNA-3,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723727,SAMN16785118,simple,10090,Mus musculus,Tg2576,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159411,01,2022,Makar,"",Mus Musculus Tg2576 APPSw,Tg2576 - APPSw,6 months old,male,brain cortex,Model organism or animal
SRR13068343,124934216,4752128602,38,2788,SRX9515863,footp-1,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723727,SAMN16785118,simple,10090,Mus musculus,Tg2576,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159411,01,2022,Makar,"",Mus Musculus Tg2576 APPSw,Tg2576 - APPSw,6 months old,male,brain cortex,Model organism or animal
SRR13068342,125030269,4762284572,38,2814,SRX9515864,footp-2,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723727,SAMN16785118,simple,10090,Mus musculus,Tg2576,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159411,01,2022,Makar,"",Mus Musculus Tg2576 APPSw,Tg2576 - APPSw,6 months old,male,brain cortex,Model organism or animal
SRR13068341,124656995,4752234425,38,2691,SRX9515865,footp-3,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7723727,SAMN16785118,simple,10090,Mus musculus,Tg2576,Instituto de Investigaciones Biologicas Clemente Estable,SRA1159411,01,2022,Makar,"",Mus Musculus Tg2576 APPSw,Tg2576 - APPSw,6 months old,male,brain cortex,Model organism or animal
SRR13071807,42170064,4217006400,100,2429,SRX9519319,totalRNA-1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7726750,SAMN16785203,simple,10090,Mus musculus,Wild type C57BL/6N and B6; SJL,Instituto de Investigaciones Biologicas Clemente Estable,SRA1160051,01,2022,Makar,"",Mus Musculus Wt C57BL/6J and B6; SJL,C57BL/6N and B6; SJL,6 months old,male,brain cortex,Model organism or animal
SRR13071806,45516056,4551605600,100,2648,SRX9519320,totalRNA-2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7726750,SAMN16785203,simple,10090,Mus musculus,Wild type C57BL/6N and B6; SJL,Instituto de Investigaciones Biologicas Clemente Estable,SRA1160051,01,2022,Makar,"",Mus Musculus Wt C57BL/6J and B6; SJL,C57BL/6N and B6; SJL,6 months old,male,brain cortex,Model organism or animal
SRR13071805,46065520,4606552000,100,2668,SRX9519321,totalRNA-3,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7726750,SAMN16785203,simple,10090,Mus musculus,Wild type C57BL/6N and B6; SJL,Instituto de Investigaciones Biologicas Clemente Estable,SRA1160051,01,2022,Makar,"",Mus Musculus Wt C57BL/6J and B6; SJL,C57BL/6N and B6; SJL,6 months old,male,brain cortex,Model organism or animal
SRR13071804,125767260,4834695044,38,2674,SRX9519322,footp-1,RNA-Seq,RT-PCR,OTHER,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP292749,PRJNA677972,1,"",SRS7726750,SAMN16785203,simple,10090,Mus musculus,Wild type C57BL/6N and B6; SJL,Instituto de Investigaciones Biologicas Clemente Estable,SRA1160051,01,2022,Makar,"",Mus Musculus Wt C57BL/6J and B6; SJL,C57BL/6N and B6; SJL,6 months old,male,brain cortex,Model organism or animal
