Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,induced mirna,batch,molecule subtype,GEO Accession
SRR10441340,31996597,1872167079,58,436,SRX7136086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645004,SAMN13281655,simple,9606,Homo sapiens,GSM4160108,GEO,SRA995631,08,2020,Patel,Empty vector control,Empty vector control rep 1 (batch 1) [PRO-seq],Empty vector control,Flp-In T-REx 293 Cell,None,1,Nascent RNA,GSM4160108
SRR10441341,32810130,1908287035,58,457,SRX7136087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645005,SAMN13281654,simple,9606,Homo sapiens,GSM4160109,GEO,SRA995631,08,2020,Patel,Empty vector control,Empty vector control rep 2 (batch 1) [PRO-seq],Empty vector control,Flp-In T-REx 293 Cell,None,1,Nascent RNA,GSM4160109
SRR10441342,32576427,1872778317,57,441,SRX7136088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645006,SAMN13281653,simple,9606,Homo sapiens,GSM4160110,GEO,SRA995631,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 1 (batch 1) [PRO-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,has-miR-1,1,Nascent RNA,GSM4160110
SRR10441343,33859343,1931438706,57,452,SRX7136089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645007,SAMN13281652,simple,9606,Homo sapiens,GSM4160111,GEO,SRA995631,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 2 (batch 1) [PRO-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,has-miR-1,1,Nascent RNA,GSM4160111
SRR10441344,34646245,1975740033,57,469,SRX7136090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645008,SAMN13281651,simple,9606,Homo sapiens,GSM4160112,GEO,SRA995631,08,2020,Patel,miR-122 expressing cells,miR-122 expressing cells rep 1 (batch 1) [PRO-seq],miR-122 expressing cells,Flp-In T-REx 293 Cell,has-miR-122,1,Nascent RNA,GSM4160112
SRR10441345,37170761,2094339253,56,498,SRX7136091,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645009,SAMN13281650,simple,9606,Homo sapiens,GSM4160113,GEO,SRA995631,08,2020,Patel,miR-122 expressing cells,miR-122 expressing cells rep 2 (batch 1) [PRO-seq],miR-122 expressing cells,Flp-In T-REx 293 Cell,has-miR-122,1,Nascent RNA,GSM4160113
SRR10441346,10002112,564833711,56,88,SRX7136092,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645010,SAMN13281649,simple,9606,Homo sapiens,GSM4160114,GEO,SRA995631,08,2020,Patel,Empty vector control,Empty vector control rep 1 (batch 2) [PRO-seq],Empty vector control,Flp-In T-REx 293 Cell,None,2,Nascent RNA,GSM4160114
SRR10441347,19480527,1070549438,54,173,SRX7136093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645011,SAMN13281640,simple,9606,Homo sapiens,GSM4160115,GEO,SRA995631,08,2020,Patel,Empty vector control,Empty vector control rep 2 (batch 2) [PRO-seq],Empty vector control,Flp-In T-REx 293 Cell,None,2,Nascent RNA,GSM4160115
SRR10441348,16683983,894043540,53,141,SRX7136094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645012,SAMN13281639,simple,9606,Homo sapiens,GSM4160116,GEO,SRA995631,08,2020,Patel,Empty vector control,Empty vector control rep 3 (batch 2) [PRO-seq],Empty vector control,Flp-In T-REx 293 Cell,None,2,Nascent RNA,GSM4160116
SRR10441349,16373531,917326588,56,152,SRX7136095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645013,SAMN13281638,simple,9606,Homo sapiens,GSM4160117,GEO,SRA995631,08,2020,Patel,miR-133a expressing cells,miR-133a expressing cells rep 1 (batch 2) [PRO-seq],miR-133a expressing cells,Flp-In T-REx 293 Cell,has-miR-133a,2,Nascent RNA,GSM4160117
SRR10441350,17727582,1015150449,57,165,SRX7136096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645014,SAMN13281637,simple,9606,Homo sapiens,GSM4160118,GEO,SRA995631,08,2020,Patel,miR-133a expressing cells,miR-133a expressing cells rep 2 (batch 2) [PRO-seq],miR-133a expressing cells,Flp-In T-REx 293 Cell,has-miR-133a,2,Nascent RNA,GSM4160118
SRR10441351,13122698,707334547,53,121,SRX7136097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229758,PRJNA589465,32821933,"",SRS5645015,SAMN13281636,simple,9606,Homo sapiens,GSM4160119,GEO,SRA995631,08,2020,Patel,miR-133a expressing cells,miR-133a expressing cells rep 3 (batch 2) [PRO-seq],miR-133a expressing cells,Flp-In T-REx 293 Cell,has-miR-133a,2,Nascent RNA,GSM4160119
