Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,mouse group,cell type,rna isolated from,GEO Accession
SRR6215545,60611250,12058121991,99,4382,SRX3324216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628327,SAMN07833753,simple,10090,Mus musculus,GSM2830362,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Cytoplasmic,FVB_CHOW_Cytoplasmic_1,FVB_CHOW_Cytoplasmic,FVB,normal (CHOW)-fed,hepatocytes,cytoplamic,GSM2830362
SRR6215546,55800910,11098443953,99,4014,SRX3324216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628327,SAMN07833753,simple,10090,Mus musculus,GSM2830362,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Cytoplasmic,FVB_CHOW_Cytoplasmic_1,FVB_CHOW_Cytoplasmic,FVB,normal (CHOW)-fed,hepatocytes,cytoplamic,GSM2830363
SRR6215547,49418616,9830914429,99,3591,SRX3324217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628328,SAMN07833752,simple,10090,Mus musculus,GSM2830363,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Cytoplasmic,FVB_CHOW_Cytoplasmic_2,FVB_DDC_Cytoplasmic,FVB,DDC-fed,hepatocytes,cytoplamic,GSM2830364
SRR6215548,45140670,8977424592,99,3249,SRX3324217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628328,SAMN07833752,simple,10090,Mus musculus,GSM2830363,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Cytoplasmic,FVB_CHOW_Cytoplasmic_2,FVB_DDC_Cytoplasmic,FVB,DDC-fed,hepatocytes,cytoplamic,GSM2830365
SRR6215549,59952761,11923287528,99,4481,SRX3324218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628329,SAMN07833751,simple,10090,Mus musculus,GSM2830364,GEO,SRA624413,09,2018,Bangru,FVB_DDC_Cytoplasmic,FVB_DDC_Cytoplasmic_1,FVB_CHOW_Monosome,FVB,normal (CHOW)-fed,hepatocytes,Monosome (1 ribosome),GSM2830366
SRR6215550,48518552,9644777944,99,3821,SRX3324219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628330,SAMN07833745,simple,10090,Mus musculus,GSM2830365,GEO,SRA624413,09,2018,Bangru,FVB_DDC_Cytoplasmic,FVB_DDC_Cytoplasmic_2,FVB_CHOW_Monosome,FVB,normal (CHOW)-fed,hepatocytes,Monosome (1 ribosome),GSM2830367
SRR6215551,42449890,8442017494,99,3065,SRX3324220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628331,SAMN07833746,simple,10090,Mus musculus,GSM2830366,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Monosome,FVB_CHOW_Monosome_1,FVB_DDC_Monosome,FVB,DDC-fed,hepatocytes,Monosome (1 ribosome),GSM2830368
SRR6215552,39994933,7950420421,99,2859,SRX3324220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628331,SAMN07833746,simple,10090,Mus musculus,GSM2830366,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Monosome,FVB_CHOW_Monosome_1,FVB_DDC_Monosome,FVB,DDC-fed,hepatocytes,Monosome (1 ribosome),GSM2830369
SRR6215553,38197237,7597511303,99,2748,SRX3324221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628333,SAMN07833747,simple,10090,Mus musculus,GSM2830367,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Monosome,FVB_CHOW_Monosome_2,FVB_CHOW_Light_Polysome,FVB,normal (CHOW)-fed,hepatocytes,Light polysome (2-4 ribosomes),GSM2830370
SRR6215554,29917538,5949196744,99,2129,SRX3324221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628333,SAMN07833747,simple,10090,Mus musculus,GSM2830367,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Monosome,FVB_CHOW_Monosome_2,FVB_CHOW_Light_Polysome,FVB,normal (CHOW)-fed,hepatocytes,Light polysome (2-4 ribosomes),GSM2830371
SRR6215555,30759613,6115169849,99,2303,SRX3324222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628332,SAMN07833748,simple,10090,Mus musculus,GSM2830368,GEO,SRA624413,09,2018,Bangru,FVB_DDC_Monosome,FVB_DDC_Monosome_1,FVB_DDC_Light_Polysome,FVB,DDC-fed,hepatocytes,Light polysome (2-4 ribosomes),GSM2830372
SRR6215556,44190000,8789784214,99,3332,SRX3324223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628334,SAMN07833749,simple,10090,Mus musculus,GSM2830369,GEO,SRA624413,09,2018,Bangru,FVB_DDC_Monosome,FVB_DDC_Monosome_2,FVB_DDC_Light_Polysome,FVB,DDC-fed,hepatocytes,Light polysome (2-4 ribosomes),GSM2830373
SRR6215557,48579140,9664284984,99,3706,SRX3324224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628335,SAMN07833750,simple,10090,Mus musculus,GSM2830370,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Light_Polysome,FVB_CHOW_Light_Polysome_1,FVB_CHOW_Heavy_Polysome,FVB,normal (CHOW)-fed,hepatocytes,Heavy polysomes (>5),GSM2830374
SRR6215558,45606238,9070492082,99,3353,SRX3324224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628335,SAMN07833750,simple,10090,Mus musculus,GSM2830370,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Light_Polysome,FVB_CHOW_Light_Polysome_1,FVB_CHOW_Heavy_Polysome,FVB,normal (CHOW)-fed,hepatocytes,Heavy polysomes (>5),GSM2830375
SRR6215559,48134743,9573826405,99,3491,SRX3324225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628337,SAMN07833744,simple,10090,Mus musculus,GSM2830371,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Light_Polysome,FVB_CHOW_Light_Polysome_2,FVB_DDC_Heavy_Polysome,FVB,DDC-fed,hepatocytes,Heavy polysomes (>5),GSM2830376
SRR6215560,44653132,8877997797,99,3205,SRX3324225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP121411,PRJNA415722,30250226,"",SRS2628337,SAMN07833744,simple,10090,Mus musculus,GSM2830371,GEO,SRA624413,09,2018,Bangru,FVB_CHOW_Light_Polysome,FVB_CHOW_Light_Polysome_2,FVB_DDC_Heavy_Polysome,FVB,DDC-fed,hepatocytes,Heavy polysomes (>5),GSM2830377
