Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,virus,treatment,tissue,GEO Accession
SRR12749241,57389297,5279815324,8,2414,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811944
SRR12749242,49250119,4531010948,8,2021,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811945
SRR12749243,49144557,4521299244,8,2049,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811946
SRR12749244,48653365,4476109580,8,2044,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811947
SRR12749245,56965658,5240840536,8,2413,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre3,4-hour kainic acid,CA1 region of hippocampus,GSM4811948
SRR12749246,54558188,5019353296,8,2346,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811949
SRR12749247,53113543,4886445956,8,2318,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del1,4-hour kainic acid,CA1 region of hippocampus,GSM4811950
SRR12749248,55660413,5120757996,8,2272,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811951
SRR12749249,57342751,5275533092,8,2363,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del2,4-hour kainic acid,CA1 region of hippocampus,GSM4811952
SRR12749250,54809829,5042504268,8,2278,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811953
