Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,dev_stage,geo_loc_name,tissue,treatment,ID,BioSampleModel
SRR13244806,26035336,7810600800,150,2987,SRX9676487,TR-C1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874521,SAMN17065230,simple,3635,Gossypium hirsutum,TR-C1,Henan University,SRA1170530,12,2021,Makar,"",TM-CK1,TM-1,seedling,China:Kaifeng,root,Control,1,Plant
SRR13244805,24871939,7461581700,150,2836,SRX9676488,TR-C2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874522,SAMN17065231,simple,3635,Gossypium hirsutum,TR-C2,Henan University,SRA1170530,12,2021,Makar,"",TM-CK2,TM-1,seedling,China:Kaifeng,root,Control,2,Plant
SRR13244804,21020137,6306041100,150,2407,SRX9676489,RNC-T2,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874523,SAMN17065240,simple,3635,Gossypium hirsutum,RNC-T2,Henan University,SRA1170530,12,2021,Makar,"",TM-T2,TM-1,seedling,China:Kaifeng,root,V. dahliae infection,11,Plant
SRR13244803,22015546,6604663800,150,2684,SRX9676490,RNC-T3,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874524,SAMN17065241,simple,3635,Gossypium hirsutum,RNC-T3,Henan University,SRA1170530,12,2021,Makar,"",TM-T3,TM-1,seedling,China:Kaifeng,root,V. dahliae infection,12,Plant
SRR13244802,28710197,8613059100,150,3261,SRX9676491,TR-C3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874525,SAMN17065232,simple,3635,Gossypium hirsutum,TR-C3,Henan University,SRA1170530,12,2021,Makar,"",TM-CK3,TM-1,seedling,China:Kaifeng,root,Control,3,Plant
SRR13244801,23004836,6901450800,150,2619,SRX9676492,RNC-C1,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874526,SAMN17065233,simple,3635,Gossypium hirsutum,RNC-C1,Henan University,SRA1170530,12,2021,Makar,"",TM-CK1,TM-1,seedling,China:Kaifeng,root,Control,4,Plant
SRR13244800,22258694,6677608200,150,2531,SRX9676493,RNC-C2,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874527,SAMN17065234,simple,3635,Gossypium hirsutum,RNC-C2,Henan University,SRA1170530,12,2021,Makar,"",TM-CK2,TM-1,seedling,China:Kaifeng,root,Control,5,Plant
SRR13244799,22351837,6705551100,150,2537,SRX9676494,RNC-C3,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874528,SAMN17065235,simple,3635,Gossypium hirsutum,RNC-C3,Henan University,SRA1170530,12,2021,Makar,"",TM-CK3,TM-1,seedling,China:Kaifeng,root,Control,6,Plant
SRR13244798,24617699,7385309700,150,2812,SRX9676495,TR-T1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874529,SAMN17065236,simple,3635,Gossypium hirsutum,TR-T1,Henan University,SRA1170530,12,2021,Makar,"",TM-T1,TM-1,seedling,China:Kaifeng,root,V. dahliae infection,7,Plant
SRR13244797,22362002,6708600600,150,2560,SRX9676496,TR-T2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874530,SAMN17065237,simple,3635,Gossypium hirsutum,TR-T2,Henan University,SRA1170530,12,2021,Makar,"",TM-T2,TM-1,seedling,China:Kaifeng,root,V. dahliae infection,8,Plant
SRR13244796,22665312,6799593600,150,2594,SRX9676497,TR-T3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874531,SAMN17065238,simple,3635,Gossypium hirsutum,TR-T3,Henan University,SRA1170530,12,2021,Makar,"",TM-T3,TM-1,seedling,China:Kaifeng,root,V. dahliae infection,9,Plant
SRR13244795,21171549,6351464700,150,2410,SRX9676498,RNC-T1,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP297727,PRJNA684635,1,"",SRS7874532,SAMN17065239,simple,3635,Gossypium hirsutum,RNC-T1,Henan University,SRA1170530,12,2021,Makar,"",TM-T1,TM-1,seedling,China:Kaifeng,root,V. dahliae infection,10,Plant
