Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,fraction,cell type,GEO Accession
SRR15513227,29575655,4464968789,75,1751,SRX11812021,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826539,SAMN20849981,simple,9606,Homo sapiens,GSM5527752,GEO,SRA1280331,07,2022,Chothani,untreated normal human brain tissue,Brain_1 (RNASeq),untreated normal human brain tissue,brain,untreated,polyA mRNA,,GSM5527752
SRR15513228,29372569,4434717986,75,1752,SRX11812022,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826540,SAMN20849982,simple,9606,Homo sapiens,GSM5527753,GEO,SRA1280331,07,2022,Chothani,untreated normal human brain tissue,Brain_4 (RNASeq),untreated normal human brain tissue,brain,untreated,polyA mRNA,,GSM5527753
SRR15513229,34840754,5261057616,75,2079,SRX11812023,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826541,SAMN20849983,simple,9606,Homo sapiens,GSM5527754,GEO,SRA1280331,07,2022,Chothani,untreated human embryonic stem cells,ES_1 (RNASeq),untreated human embryonic stem cells,,untreated,polyA mRNA,embryonic stem cells,GSM5527754
SRR15513230,25434861,3841013066,75,1516,SRX11812024,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826542,SAMN20849984,simple,9606,Homo sapiens,GSM5527755,GEO,SRA1280331,07,2022,Chothani,untreated human embryonic stem cells,ES_2 (RNASeq),untreated human embryonic stem cells,,untreated,polyA mRNA,embryonic stem cells,GSM5527755
SRR15513231,29557908,4461432500,75,1950,SRX11812025,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826543,SAMN20849985,simple,9606,Homo sapiens,GSM5527756,GEO,SRA1280331,07,2022,Chothani,untreated normal human fat tissue,Fat_1 (RNASeq),untreated normal human fat tissue,fat,untreated,polyA mRNA,,GSM5527756
SRR15513232,32061047,4840081222,75,2079,SRX11812026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826544,SAMN20849986,simple,9606,Homo sapiens,GSM5527757,GEO,SRA1280331,07,2022,Chothani,untreated normal human fat tissue,Fat_2 (RNASeq),untreated normal human fat tissue,fat,untreated,polyA mRNA,,GSM5527757
SRR15513233,55404050,8355790408,75,3544,SRX11812027,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826545,SAMN20849987,simple,9606,Homo sapiens,GSM5527758,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_26 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527758
SRR15513234,32656254,4931355375,75,1941,SRX11812028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826546,SAMN20849988,simple,9606,Homo sapiens,GSM5527759,GEO,SRA1280331,07,2022,Chothani,TGF-beta treated normal human fibroblast,Fibroblast_33 (RNASeq),TGF-beta treated normal human fibroblast,,TGF-B stimulated,polyA mRNA,fibroblast,GSM5527759
SRR15513235,47741690,7203339923,75,3032,SRX11812029,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826547,SAMN20849989,simple,9606,Homo sapiens,GSM5527760,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_37 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527760
SRR15513236,28511118,4301677769,75,1674,SRX11812030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826548,SAMN20849990,simple,9606,Homo sapiens,GSM5527761,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_42 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527761
