Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,GEO Accession
SRR12513910,71935060,1774374776,24,1165,SRX9004536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262491,SAMN15903813,simple,562,Escherichia coli,GSM4745062,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 1,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",no induction,GSM4745062
SRR12513911,62145962,1585727059,25,1034,SRX9004537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262494,SAMN15903812,simple,562,Escherichia coli,GSM4745063,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 2,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",1 mM IPTG,GSM4745063
SRR12513912,53616929,1314026202,24,863,SRX9004538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262496,SAMN15903811,simple,562,Escherichia coli,GSM4745064,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 3,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",4.32 nM aTc,GSM4745064
SRR12513913,22241803,553385468,24,341,SRX9004539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262499,SAMN15903810,simple,562,Escherichia coli,GSM4745065,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 4,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","1 mM IPTG, 4.32 nM aTc",GSM4745065
SRR12513914,44857345,1160334771,25,711,SRX9004540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262500,SAMN15903809,simple,562,Escherichia coli,GSM4745066,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 5,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",5 mM Ara,GSM4745066
SRR12513915,24198957,609672890,25,376,SRX9004541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262501,SAMN15903808,simple,562,Escherichia coli,GSM4745067,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 6,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","1 mM IPTG, 5 mM Ara",GSM4745067
SRR12513916,52964782,1205029514,22,765,SRX9004542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262502,SAMN15903807,simple,562,Escherichia coli,GSM4745068,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 7,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","4.32 nM aTc, 5 mM Ara",GSM4745068
SRR12513917,48012461,1203169345,25,743,SRX9004543,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262505,SAMN15903806,simple,562,Escherichia coli,GSM4745069,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit RNA-seq - induction state 8,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","1 mM IPTG, 4.32 nM aTc, 5 mM Ara",GSM4745069
SRR12513918,49130565,1227783570,24,760,SRX9004544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262504,SAMN15903805,simple,562,Escherichia coli,GSM4745070,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_control RNA-seq,Escherichia coli DH10B cells,DH10B,"pAN871, pDV4-pBAD-yfp",no induction,GSM4745070
SRR12513919,41036616,1008672280,24,624,SRX9004545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262506,SAMN15903843,simple,562,Escherichia coli,GSM4745071,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 1,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",no induction,GSM4745071
SRR12513920,28800198,728847784,25,523,SRX9004546,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262510,SAMN15903842,simple,562,Escherichia coli,GSM4745072,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 2,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",1 mM IPTG,GSM4745072
SRR12513921,30543901,756415203,24,512,SRX9004547,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262508,SAMN15903841,simple,562,Escherichia coli,GSM4745073,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 3,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",4.32 nM aTc,GSM4745073
SRR12513922,29380918,736232832,25,500,SRX9004548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262509,SAMN15903840,simple,562,Escherichia coli,GSM4745074,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 4,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","1 mM IPTG, 4.32 nM aTc",GSM4745074
SRR12513923,32746654,721804443,22,505,SRX9004549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262513,SAMN15903836,simple,562,Escherichia coli,GSM4745075,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 5,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023",5 mM Ara,GSM4745075
SRR12513924,32912858,811434031,24,576,SRX9004550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262511,SAMN15903835,simple,562,Escherichia coli,GSM4745076,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 6,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","1 mM IPTG, 5 mM Ara",GSM4745076
SRR12513925,28787651,713961963,24,498,SRX9004551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262514,SAMN15903839,simple,562,Escherichia coli,GSM4745077,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 7,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","4.32 nM aTc, 5 mM Ara",GSM4745077
SRR12513926,46570903,1181557291,25,702,SRX9004552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262512,SAMN15903838,simple,562,Escherichia coli,GSM4745078,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_circuit Ribo-seq - induction state 8,Escherichia coli DH10B cells,DH10B,"pAN3945, pAN4023","1 mM IPTG, 4.32 nM aTc, 5 mM Ara",GSM4745078
SRR12513927,28123244,697182562,24,475,SRX9004553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP267640,PRJNA640006,33020480,"",SRS7262515,SAMN15903837,simple,562,Escherichia coli,GSM4745079,GEO,SRA1088241,08,2020,Espah,Escherichia coli DH10B cells,E.coli_DH10B_control Ribo-seq,Escherichia coli DH10B cells,DH10B,"pAN871, pDV4-pBAD-yfp",no induction,GSM4745079
