Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: fraction,Experimental Factor: dose
ERR3850905,74752627,3737631350,50,1061,ERX3863341,s52a.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270490,SAMEA6506056,simple,4896,Schizosaccharomyces pombe,SAMEA6506056,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.control.ribo.1,2020-06-01,2020-01-28,SAMEA6506056,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:40Z,public,E-MTAB-8745:s52a.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8745:s52a.control.ribo.1,eIF2alpha-S52A,none,ribosome protected fragments,
ERR3850906,49578541,2478927050,50,731,ERX3863342,s52a.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270491,SAMEA6506057,simple,4896,Schizosaccharomyces pombe,SAMEA6506057,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.control.ribo.2,2020-06-01,2020-01-28,SAMEA6506057,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:41Z,public,E-MTAB-8745:s52a.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8745:s52a.control.ribo.2,eIF2alpha-S52A,none,ribosome protected fragments,
ERR3850917,28167653,8450295900,150,3154,ERX3863343,s52a.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270492,SAMEA6506058,simple,4896,Schizosaccharomyces pombe,SAMEA6506058,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.control.rna.1,2020-06-01,2020-01-28,SAMEA6506058,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:41Z,public,E-MTAB-8745:s52a.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8745:s52a.control.rna.1,eIF2alpha-S52A,none,rRNA depleted total RNA,
ERR3850918,12318585,3695575500,150,1432,ERX3863344,s52a.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270493,SAMEA6506059,simple,4896,Schizosaccharomyces pombe,SAMEA6506059,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.control.rna.2,2020-06-01,2020-01-28,SAMEA6506059,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:42Z,public,E-MTAB-8745:s52a.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8745:s52a.control.rna.2,eIF2alpha-S52A,none,rRNA depleted total RNA,
ERR3850907,32369288,1618464400,50,461,ERX3863345,s52a.mms.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270494,SAMEA6506060,simple,4896,Schizosaccharomyces pombe,SAMEA6506060,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.mms.ribo.1,2020-06-01,2020-01-28,SAMEA6506060,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:43Z,public,E-MTAB-8745:s52a.mms.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8745:s52a.mms.ribo.1,eIF2alpha-S52A,methyl methanesulfonate,ribosome protected fragments,0.02
ERR3850908,40449698,2022484900,50,601,ERX3863346,s52a.mms.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270495,SAMEA6506061,simple,4896,Schizosaccharomyces pombe,SAMEA6506061,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.mms.ribo.2,2020-06-01,2020-01-28,SAMEA6506061,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:44Z,public,E-MTAB-8745:s52a.mms.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8745:s52a.mms.ribo.2,eIF2alpha-S52A,methyl methanesulfonate,ribosome protected fragments,0.02
ERR3850919,15494523,4648356900,150,1728,ERX3863347,s52a.mms.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270496,SAMEA6506062,simple,4896,Schizosaccharomyces pombe,SAMEA6506062,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.mms.rna.1,2020-06-01,2020-01-28,SAMEA6506062,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:45Z,public,E-MTAB-8745:s52a.mms.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8745:s52a.mms.rna.1,eIF2alpha-S52A,methyl methanesulfonate,rRNA depleted total RNA,0.02
ERR3850920,12023147,3606944100,150,1378,ERX3863348,s52a.mms.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270497,SAMEA6506063,simple,4896,Schizosaccharomyces pombe,SAMEA6506063,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",s52a.mms.rna.2,2020-06-01,2020-01-28,SAMEA6506063,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:46Z,public,E-MTAB-8745:s52a.mms.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8745:s52a.mms.rna.2,eIF2alpha-S52A,methyl methanesulfonate,rRNA depleted total RNA,0.02
ERR3850909,47244160,2362208000,50,669,ERX3863349,sty1delta.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270498,SAMEA6506064,simple,4896,Schizosaccharomyces pombe,SAMEA6506064,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.control.ribo.1,2020-06-01,2020-01-28,SAMEA6506064,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:47Z,public,E-MTAB-8745:sty1delta.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8745:sty1delta.control.ribo.1,sty1delta,none,ribosome protected fragments,
ERR3850910,32546176,1627308800,50,485,ERX3863350,sty1delta.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270499,SAMEA6506065,simple,4896,Schizosaccharomyces pombe,SAMEA6506065,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.control.ribo.2,2020-06-01,2020-01-28,SAMEA6506065,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:48Z,public,E-MTAB-8745:sty1delta.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8745:sty1delta.control.ribo.2,sty1delta,none,ribosome protected fragments,
