Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,growth condition,organism part,sample name,Experimental Factor: environmental stress
ERR3971466,43126042,3277579192,76,1507,ERX3974809,MTB-C-T-10_s,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366126,SAMEA6601858,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601858,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-C-T-10,2021-02-02,2020-03-03,SAMEA6601858,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-C-T-10,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-C-T-10,nutrient starvation
ERR3971467,40610097,3086367372,76,1439,ERX3974810,MTB-C-T-11_s,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366127,SAMEA6601859,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601859,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-C-T-11,2021-02-02,2020-03-03,SAMEA6601859,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-C-T-11,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-C-T-11,nutrient starvation
ERR3971468,48272511,3668710836,76,1683,ERX3974811,MTB-C-T-12_s,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366128,SAMEA6601860,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601860,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-C-T-12,2021-02-02,2020-03-03,SAMEA6601860,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-C-T-12,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-C-T-12,nutrient starvation
ERR3971469,34994564,2659586864,76,1165,ERX3974812,MTB-C-T-7_s,MNase-Seq,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366129,SAMEA6601861,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601861,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-C-T-7,2021-02-02,2020-03-03,SAMEA6601861,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-C-T-7,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-C-T-7,nutrient starvation
ERR3971470,25272534,1920712584,76,893,ERX3974813,MTB-C-T-8_s,MNase-Seq,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366130,SAMEA6601862,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601862,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-C-T-8,2021-02-02,2020-03-03,SAMEA6601862,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-C-T-8,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-C-T-8,nutrient starvation
ERR3971471,27969006,2125644456,76,976,ERX3974814,MTB-C-T-9_s,MNase-Seq,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366131,SAMEA6601863,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601863,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-C-T-9,2021-02-02,2020-03-03,SAMEA6601863,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-C-T-9,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-C-T-9,nutrient starvation
ERR3971472,29806655,2265305780,76,1041,ERX3974815,MTB-CTRL-NT-1_s,MNase-Seq,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366132,SAMEA6601864,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601864,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-CTRL-NT-1,2021-02-02,2020-03-03,SAMEA6601864,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-CTRL-NT-1,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-CTRL-NT-1,none
ERR3971473,44072524,3349511824,76,1542,ERX3974816,MTB-CTRL-NT-2_s,MNase-Seq,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366133,SAMEA6601865,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601865,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-CTRL-NT-2,2021-02-02,2020-03-03,SAMEA6601865,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-CTRL-NT-2,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-CTRL-NT-2,none
ERR3971474,28468381,2163596956,76,1012,ERX3974817,MTB-CTRL-NT-3_s,MNase-Seq,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366134,SAMEA6601866,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601866,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-CTRL-NT-3,2021-02-02,2020-03-03,SAMEA6601866,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-CTRL-NT-3,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-CTRL-NT-3,none
ERR3971475,39465876,2999406576,76,1384,ERX3974818,MTB-CTRL-NT-4_s,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP120307,PRJEB37021,1,"",ERS4366135,SAMEA6601867,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA6601867,London School of Hygiene and Tropical Medicine,ERA2398243,03,2021,Makar,"",MTB-CTRL-NT-4,2021-02-02,2020-03-03,SAMEA6601867,London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,2021-02-02T04:09:14Z,2020-03-03T16:55:14Z,public,E-MTAB-8835:MTB-CTRL-NT-4,ArrayExpress,Middlebrook 7H9 medium,whole organism,E-MTAB-8835:MTB-CTRL-NT-4,none
