Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,GEO Accession
SRR065774,6111972,220030992,36,152,SRX026871,GSM546987: Footprint_wild-type_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114925,SAMN00113392,simple,10090,Mus musculus,GSM546987,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from wild-type mouse bone marrow,Footprint_wild-type_runs1-2,Neutrophils cultured from wild-type mouse bone marrow,C57BL/6,wild-type,GSM546987
SRR065775,12962679,466656444,36,327,SRX026871,GSM546987: Footprint_wild-type_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114925,SAMN00113392,simple,10090,Mus musculus,GSM546987,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from wild-type mouse bone marrow,Footprint_wild-type_runs1-2,Neutrophils cultured from wild-type mouse bone marrow,C57BL/6,wild-type,GSM546988
SRR065776,5698060,205130160,36,140,SRX026872,GSM546988: mRNASeq_wild-type_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114926,SAMN00113393,simple,10090,Mus musculus,GSM546988,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from wild-type mouse bone marrow,mRNASeq_wild-type_runs1-3,Neutrophils cultured from mir-223 knockout mouse bone marrow,C57BL/6,mir-223 knockout,GSM546989
SRR065777,11906383,428629788,36,298,SRX026872,GSM546988: mRNASeq_wild-type_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114926,SAMN00113393,simple,10090,Mus musculus,GSM546988,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from wild-type mouse bone marrow,mRNASeq_wild-type_runs1-3,Neutrophils cultured from mir-223 knockout mouse bone marrow,C57BL/6,mir-223 knockout,GSM546990
SRR065778,1749808,62993088,36,47,SRX026872,GSM546988: mRNASeq_wild-type_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114926,SAMN00113393,simple,10090,Mus musculus,GSM546988,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from wild-type mouse bone marrow,mRNASeq_wild-type_runs1-3,Neutrophils cultured from wild-type mouse bone marrow,C57BL/6,wild-type,GSM546987
SRR065779,5883823,211817628,36,149,SRX026873,GSM546989: Footprint_mir-223-knockout_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114927,SAMN00113394,simple,10090,Mus musculus,GSM546989,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from mir-223 knockout mouse bone marrow,Footprint_mir-223-knockout_runs1-2,Neutrophils cultured from wild-type mouse bone marrow,C57BL/6,wild-type,GSM546988
SRR065780,15253899,549140364,36,379,SRX026873,GSM546989: Footprint_mir-223-knockout_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114927,SAMN00113394,simple,10090,Mus musculus,GSM546989,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from mir-223 knockout mouse bone marrow,Footprint_mir-223-knockout_runs1-2,Neutrophils cultured from mir-223 knockout mouse bone marrow,C57BL/6,mir-223 knockout,GSM546989
SRR065781,4765990,171575640,36,121,SRX026874,GSM546990: mRNASeq_mir-223-knockout_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114928,SAMN00113395,simple,10090,Mus musculus,GSM546990,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from mir-223 knockout mouse bone marrow,mRNASeq_mir-223-knockout_runs1-3,Neutrophils cultured from mir-223 knockout mouse bone marrow,C57BL/6,mir-223 knockout,GSM546990
SRR065782,13620814,490349304,36,350,SRX026874,GSM546990: mRNASeq_mir-223-knockout_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114928,SAMN00113395,simple,10090,Mus musculus,GSM546990,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from mir-223 knockout mouse bone marrow,mRNASeq_mir-223-knockout_runs1-3,Neutrophils cultured from wild-type mouse bone marrow,C57BL/6,wild-type,GSM546987
SRR065783,2696364,97069104,36,72,SRX026874,GSM546990: mRNASeq_mir-223-knockout_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP003554,PRJNA129411,20703300,"",SRS114928,SAMN00113395,simple,10090,Mus musculus,GSM546990,GEO,SRA023909,09,2010,Guo,Neutrophils cultured from mir-223 knockout mouse bone marrow,mRNASeq_mir-223-knockout_runs1-3,Neutrophils cultured from wild-type mouse bone marrow,C57BL/6,wild-type,GSM546988
