Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,castration status,rna fraction,GEO Accession
SRR7405198,64077265,3203863250,50,1215,SRX4277273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443361,SAMN09462528,simple,10090,Mus musculus,GSM3208710,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Castrate PTEN Total RNA rep1,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Castrate,Total RNA,GSM3208710
SRR7405199,44705000,2235250000,50,834,SRX4277274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443362,SAMN09462527,simple,10090,Mus musculus,GSM3208711,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Castrate PTEN RP RNA rep1,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Castrate,RP RNA,GSM3208711
SRR7405200,24857455,1242872750,50,463,SRX4277275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443363,SAMN09462526,simple,10090,Mus musculus,GSM3208712,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Castrate PTEN Total RNA rep2,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Castrate,Total RNA,GSM3208712
SRR7405201,45017080,2250854000,50,833,SRX4277276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443364,SAMN09462541,simple,10090,Mus musculus,GSM3208713,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Castrate PTEN RP RNA rep2,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Castrate,RP RNA,GSM3208713
SRR7405202,88990895,4449544750,50,1691,SRX4277277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443365,SAMN09462540,simple,10090,Mus musculus,GSM3208714,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Castrate PTEN Total RNA rep3,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Castrate,Total RNA,GSM3208714
SRR7405203,23769205,1188460250,50,436,SRX4277278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443366,SAMN09462539,simple,10090,Mus musculus,GSM3208715,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Castrate PTEN RP RNA rep3,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Castrate,RP RNA,GSM3208715
SRR7405204,141832207,7091610350,50,2766,SRX4277279,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443367,SAMN09462538,simple,10090,Mus musculus,GSM3208716,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Intact PTEN Total RNA rep1,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Intact,Total RNA,GSM3208716
SRR7405205,110873697,5543684850,50,2126,SRX4277280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443368,SAMN09462537,simple,10090,Mus musculus,GSM3208717,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Intact PTEN RP RNA rep1,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Intact,RP RNA,GSM3208717
SRR7405206,181604014,9080200700,50,3470,SRX4277281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443369,SAMN09462536,simple,10090,Mus musculus,GSM3208718,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Intact PTEN Total RNA rep2,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Intact,Total RNA,GSM3208718
SRR7405207,121338845,6066942250,50,2252,SRX4277282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP151006,PRJNA476979,31366581,"",SRS3443370,SAMN09462535,simple,10090,Mus musculus,GSM3208719,GEO,SRA725882,08,2019,Liu,prostate,Ribo-seq_Intact PTEN RP RNA rep2,prostate,prostate,PB-Cre4;PTENLoxP/LoxP,Intact,RP RNA,GSM3208719
