Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,tissue source,background strain,timepoint,infection,GEO Accession
SRR10149784,35472999,1773649950,50,1102,SRX6875238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411143,SAMN12790499,simple,10090,Mus musculus,GSM4086596,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,mock infected mRNA replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,mock infected,GSM4086596
SRR10149785,40982750,2049137500,50,1257,SRX6875239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411144,SAMN12790498,simple,10090,Mus musculus,GSM4086597,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,mock infected RPF replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,mock infected,GSM4086597
SRR10149786,48996884,2449844200,50,1475,SRX6875240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411145,SAMN12790497,simple,10090,Mus musculus,GSM4086598,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,Reovirus infected mRNA replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,Reovirus infected,GSM4086598
SRR10149787,22046312,1102315600,50,677,SRX6875241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411146,SAMN12790496,simple,10090,Mus musculus,GSM4086599,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,Reovirus infected RPF replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,Reovirus infected,GSM4086599
SRR10149788,40732140,2036607000,50,1151,SRX6875242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411147,SAMN12790495,simple,10090,Mus musculus,GSM4086600,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,VACV infected mRNA replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,VACV infected,GSM4086600
SRR10149789,23292708,1164635400,50,704,SRX6875243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411148,SAMN12790531,simple,10090,Mus musculus,GSM4086601,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,VACV infected RPF replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,VACV infected,GSM4086601
SRR10149790,29851736,1492586800,50,783,SRX6875244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411149,SAMN12790530,simple,10090,Mus musculus,GSM4086602,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,HSV1 infected mRNA replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,HSV1 infected,GSM4086602
SRR10149791,25251640,1262582000,50,773,SRX6875245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411150,SAMN12790529,simple,10090,Mus musculus,GSM4086603,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,HSV1 infected RPF replicate 1,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,HSV1 infected,GSM4086603
SRR10149792,67330170,3366508500,50,2305,SRX6875246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411151,SAMN12790528,simple,10090,Mus musculus,GSM4086604,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,mock infected mRNA replicate 2,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,mock infected,GSM4086604
SRR10149793,28395947,1419797350,50,854,SRX6875247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP222582,PRJNA566449,31851930,"",SRS5411152,SAMN12790527,simple,10090,Mus musculus,GSM4086605,GEO,SRA965107,12,2019,Hoang,breast cancer cell model,mock infected RPF replicate 2,breast cancer cell model,4T1,mammary gland,BALB/cfC3H,18 hours post-infection,mock infected,GSM4086605
