Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,time point,replicate,tissue,GEO Accession
SRR15359238,32629210,1664089710,51,587,SRX11661724,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694550,SAMN20601103,simple,5141,Neurospora crassa,GSM5506185,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD12 rep1,mycelia,wild-type,DD12,1,mycelia,GSM5506185
SRR15359239,52109872,2657603472,51,935,SRX11661725,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694551,SAMN20601104,simple,5141,Neurospora crassa,GSM5506186,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD16 rep1,mycelia,wild-type,DD16,1,mycelia,GSM5506186
SRR15359240,41422598,2112552498,51,744,SRX11661726,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694552,SAMN20601105,simple,5141,Neurospora crassa,GSM5506187,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD20 rep1,mycelia,wild-type,DD20,1,mycelia,GSM5506187
SRR15359241,47043118,2399199018,51,843,SRX11661727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694553,SAMN20601106,simple,5141,Neurospora crassa,GSM5506188,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD24 rep1,mycelia,wild-type,DD24,1,mycelia,GSM5506188
SRR15359242,27099680,1382083680,51,489,SRX11661728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694554,SAMN20601107,simple,5141,Neurospora crassa,GSM5506189,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD28 rep1,mycelia,wild-type,DD28,1,mycelia,GSM5506189
SRR15359243,38086028,1942387428,51,685,SRX11661729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694555,SAMN20601108,simple,5141,Neurospora crassa,GSM5506190,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD32 rep1,mycelia,wild-type,DD32,1,mycelia,GSM5506190
SRR15359244,21834311,1113549861,51,394,SRX11661730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694556,SAMN20601109,simple,5141,Neurospora crassa,GSM5506191,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD36 rep1,mycelia,wild-type,DD36,1,mycelia,GSM5506191
SRR15359245,43470777,2217009627,51,792,SRX11661731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694557,SAMN20601110,simple,5141,Neurospora crassa,GSM5506192,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD40 rep1,mycelia,wild-type,DD40,1,mycelia,GSM5506192
SRR15359246,37447509,1909822959,51,673,SRX11661732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694558,SAMN20601111,simple,5141,Neurospora crassa,GSM5506193,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD44 rep1,mycelia,wild-type,DD44,1,mycelia,GSM5506193
SRR15359247,34560511,1762586061,51,625,SRX11661733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694559,SAMN20601112,simple,5141,Neurospora crassa,GSM5506194,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD48 rep1,mycelia,wild-type,DD48,1,mycelia,GSM5506194
SRR15359248,67405493,3437680143,51,1222,SRX11661734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331344,PRJNA752585,36577368,"",SRS9694560,SAMN20601113,simple,5141,Neurospora crassa,GSM5506195,GEO,SRA1272533,11,2022,Castillo,mycelia,RNA-Seq wild-type DD12 rep2,mycelia,wild-type,DD12,2,mycelia,GSM5506195
