Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,tissue
SRR18305308,25248447,1641149055,65,701,SRX14442716,GSM5949087,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249801,SAMN26585473,simple,9606,Homo sapiens,GSM5949087,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M002 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305307,31681465,2059295225,65,968,SRX14442717,GSM5949120,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249802,SAMN26585440,simple,9606,Homo sapiens,GSM5949120,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M019R TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305306,34192337,2222501905,65,1041,SRX14442718,GSM5949121,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249803,SAMN26585439,simple,9606,Homo sapiens,GSM5949121,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M019R TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305305,28448673,1849163745,65,865,SRX14442719,GSM5949122,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249804,SAMN26585438,simple,9606,Homo sapiens,GSM5949122,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M019R DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305304,28334265,1841727225,65,860,SRX14442720,GSM5949123,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249805,SAMN26585437,simple,9606,Homo sapiens,GSM5949123,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M019R DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305303,18187528,1182189320,65,511,SRX14442721,GSM5949124,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249806,SAMN26585436,simple,9606,Homo sapiens,GSM5949124,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M002 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305302,32755172,2129086180,65,944,SRX14442722,GSM5949125,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249807,SAMN26585435,simple,9606,Homo sapiens,GSM5949125,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305301,27886088,1812595720,65,804,SRX14442723,GSM5949126,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249808,SAMN26585434,simple,9606,Homo sapiens,GSM5949126,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305300,26112152,1697289880,65,763,SRX14442724,GSM5949127,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249809,SAMN26585433,simple,9606,Homo sapiens,GSM5949127,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305299,32922401,2139956065,65,898,SRX14442725,GSM5949088,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249810,SAMN26585472,simple,9606,Homo sapiens,GSM5949088,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M061R TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
