Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,enrichment,further treatment,reverse transcription condition,molecule subtype,genotype/variation,GEO Accession
SRR5882567,2456528,125282928,51,62,SRX3048903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395677,SAMN07426793,simple,9606,Homo sapiens,GSM2722284,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-1,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,AMV; pH 7.0; 10mM MgCl2,Total RNA,,GSM2722284
SRR5882568,2268929,115715379,51,58,SRX3048904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395678,SAMN07426792,simple,9606,Homo sapiens,GSM2722285,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-2,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,AMV; pH 8.3; 10mM MgCl2,Total RNA,,GSM2722285
SRR5882569,2672779,136311729,51,68,SRX3048905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395679,SAMN07426791,simple,9606,Homo sapiens,GSM2722286,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-3,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS III; pH 7.0; 6mM MgCl2,Total RNA,,GSM2722286
SRR5882570,2736315,139552065,51,69,SRX3048906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395680,SAMN07426790,simple,9606,Homo sapiens,GSM2722287,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-4,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS III; pH 8.3; 6mM MgCl2,Total RNA,,GSM2722287
SRR5882571,2640921,134686971,51,67,SRX3048907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395681,SAMN07426789,simple,9606,Homo sapiens,GSM2722288,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-5,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS III; pH 7.0; 3mM MgCl2,Total RNA,,GSM2722288
SRR5882572,2351521,119927571,51,60,SRX3048908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395682,SAMN07426788,simple,9606,Homo sapiens,GSM2722289,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-6,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS III; pH 8.3; 3mM MgCl2,Total RNA,,GSM2722289
SRR5882573,2462407,125582757,51,63,SRX3048909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395683,SAMN07426787,simple,9606,Homo sapiens,GSM2722290,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-7,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS III; pH 7.0; 6mM MnCl2,Total RNA,,GSM2722290
SRR5882574,2240327,114256677,51,57,SRX3048911,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395685,SAMN07426786,simple,9606,Homo sapiens,GSM2722291,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-8,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS III; pH 8.0; 6mM MnCl2,Total RNA,,GSM2722291
SRR5882575,2449233,124910883,51,62,SRX3048912,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395686,SAMN07426785,simple,9606,Homo sapiens,GSM2722292,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-9,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS II; pH 7.0; 6mM MnCl2,Total RNA,,GSM2722292
SRR5882576,2099069,107052519,51,53,SRX3048913,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395687,SAMN07426784,simple,9606,Homo sapiens,GSM2722293,GEO,SRA594487,10,2017,Li,HEK293T_RT,RT-10,HEK293T_RT,HEK293T,human embryonic kindey cells,None,None,SS II; pH 8.0; 6mM MnCl2,Total RNA,,GSM2722293
