Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment
SRR20672881,39250785,988616006,25,469,SRX16694915,GSM6404262,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325669,SAMN29998738,simple,10090,Mus musculus,GSM6404262,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_KO_C2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,control condtion
SRR20672880,24415726,604593099,24,286,SRX16694916,GSM6404263,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325671,SAMN29998737,simple,10090,Mus musculus,GSM6404263,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_WT_St1,Amygdala,Amygdala,Ilf3+/+ (wild-type),chronic stress
SRR20672879,37395586,936880146,25,443,SRX16694917,GSM6404264,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325670,SAMN29998736,simple,10090,Mus musculus,GSM6404264,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_WT_St2,Amygdala,Amygdala,Ilf3+/+ (wild-type),chronic stress
SRR20672878,28396821,709693914,24,336,SRX16694918,GSM6404265,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325672,SAMN29998735,simple,10090,Mus musculus,GSM6404265,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_KO_St1,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,chronic stress
SRR20672877,30760995,751726817,24,358,SRX16694919,GSM6404266,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325673,SAMN29998734,simple,10090,Mus musculus,GSM6404266,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_KO_St2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,chronic stress
SRR20672875,17828411,909141254,50,299,SRX16694920,GSM6404267,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325674,SAMN29998733,simple,10090,Mus musculus,GSM6404267,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_C1,Amygdala,Amygdala,Ilf3+/+ (wild-type),control condtion
SRR20672876,21394650,1091002349,50,362,SRX16694920,GSM6404267,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325674,SAMN29998733,simple,10090,Mus musculus,GSM6404267,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_C1,Amygdala,Amygdala,Ilf3+/+ (wild-type),control condtion
SRR20672873,22167408,1130366573,50,372,SRX16694921,GSM6404268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325675,SAMN29998732,simple,10090,Mus musculus,GSM6404268,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_C2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,control condtion
SRR20672874,34169559,1742454376,50,583,SRX16694921,GSM6404268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325675,SAMN29998732,simple,10090,Mus musculus,GSM6404268,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_C2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,control condtion
SRR20672871,19101336,974064391,50,321,SRX16694922,GSM6404269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325677,SAMN29998731,simple,10090,Mus musculus,GSM6404269,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_C1,Amygdala,Amygdala,Ilf3+/+ (wild-type),chronic stress
