Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,background strain,replicate,GEO Accession
SRR2045244,63725669,6500018238,51,3632,SRX1043898,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949371,SAMN03744254,simple,4932,Saccharomyces cerevisiae,GSM1700522,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_S288C_1,Yeast cells,YAM1 wild-type strain,S288C,1,GSM1700522
SRR2045245,76341556,7786838712,51,4350,SRX1043899,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949370,SAMN03744255,simple,4932,Saccharomyces cerevisiae,GSM1700523,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_S288C_2,Yeast cells,YAM1 wild-type strain,S288C,2,GSM1700523
SRR2045246,80860070,8247727140,51,4568,SRX1043900,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949369,SAMN03744256,simple,4932,Saccharomyces cerevisiae,GSM1700524,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_S288C_1,Yeast cells,YAM6 xrn1D strain,S288C,1,GSM1700524
SRR2045247,68211607,6957583914,51,3854,SRX1043901,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949368,SAMN03744257,simple,4932,Saccharomyces cerevisiae,GSM1700525,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_S288C_2,Yeast cells,YAM6 xrn1D strain,S288C,2,GSM1700525
SRR2045248,69364709,7075200318,51,3921,SRX1043902,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949367,SAMN03744258,simple,4932,Saccharomyces cerevisiae,GSM1700526,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_37C_1,Yeast cells,YAM1 wild-type strain (37C),S288C,1,GSM1700526
SRR2045249,73061770,7452300540,51,4127,SRX1043903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949366,SAMN03744259,simple,4932,Saccharomyces cerevisiae,GSM1700527,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_37C_2,Yeast cells,YAM1 wild-type strain (37C),S288C,2,GSM1700527
SRR2045250,75573735,7708520970,51,4269,SRX1043904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949365,SAMN03744269,simple,4932,Saccharomyces cerevisiae,GSM1700528,GEO,SRA270487,01,2016,Wery,Yeast cells,dcp2_37C_1,Yeast cells,YAM2283 dcp2-7 strain (37C),S288C,1,GSM1700528
SRR2045251,70064682,7146597564,51,3985,SRX1043905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949364,SAMN03744270,simple,4932,Saccharomyces cerevisiae,GSM1700529,GEO,SRA270487,01,2016,Wery,Yeast cells,dcp2_37C_2,Yeast cells,YAM2283 dcp2-7 strain (37C),S288C,2,GSM1700529
SRR2045252,51110484,5213269368,51,2908,SRX1043906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949363,SAMN03744271,simple,4932,Saccharomyces cerevisiae,GSM1700530,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_SK1_1,Yeast cells,YAM1977 wild-type strain,SK1 haploid,1,GSM1700530
SRR2045253,51265129,5229043158,51,2928,SRX1043907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949362,SAMN03744272,simple,4932,Saccharomyces cerevisiae,GSM1700531,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_SK1_2,Yeast cells,YAM1977 wild-type strain,SK1 haploid,2,GSM1700531
