Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name,sex,strain,tissue type
ERR4230663,93371104,4761926304,51,2889,ERX4191425,BXH02_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651631,SAMEA6941742,simple,10116,Rattus norvegicus,SAMEA6941742,ERA2689847,07,2020,Makar,"",BXH02_li,2020-07-13,2020-06-10,SAMEA6941742,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH02_li,Norway rat,BXH02_li,male,BXH02,liver
ERR4230664,82308831,4197750381,51,2544,ERX4191426,BXH03_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651632,SAMEA6941743,simple,10116,Rattus norvegicus,SAMEA6941743,ERA2689847,07,2020,Makar,"",BXH03_li,2020-07-13,2020-06-10,SAMEA6941743,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH03_li,Norway rat,BXH03_li,male,BXH03,liver
ERR4230665,95940186,4892949486,51,2943,ERX4191427,BXH05_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651633,SAMEA6941744,simple,10116,Rattus norvegicus,SAMEA6941744,ERA2689847,07,2020,Makar,"",BXH05_li,2020-07-13,2020-06-10,SAMEA6941744,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH05_li,Norway rat,BXH05_li,male,BXH05,liver
ERR4230666,79903319,4075069269,51,2455,ERX4191428,BXH06_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651634,SAMEA6941745,simple,10116,Rattus norvegicus,SAMEA6941745,ERA2689847,07,2020,Makar,"",BXH06_li,2020-07-13,2020-06-10,SAMEA6941745,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH06_li,Norway rat,BXH06_li,male,BXH06,liver
ERR4230667,94049224,4796510424,51,2972,ERX4191429,BXH08_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651635,SAMEA6941746,simple,10116,Rattus norvegicus,SAMEA6941746,ERA2689847,07,2020,Makar,"",BXH08_li,2020-07-13,2020-06-10,SAMEA6941746,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH08_li,Norway rat,BXH08_li,male,BXH08,liver
ERR4230668,80383619,4099564569,51,2560,ERX4191430,BXH09_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651636,SAMEA6941747,simple,10116,Rattus norvegicus,SAMEA6941747,ERA2689847,07,2020,Makar,"",BXH09_li,2020-07-13,2020-06-10,SAMEA6941747,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH09_li,Norway rat,BXH09_li,male,BXH09,liver
ERR4230669,72292575,3686921325,51,2304,ERX4191431,BXH10_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651637,SAMEA6941748,simple,10116,Rattus norvegicus,SAMEA6941748,ERA2689847,07,2020,Makar,"",BXH10_li,2020-07-13,2020-06-10,SAMEA6941748,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH10_li,Norway rat,BXH10_li,male,BXH10,liver
ERR4230670,96557153,4924414803,51,3073,ERX4191432,BXH11_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651638,SAMEA6941749,simple,10116,Rattus norvegicus,SAMEA6941749,ERA2689847,07,2020,Makar,"",BXH11_li,2020-07-13,2020-06-10,SAMEA6941749,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH11_li,Norway rat,BXH11_li,male,BXH11,liver
ERR4230671,123248440,6285670440,51,3884,ERX4191433,BXH12_2_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651639,SAMEA6941750,simple,10116,Rattus norvegicus,SAMEA6941750,ERA2689847,07,2020,Makar,"",BXH12_2_li,2020-07-13,2020-06-10,SAMEA6941750,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH12_2_li,Norway rat,BXH12_2_li,male,BXH12,liver
ERR4230672,97565726,4975852026,51,3097,ERX4191434,BXH12_3_li,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP121479,PRJEB38096,1,"",ERS4651640,SAMEA6941751,simple,10116,Rattus norvegicus,SAMEA6941751,ERA2689847,07,2020,Makar,"",BXH12_3_li,2020-07-13,2020-06-10,SAMEA6941751,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2020-07-13T17:05:00Z,2020-06-10T17:46:02Z,public,BXH12_3_li,Norway rat,BXH12_3_li,male,BXH12,liver
