Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,extract_protocol,GEO Accession
SRR1610244,47835548,2391777400,50,1487,SRX730865,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720042,SAMN03104418,simple,9606,Homo sapiens,GSM1523624,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",ribo_hES_shControl_replicate1,"hES cell, treated with sh control",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523624
SRR1610245,50248400,2512420000,50,1551,SRX730866,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720043,SAMN03104419,simple,9606,Homo sapiens,GSM1523625,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 1d",ribo_ND1_shControl_replicate1,"hES cell, treated with sh control, ND 1d",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523625
SRR1610246,47265605,2363280250,50,1474,SRX730867,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720044,SAMN03104420,simple,9606,Homo sapiens,GSM1523626,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 3d",ribo_ND3_shControl_replicate1,"hES cell, treated with sh control, ND 3d",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523626
SRR1610247,51940871,2597043550,50,1615,SRX730868,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720045,SAMN03104421,simple,9606,Homo sapiens,GSM1523627,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 6d",ribo_ND6_shControl_replicate1,"hES cell, treated with sh control, ND 6d",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523627
SRR1610248,50730087,2536504350,50,1591,SRX730869,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720046,SAMN03104422,simple,9606,Homo sapiens,GSM1523628,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8",ribo_hES_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523628
SRR1610249,49834318,2491715900,50,1552,SRX730870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720047,SAMN03104423,simple,9606,Homo sapiens,GSM1523629,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 1d",ribo_ND1_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8, ND 1d",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523629
SRR1610250,44713983,2235699150,50,1393,SRX730871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720048,SAMN03104424,simple,9606,Homo sapiens,GSM1523630,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 3d",ribo_ND3_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8, ND 3d",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523630
SRR1610251,58074106,2903705300,50,1813,SRX730872,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720049,SAMN03104425,simple,9606,Homo sapiens,GSM1523631,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 6d",ribo_ND6_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8, ND 6d",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523631
SRR1610252,36688083,1834404150,50,1044,SRX730873,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720050,SAMN03104426,simple,9606,Homo sapiens,GSM1523632,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",ribo_hES_shControl_replicate2,"hES cell, treated with sh control",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523632
SRR1610253,33936769,1696838450,50,958,SRX730874,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720051,SAMN03104427,simple,9606,Homo sapiens,GSM1523633,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 1d",ribo_ND1_shControl_replicate2,"hES cell, treated with sh control, ND 1d",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523633
