Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment
SRR22197700,10839247,1495816086,69,630,SRX18175996,GSM6715996,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675167,SAMN31612649,simple,10090,Mus musculus,GSM6715996,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,Control fat diet white matter Sample 489 Input,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,10% kCal from fat diet
SRR22197701,10646918,1469274684,69,615,SRX18175996,GSM6715996,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675167,SAMN31612649,simple,10090,Mus musculus,GSM6715996,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,Control fat diet white matter Sample 489 Input,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,10% kCal from fat diet
SRR22197698,17855496,2464058448,69,1043,SRX18175997,GSM6715997,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675168,SAMN31612648,simple,10090,Mus musculus,GSM6715997,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,Control fat diet Tie2-Cre:RiboTAG pulldown Sample 489 IP,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,60% kCal from fat diet
SRR22197699,17669041,2438327658,69,1025,SRX18175997,GSM6715997,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675168,SAMN31612648,simple,10090,Mus musculus,GSM6715997,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,Control fat diet Tie2-Cre:RiboTAG pulldown Sample 489 IP,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,60% kCal from fat diet
SRR22197696,14279716,1970600808,69,831,SRX18175998,GSM6715998,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675169,SAMN31612647,simple,10090,Mus musculus,GSM6715998,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,High fat diet white matter Sample 516 Input,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,60% kCal from fat diet
SRR22197697,14115977,1948004826,69,816,SRX18175998,GSM6715998,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675169,SAMN31612647,simple,10090,Mus musculus,GSM6715998,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,High fat diet white matter Sample 516 Input,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,60% kCal from fat diet
SRR22197694,18891480,2607024240,69,1097,SRX18175999,GSM6715999,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675170,SAMN31612646,simple,10090,Mus musculus,GSM6715999,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,High fat diet Tie2-Cre:RiboTAG pulldown Sample 516 IP,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,10% kCal from fat diet
SRR22197695,18687682,2578900116,69,1078,SRX18175999,GSM6715999,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675170,SAMN31612646,simple,10090,Mus musculus,GSM6715999,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,High fat diet Tie2-Cre:RiboTAG pulldown Sample 516 IP,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,10% kCal from fat diet
SRR22197692,10654920,1470378960,69,617,SRX18176000,GSM6716000,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675171,SAMN31612645,simple,10090,Mus musculus,GSM6716000,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,High fat diet white matter Sample 517 Input,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,10% kCal from fat diet
SRR22197693,10466595,1444390110,69,602,SRX18176000,GSM6716000,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406384,PRJNA898432,36543124,"",SRS15675171,SAMN31612645,simple,10090,Mus musculus,GSM6716000,"Hinman Lab, Neurology, UCLA",SRA1534990,11,2022,Xiao,brain white matter,High fat diet white matter Sample 517 Input,brain white matter,brain white matter,Tie2-Cre:Rpl22-HA,10% kCal from fat diet
