Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,cell type,treatment
SRR16902789,12116994,617966694,51,211,SRX13095445,GSM5684935,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031796,SAMN23027479,simple,10090,Mus musculus,GSM5684935,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,rna_WTS(-)_1,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS-
SRR16902788,16494068,841197468,51,294,SRX13095446,GSM5684936,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031797,SAMN23027478,simple,10090,Mus musculus,GSM5684936,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,rna_WTS(-)_2,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS-
SRR16902787,13086955,667434705,51,229,SRX13095447,GSM5684937,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031798,SAMN23027477,simple,10090,Mus musculus,GSM5684937,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,rna_WTS(-)_3,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS-
SRR16902786,12049267,614512617,51,210,SRX13095448,GSM5684938,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031799,SAMN23027476,simple,10090,Mus musculus,GSM5684938,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,rna_WTS(+)_1,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS+
SRR16902785,12967180,661326180,51,228,SRX13095449,GSM5684939,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031800,SAMN23027475,simple,10090,Mus musculus,GSM5684939,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,rna_WTS(+)_2,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS+
SRR16902784,13852993,706502643,51,245,SRX13095450,GSM5684940,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031801,SAMN23027474,simple,10090,Mus musculus,GSM5684940,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,rna_WTS(+)_3,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS+
SRR16902783,149726702,2910456063,19,1483,SRX13095451,GSM5684941,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP345399,PRJNA779283,36882059,"",SRS11031802,SAMN23027473,simple,10090,Mus musculus,GSM5684941,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,ribo_WTS(-)_1,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS-
SRR16902782,50989112,1425454557,27,605,SRX13095452,GSM5684942,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031803,SAMN23027472,simple,10090,Mus musculus,GSM5684942,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,ribo_WTS(-)_2,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS-
SRR16902781,73929929,2051481073,27,879,SRX13095453,GSM5684943,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP345399,PRJNA779283,36882059,"",SRS11031804,SAMN23027471,simple,10090,Mus musculus,GSM5684943,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,ribo_WTS(-)_3,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS-
SRR16902780,182532890,4791294012,26,2171,SRX13095454,GSM5684944,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP345399,PRJNA779283,36882059,"",SRS11031806,SAMN23027470,simple,10090,Mus musculus,GSM5684944,"Department of Systems Biology, Kyoto University, Graduate School of Pharmaceutical Sciences",SRA1594675,03,2023,Miyake,mouse embryonic fibroblasts,ribo_WTS(+)_1,mouse embryonic fibroblasts,C57BL/6,wild-type,mouse embryonic fibroblasts,WTS+
