Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment
SRR19749645,36025270,3602527000,50,1100,SRX15795450,GSM6253659,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487884,SAMN29203256,simple,9606,Homo sapiens,GSM6253659,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH1_untreated_biol rep 1 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,untreated
SRR19749644,34695270,3469527000,50,1060,SRX15795451,GSM6253660,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487883,SAMN29203255,simple,9606,Homo sapiens,GSM6253660,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH2_untreated_biol rep 2 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,untreated
SRR19749643,37971849,3797184900,50,1163,SRX15795452,GSM6253661,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487885,SAMN29203254,simple,9606,Homo sapiens,GSM6253661,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH3_untreated_biol rep 3 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,untreated
SRR19749642,34738427,3473842700,50,1073,SRX15795453,GSM6253662,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487886,SAMN29203253,simple,9606,Homo sapiens,GSM6253662,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH4_IFNg_biol rep 1 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,IFNg
SRR19749641,37187723,3718772300,50,1133,SRX15795454,GSM6253663,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487887,SAMN29203252,simple,9606,Homo sapiens,GSM6253663,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH5_IFNg_biol rep 2 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,IFNg
SRR19749640,37280587,3728058700,50,1137,SRX15795455,GSM6253664,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487888,SAMN29203251,simple,9606,Homo sapiens,GSM6253664,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH6_IFNg_biol rep 3 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,IFNg
SRR19749639,39002071,3900207100,50,1188,SRX15795456,GSM6253665,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487890,SAMN29203250,simple,9606,Homo sapiens,GSM6253665,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH7_DOX-pulse_biol rep 1 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX
SRR19749638,37272509,3727250900,50,1136,SRX15795457,GSM6253666,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487889,SAMN29203249,simple,9606,Homo sapiens,GSM6253666,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH8_DOX-pulse_biol rep 2 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX
SRR19749637,41256399,4125639900,50,1259,SRX15795458,GSM6253667,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487892,SAMN29203248,simple,9606,Homo sapiens,GSM6253667,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH9_DOX-pulse_biol rep 3 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX
SRR19749636,35435270,3543527000,50,1087,SRX15795459,GSM6253668,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382498,PRJNA850794,1,"",SRS13487891,SAMN29203247,simple,9606,Homo sapiens,GSM6253668,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439762,06,2022,Makar,MB135iDUX4,DCH10_DOX-pulse_IFNg_biol rep 1 [RNA-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX+IFNg
