Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype,treatment,agent,cell line,GEO Accession
SRR14735560,12328480,299327823,24,126,SRX11070643,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137114,SAMN19572224,simple,4932,Saccharomyces cerevisiae,GSM5359295,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, KCl, rep1",yeast cells,YEFD12h,Cultured cell,eEF2-WT,No treatment,cycloheximide,,GSM5359295
SRR14735561,12975072,317771109,24,132,SRX11070644,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137115,SAMN19572223,simple,4932,Saccharomyces cerevisiae,GSM5359296,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, KCl, rep2",yeast cells,YEFD12h,Cultured cell,eEF2-WT,No treatment,cycloheximide,,GSM5359296
SRR14735562,12054434,301492898,25,126,SRX11070645,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137116,SAMN19572222,simple,4932,Saccharomyces cerevisiae,GSM5359297,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, KCl, rep1",yeast cells,YEFD12h,Cultured cell,eEF2-H699N,No treatment,cycloheximide,,GSM5359297
SRR14735563,9406025,209186122,22,89,SRX11070646,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137117,SAMN19572221,simple,4932,Saccharomyces cerevisiae,GSM5359298,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, KCl, rep2",yeast cells,YEFD12h,Cultured cell,eEF2-H699N,No treatment,cycloheximide,,GSM5359298
SRR14735564,12537388,284129361,22,132,SRX11070647,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137118,SAMN19572220,simple,4932,Saccharomyces cerevisiae,GSM5359299,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, UPF1, rep1",yeast cells,YEFD12h,Cultured cell,"eEF2-WT, UPF1",No treatment,cycloheximide,,GSM5359299
SRR14735565,22806445,547588228,24,248,SRX11070648,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137119,SAMN19572219,simple,4932,Saccharomyces cerevisiae,GSM5359300,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, UPF1, rep2",yeast cells,YEFD12h,Cultured cell,"eEF2-WT, UPF1",No treatment,cycloheximide,,GSM5359300
SRR14735566,27019466,610976389,22,281,SRX11070649,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137120,SAMN19572218,simple,4932,Saccharomyces cerevisiae,GSM5359301,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, UPF1, rep1",yeast cells,YEFD12h,Cultured cell,"eEF2-H699N, UPF1",No treatment,cycloheximide,,GSM5359301
SRR14735567,25376588,601671045,23,272,SRX11070650,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137121,SAMN19572217,simple,4932,Saccharomyces cerevisiae,GSM5359302,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, UPF1, rep2",yeast cells,YEFD12h,Cultured cell,"eEF2-H699N, UPF1",No treatment,cycloheximide,,GSM5359302
SRR14735568,13925268,323332029,23,148,SRX11070651,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137122,SAMN19572216,simple,4932,Saccharomyces cerevisiae,GSM5359303,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, upf1-del, rep1",yeast cells,YEFD12h,Cultured cell,"eEF2-WT, upf1-del",No treatment,cycloheximide,,GSM5359303
SRR14735569,14765766,342735775,23,158,SRX11070652,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137123,SAMN19572215,simple,4932,Saccharomyces cerevisiae,GSM5359304,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, upf1-del, rep2",yeast cells,YEFD12h,Cultured cell,"eEF2-WT, upf1-del",No treatment,cycloheximide,,GSM5359304
