Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,culture_collection,treatment,replicate,BioSampleModel
SRR11794851,30087757,4513163550,150,2470,SRX8346804,rep1 infection IFIT2 CLIP,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261790,PRJNA633047,1,"",SRS6663539,SAMN14931303,simple,9606,Homo sapiens,rep1_infection_IFIT2_CLIP,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,infected with influenza A virus (A/WSN/33; H1N1),biological replicate 1,Human
SRR11794850,21792701,3268905150,150,1799,SRX8346805,rep1 infection size-matched input for CLIP,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261790,PRJNA633047,1,"",SRS6663539,SAMN14931303,simple,9606,Homo sapiens,rep1_infection_IFIT2_CLIP,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,infected with influenza A virus (A/WSN/33; H1N1),biological replicate 1,Human
SRR11794849,19019697,1426477275,75,1103,SRX8346806,WT rep2 mock RPF,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663540,SAMN14931308,simple,9606,Homo sapiens,WT_rep2_mock_ribopro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,WT cells mock infected,biological replicate 2,Human
SRR11794848,10427687,782076525,75,602,SRX8346807,WT rep2 mock input,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663540,SAMN14931308,simple,9606,Homo sapiens,WT_rep2_mock_ribopro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,WT cells mock infected,biological replicate 2,Human
SRR11794847,17374979,1303123425,75,1015,SRX8346808,KO rep1 infection RPF,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663541,SAMN14931309,simple,9606,Homo sapiens,KO_rep1_infection_ribopro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells infected with influenza A virus (A/WSN/33; H1N1),biological replicate 1,Human
SRR11794846,7457075,559280625,75,430,SRX8346809,KO rep1 infection input,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663541,SAMN14931309,simple,9606,Homo sapiens,KO_rep1_infection_ribopro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells infected with influenza A virus (A/WSN/33; H1N1),biological replicate 1,Human
SRR11794845,20046166,1503462450,75,1167,SRX8346810,KO rep2 infection RPF,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663542,SAMN14931310,simple,9606,Homo sapiens,KO_rep2_infection_ribpro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells infected with influenza A virus (A/WSN/33; H1N1),biological replicate 2,Human
SRR11794844,11905053,892878975,75,694,SRX8346811,KO rep2 infection input,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663542,SAMN14931310,simple,9606,Homo sapiens,KO_rep2_infection_ribpro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells infected with influenza A virus (A/WSN/33; H1N1),biological replicate 2,Human
SRR11794843,21767715,1632578625,75,1276,SRX8346812,KO rep1 mock RPF,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663543,SAMN14931311,simple,9606,Homo sapiens,KO_rep1_mock_ribpro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells mock infected,biological replicate 1,Human
SRR11794842,8435062,632629650,75,489,SRX8346813,KO rep1 mock input,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663543,SAMN14931311,simple,9606,Homo sapiens,KO_rep1_mock_ribpro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells mock infected,biological replicate 1,Human
SRR11794841,17944493,1345836975,75,1042,SRX8346814,KO rep2 mock RPF,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663544,SAMN14931312,simple,9606,Homo sapiens,KO_rep2_mock_ribopro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells mock infected,biological replicate 2,Human
SRR11794840,9198727,689904525,75,533,SRX8346815,KO rep2 mock input,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261790,PRJNA633047,1,"",SRS6663544,SAMN14931312,simple,9606,Homo sapiens,KO_rep2_mock_ribopro,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,KO cells mock infected,biological replicate 2,Human
SRR11794839,18628996,2794349400,150,1552,SRX8346816,rep2 infection IFIT2 CLIP,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261790,PRJNA633047,1,"",SRS6663545,SAMN14931304,simple,9606,Homo sapiens,rep2_infection_IFIT2_CLIP,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,infected with influenza A virus (A/WSN/33; H1N1),biological replicate 2,Human
SRR11794838,21270229,3190534350,150,1783,SRX8346817,rep2 infection size-matched input for CLIP,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261790,PRJNA633047,1,"",SRS6663545,SAMN14931304,simple,9606,Homo sapiens,rep2_infection_IFIT2_CLIP,University of Wisconsin Madison,SRA1075839,07,2020,Makar,"","",not applicable,not applicable,ATCC,male,lung,A549,ATCC:CCL185,infected with influenza A virus (A/WSN/33; H1N1),biological replicate 2,Human
