Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR24204967,39321327,2005387677,51,663,SRX20001546,GSM7182251,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346196,SAMN34234235,simple,9606,Homo sapiens,GSM7182251,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-mut-VACV-RPF,HeLa cells,HeLa cells,infection with vK1-C7- VACV,missing,missing
SRR24204968,18935579,965714529,51,338,SRX20001546,GSM7182251,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346196,SAMN34234235,simple,9606,Homo sapiens,GSM7182251,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-mut-VACV-RPF,HeLa cells,HeLa cells,infection with vK1-C7- VACV with AraC,missing,missing
SRR24204969,20022546,1021149846,51,362,SRX20001546,GSM7182251,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346196,SAMN34234235,simple,9606,Homo sapiens,GSM7182251,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-mut-VACV-RPF,HeLa cells,HeLa cells,infection with WT VACV,missing,missing
SRR24204970,18282533,932409183,51,342,SRX20001546,GSM7182251,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346196,SAMN34234235,simple,9606,Homo sapiens,GSM7182251,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-mut-VACV-RPF,HeLa cells,HeLa cells,infection with WT VACV with AraC,missing,missing
SRR24204966,63023985,3214223235,51,1038,SRX20001547,GSM7182252,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346195,SAMN34234234,simple,9606,Homo sapiens,GSM7182252,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-mut-VACV-early-RPF,HeLa cells,HeLa cells,uninfected,missing,missing
SRR24204965,58665486,2991939786,51,975,SRX20001548,GSM7182253,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346198,SAMN34234233,simple,9606,Homo sapiens,GSM7182253,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-WT-VACV-RPF,HeLa cells,HeLa cells,infection with vK1-C7- VACV,missing,missing
SRR24204964,60602428,3090723828,51,1019,SRX20001549,GSM7182254,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346197,SAMN34234232,simple,9606,Homo sapiens,GSM7182254,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-WT-VACV-early-RPF,HeLa cells,HeLa cells,infection with vK1-C7- VACV with AraC,missing,missing
SRR24204963,58989669,3008473119,51,990,SRX20001550,GSM7182255,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346199,SAMN34234231,simple,9606,Homo sapiens,GSM7182255,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-uninfected-RPF,HeLa cells,HeLa cells,infection with WT VACV,missing,missing
SRR24204962,53209368,2713677768,51,1124,SRX20001551,GSM7182256,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346201,SAMN34234230,simple,9606,Homo sapiens,GSM7182256,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-mut-VACV-mRNA,HeLa cells,HeLa cells,infection with WT VACV with AraC,missing,missing
SRR24204961,39469095,2012923845,51,818,SRX20001552,GSM7182257,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346200,SAMN34234229,simple,9606,Homo sapiens,GSM7182257,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-mut-VACV-early-mRNA,HeLa cells,HeLa cells,uninfected,missing,missing
SRR24204960,35688194,1820097894,51,763,SRX20001553,GSM7182258,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346202,SAMN34234228,simple,9606,Homo sapiens,GSM7182258,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-WT-VACV-mRNA,HeLa cells,HeLa cells,infection with vK1-C7- VACV,missing,missing
SRR24204959,41176037,2099977887,51,866,SRX20001554,GSM7182259,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346203,SAMN34234227,simple,9606,Homo sapiens,GSM7182259,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-WT-VACV-early-mRNA,HeLa cells,HeLa cells,infection with vK1-C7- VACV with AraC,missing,missing
SRR24204958,54748358,2792166258,51,1233,SRX20001555,GSM7182260,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP433210,PRJNA956925,37285440,"",SRS17346204,SAMN34234226,simple,9606,Homo sapiens,GSM7182260,"Yan Xiang, Microbiology, Immunology and Molecular Genetics, UT Health San Antonio",SRA1623432,06,2023,Zhang,HeLa cells,HeLa-uninfected-mRNA,HeLa cells,HeLa cells,infection with WT VACV,missing,missing
