Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,GEO Accession
SRR4035005,9147286,466511586,51,257,SRX2026296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620714,SAMN05579800,simple,4932,Saccharomyces cerevisiae,GSM2281591,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_chx_2minBiotin,sec63mVenusBirA_chx_2minBiotin_input,sec63mVenusBirA_chx_2minBiotin,S288C,GSM2281591
SRR4035006,8954073,456657723,51,252,SRX2026296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620714,SAMN05579800,simple,4932,Saccharomyces cerevisiae,GSM2281591,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_chx_2minBiotin,sec63mVenusBirA_chx_2minBiotin_input,sec63mVenusBirA_chx_2minBiotin,S288C,GSM2281592
SRR4035007,9134903,465880053,51,258,SRX2026296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620714,SAMN05579800,simple,4932,Saccharomyces cerevisiae,GSM2281591,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_chx_2minBiotin,sec63mVenusBirA_chx_2minBiotin_input,sec63mVenusBirA_deltaSND1_chx_2minBiotin,S288C,GSM2281593
SRR4035008,6948071,354351621,51,196,SRX2026297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620712,SAMN05579799,simple,4932,Saccharomyces cerevisiae,GSM2281592,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_chx_2minBiotin,sec63mVenusBirA_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND1_chx_2minBiotin,S288C,GSM2281594
SRR4035009,6809851,347302401,51,192,SRX2026297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620712,SAMN05579799,simple,4932,Saccharomyces cerevisiae,GSM2281592,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_chx_2minBiotin,sec63mVenusBirA_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND2_chx_2minBiotin,S288C,GSM2281595
SRR4035010,6952604,354582804,51,197,SRX2026297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620712,SAMN05579799,simple,4932,Saccharomyces cerevisiae,GSM2281592,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_chx_2minBiotin,sec63mVenusBirA_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND2_chx_2minBiotin,S288C,GSM2281596
SRR4035011,11275335,575042085,51,318,SRX2026298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620713,SAMN05579798,simple,4932,Saccharomyces cerevisiae,GSM2281593,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND1_chx_2minBiotin,sec63mVenusBirA_deltaSND1_chx_2minBiotin_input,sec63mVenusBirA_deltaSND3_chx_2minBiotin,S288C,GSM2281597
SRR4035012,11041661,563124711,51,311,SRX2026298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620713,SAMN05579798,simple,4932,Saccharomyces cerevisiae,GSM2281593,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND1_chx_2minBiotin,sec63mVenusBirA_deltaSND1_chx_2minBiotin_input,sec63mVenusBirA_deltaSND3_chx_2minBiotin,S288C,GSM2281598
SRR4035013,11271620,574852620,51,319,SRX2026298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620713,SAMN05579798,simple,4932,Saccharomyces cerevisiae,GSM2281593,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND1_chx_2minBiotin,sec63mVenusBirA_deltaSND1_chx_2minBiotin_input,sec63mVenusBirA_chx_2minBiotin,S288C,GSM2281591
SRR4035014,8172717,416808567,51,229,SRX2026299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620715,SAMN05579805,simple,4932,Saccharomyces cerevisiae,GSM2281594,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND1_chx_2minBiotin,sec63mVenusBirA_deltaSND1_chx_2minBiotin_pulldown,sec63mVenusBirA_chx_2minBiotin,S288C,GSM2281592
SRR4035015,8003260,408166260,51,224,SRX2026299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620715,SAMN05579805,simple,4932,Saccharomyces cerevisiae,GSM2281594,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND1_chx_2minBiotin,sec63mVenusBirA_deltaSND1_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND1_chx_2minBiotin,S288C,GSM2281593
SRR4035016,8170000,416670000,51,230,SRX2026299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620715,SAMN05579805,simple,4932,Saccharomyces cerevisiae,GSM2281594,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND1_chx_2minBiotin,sec63mVenusBirA_deltaSND1_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND1_chx_2minBiotin,S288C,GSM2281594
SRR4035017,10562855,538705605,51,297,SRX2026300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620716,SAMN05579804,simple,4932,Saccharomyces cerevisiae,GSM2281595,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND2_chx_2minBiotin,sec63mVenusBirA_deltaSND2_chx_2minBiotin_input,sec63mVenusBirA_deltaSND2_chx_2minBiotin,S288C,GSM2281595
