Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth phase,GEO Accession
SRR2015216,16485488,3330068576,101,2191,SRX1022543,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932378,SAMN03649594,simple,5037,Histoplasma capsulatum,GSM1679364,GEO,SRA267461,07,2015,Gilmore,hyphae,G217B Hyphae A,hyphae,G217B,hyphae,GSM1679364
SRR2015217,16825658,3398782916,101,2254,SRX1022544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932377,SAMN03649595,simple,5037,Histoplasma capsulatum,GSM1679365,GEO,SRA267461,07,2015,Gilmore,hyphae,G217B Hyphae B,hyphae,G217B,hyphae,GSM1679365
SRR2015218,26827930,5365586000,100,3770,SRX1022545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932376,SAMN03649596,simple,5037,Histoplasma capsulatum,GSM1679366,GEO,SRA267461,07,2015,Gilmore,yeast,G217B Yeast A,yeast,G217B,yeast,GSM1679366
SRR2015219,15794351,3158870200,100,2223,SRX1022546,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932375,SAMN03649597,simple,5037,Histoplasma capsulatum,GSM1679367,GEO,SRA267461,07,2015,Gilmore,yeast,G217B Yeast B,yeast,G217B,yeast,GSM1679367
SRR2015220,14655377,2960386154,101,1968,SRX1022547,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932374,SAMN03649598,simple,5037,Histoplasma capsulatum,GSM1679368,GEO,SRA267461,07,2015,Gilmore,hyphae,G186AR Hyphae A,hyphae,G186AR,hyphae,GSM1679368
SRR2015221,15605559,3152322918,101,2086,SRX1022548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932373,SAMN03649599,simple,5037,Histoplasma capsulatum,GSM1679369,GEO,SRA267461,07,2015,Gilmore,hyphae,G186AR Hyphae B,hyphae,G186AR,hyphae,GSM1679369
SRR2015222,14792350,2988054700,101,1987,SRX1022549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932372,SAMN03649600,simple,5037,Histoplasma capsulatum,GSM1679370,GEO,SRA267461,07,2015,Gilmore,yeast,G186AR Yeast A,yeast,G186AR,yeast,GSM1679370
SRR2015223,17039015,3441881030,101,2270,SRX1022550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932371,SAMN03649601,simple,5037,Histoplasma capsulatum,GSM1679371,GEO,SRA267461,07,2015,Gilmore,yeast,G186AR Yeast B,yeast,G186AR,yeast,GSM1679371
SRR2015224,12590416,2543264032,101,1678,SRX1022551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932370,SAMN03649602,simple,5037,Histoplasma capsulatum,GSM1679372,GEO,SRA267461,07,2015,Gilmore,hyphae,H88 Hyphae A,hyphae,H88,hyphae,GSM1679372
SRR2015225,13960781,2820077762,101,1867,SRX1022552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058149,PRJNA283426,26177267,"",SRS932369,SAMN03649603,simple,5037,Histoplasma capsulatum,GSM1679373,GEO,SRA267461,07,2015,Gilmore,hyphae,H88 Hyphae B,hyphae,H88,hyphae,GSM1679373
