Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,tissue/cell type,replicate,GEO Accession
SRR1944940,23914685,733407885,30,544,SRX971680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886800,SAMN03450665,simple,4932,Saccharomyces cerevisiae,GSM1646043,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_diamide,ncs2?_ribo_diamide_rep2,ncs2?_ribo_diamide,BY4741,ncs2-delta,Whole cells,2,GSM1646043
SRR1944941,33756395,1021914921,30,737,SRX971681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886802,SAMN03450679,simple,4932,Saccharomyces cerevisiae,GSM1646044,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_diamide,ncs2?_ribo_diamide_rep3,ncs2?_ribo_diamide,BY4741,ncs2-delta,Whole cells,3,GSM1646044
SRR1944912,28905052,855004779,29,612,SRX971682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886799,SAMN03450604,simple,4932,Saccharomyces cerevisiae,GSM1646015,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_YPD,WT_ribo_YPD_rep1,WT_ribo_YPD,BY4741,wild-type,Whole cells,1,GSM1646015
SRR1944913,37334344,1095851943,29,779,SRX971683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886803,SAMN03450598,simple,4932,Saccharomyces cerevisiae,GSM1646016,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_YPD,WT_ribo_YPD_rep2,WT_ribo_YPD,BY4741,wild-type,Whole cells,2,GSM1646016
SRR1944914,17505437,525959616,30,385,SRX971684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886797,SAMN03450597,simple,4932,Saccharomyces cerevisiae,GSM1646017,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_YPD,WT_ribo_YPD_rep3,WT_ribo_YPD,BY4741,wild-type,Whole cells,3,GSM1646017
SRR1944915,32467816,970021648,29,685,SRX971685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886798,SAMN03450603,simple,4932,Saccharomyces cerevisiae,GSM1646018,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_YPD,ncs2?_ribo_YPD_rep1,ncs2?_ribo_YPD,BY4741,ncs2-delta,Whole cells,1,GSM1646018
SRR1944916,27617546,834388611,30,601,SRX971686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886796,SAMN03450601,simple,4932,Saccharomyces cerevisiae,GSM1646019,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_YPD,ncs2?_ribo_YPD_rep2,ncs2?_ribo_YPD,BY4741,ncs2-delta,Whole cells,2,GSM1646019
SRR1944917,23857016,730283486,30,535,SRX971687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886794,SAMN03450605,simple,4932,Saccharomyces cerevisiae,GSM1646020,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_YPD,ncs2?_ribo_YPD_rep3,ncs2?_ribo_YPD,BY4741,ncs2-delta,Whole cells,3,GSM1646020
SRR1944918,22548590,702649010,31,518,SRX971688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886795,SAMN03450602,simple,4932,Saccharomyces cerevisiae,GSM1646021,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_YPD,elp6?_ribo_YPD_rep1,elp6?_ribo_YPD,BY4741,elp6-delta,Whole cells,1,GSM1646021
SRR1944919,20240822,616006301,30,455,SRX971689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886801,SAMN03450599,simple,4932,Saccharomyces cerevisiae,GSM1646022,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_YPD,elp6?_ribo_YPD_rep2,elp6?_ribo_YPD,BY4741,elp6-delta,Whole cells,2,GSM1646022
