Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,genotype,growth condition,sample name,strain,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: environmental stress
ERR2382482,4000000,5.44e+08,136,219,ERX2430792,"31-tRNA-seq, 0.1mM H2O2_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275959,SAMEA104674576,simple,4932,Saccharomyces cerevisiae,SAMEA104674576,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","31-tRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674576,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:01:32Z,2018-03-09T09:52:46Z,public,"E-MTAB-6576:31-tRNA-seq, 0.1mM H2O2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:31-tRNA-seq, 0.1mM H2O2",BY4741,wild type genotype,hydrogen peroxide,0.1,none
ERR2382483,394190,53609840,136,21,ERX2430792,"31-tRNA-seq, 0.1mM H2O2_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275959,SAMEA104674576,simple,4932,Saccharomyces cerevisiae,SAMEA104674576,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","31-tRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674577,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:01:32Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:32-Ribo-tRNA-seq, 0.1mM H2O2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:32-Ribo-tRNA-seq, 0.1mM H2O2",BY4741,wild type genotype,hydrogen peroxide,0.1,none
ERR2382484,4000000,5.44e+08,136,218,ERX2430793,"32-Ribo-tRNA-seq, 0.1mM H2O2_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275960,SAMEA104674577,simple,4932,Saccharomyces cerevisiae,SAMEA104674577,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","32-Ribo-tRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674578,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:01:44Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:33-mRNA-seq, 0.1mM H2O2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:33-mRNA-seq, 0.1mM H2O2",BY4741,wild type genotype,hydrogen peroxide,0.1,none
ERR2382485,4000000,5.44e+08,136,219,ERX2430793,"32-Ribo-tRNA-seq, 0.1mM H2O2_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275960,SAMEA104674577,simple,4932,Saccharomyces cerevisiae,SAMEA104674577,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","32-Ribo-tRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674579,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:01:45Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:34-Ribo-mRNA-seq, 0.1mM H2O2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:34-Ribo-mRNA-seq, 0.1mM H2O2",BY4741,wild type genotype,hydrogen peroxide,0.1,none
ERR2382486,3396867,461973912,136,186,ERX2430793,"32-Ribo-tRNA-seq, 0.1mM H2O2_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275960,SAMEA104674577,simple,4932,Saccharomyces cerevisiae,SAMEA104674577,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","32-Ribo-tRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674580,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:01:45Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:111-tRNA-seq, 0.5mM H2O2 rep2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:111-tRNA-seq, 0.5mM H2O2 rep2",BY4741,wild type genotype,hydrogen peroxide,0.5,none
ERR2382487,4000000,5.44e+08,136,215,ERX2430794,"33-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275961,SAMEA104674578,simple,4932,Saccharomyces cerevisiae,SAMEA104674578,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","33-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674581,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:112-Ribo-tRNA-seq, 0.5mM H2O2 rep2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:112-Ribo-tRNA-seq, 0.5mM H2O2 rep2",BY4741,wild type genotype,hydrogen peroxide,0.5,none
ERR2382488,4000000,5.44e+08,136,216,ERX2430794,"33-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275961,SAMEA104674578,simple,4932,Saccharomyces cerevisiae,SAMEA104674578,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","33-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674582,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:123-tRNA-seq, 0.5mM H2O2 rep3",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:123-tRNA-seq, 0.5mM H2O2 rep3",BY4741,wild type genotype,hydrogen peroxide,0.5,none
ERR2382489,1058385,143940360,136,57,ERX2430794,"33-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275961,SAMEA104674578,simple,4932,Saccharomyces cerevisiae,SAMEA104674578,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","33-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674583,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:124-Ribo-tRNA-seq, 0.5mM H2O2 rep3",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:124-Ribo-tRNA-seq, 0.5mM H2O2 rep3",BY4741,wild type genotype,hydrogen peroxide,0.5,none
ERR2382490,4000000,5.44e+08,136,232,ERX2430795,"34-Ribo-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275962,SAMEA104674579,simple,4932,Saccharomyces cerevisiae,SAMEA104674579,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","34-Ribo-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674584,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:35-tRNA-seq, 0.5mM H2O2 rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:35-tRNA-seq, 0.5mM H2O2 rep1",BY4741,wild type genotype,hydrogen peroxide,0.5,none
ERR2382491,4000000,5.44e+08,136,233,ERX2430795,"34-Ribo-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275962,SAMEA104674579,simple,4932,Saccharomyces cerevisiae,SAMEA104674579,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","34-Ribo-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674585,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:36-Ribo-tRNA-seq, 0.5mM H2O2 rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:36-Ribo-tRNA-seq, 0.5mM H2O2 rep1",BY4741,wild type genotype,hydrogen peroxide,0.5,none
