Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,genotype,strategy,GEO Accession
SRR11294057,69369681,6964058302,100,1477,SRX7899616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS6307576,SAMN14364322,simple,9606,Homo sapiens,GSM4407914,GEO,SRA1022253,06,2020,Karousis,UPF1 KD 01 – total RNA seq,UK1_T,UPF1 KD 01 – total RNA seq,HeLa cells,UPF1 knockdowns,,,GSM4407914
SRR11294058,44602108,4487150119,100,937,SRX7899617,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS6307577,SAMN14364323,simple,9606,Homo sapiens,GSM4407915,GEO,SRA1022253,06,2020,Karousis,UPF1 KD 02 – total RNA seq,UK2_T,UPF1 KD 02 – total RNA seq,HeLa cells,UPF1 knockdowns,,,GSM4407915
SRR11294059,54619292,5491196204,100,1136,SRX7899618,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS6307578,SAMN14364335,simple,9606,Homo sapiens,GSM4407916,GEO,SRA1022253,06,2020,Karousis,UPF1 KD 03 – total RNA seq,UK3_T,UPF1 KD 03 – total RNA seq,HeLa cells,UPF1 knockdowns,,,GSM4407916
SRR10850865,55729772,5587854673,100,2256,SRX7521408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961016,SAMN13762569,simple,9606,Homo sapiens,GSM4256659,GEO,SRA1022253,06,2020,Karousis,CTRL KD 01 - riboseq,SK1_M (L6),CTRL KD 01 - riboseq,HeLa cells,,control,Ribo-Seq,GSM4256659
SRR10850866,70180391,7035675770,100,2878,SRX7521409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961017,SAMN13762553,simple,9606,Homo sapiens,GSM4256660,GEO,SRA1022253,06,2020,Karousis,CTRL KD 02 - riboseq,SK2_M (L6),CTRL KD 02 - riboseq,HeLa cells,,control,Ribo-Seq,GSM4256660
SRR10850867,78068579,7829293579,100,3182,SRX7521410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961018,SAMN13762550,simple,9606,Homo sapiens,GSM4256661,GEO,SRA1022253,06,2020,Karousis,CTRL KD 03 - riboseq,SK3_M (L6),CTRL KD 03 - riboseq,HeLa cells,,control,Ribo-Seq,GSM4256661
SRR10850868,68411183,6856641872,100,2768,SRX7521411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961019,SAMN13762549,simple,9606,Homo sapiens,GSM4256662,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 01 - riboseq,AK1_M (L6),ABCE1 KD 01 - riboseq,HeLa cells,,siRNA-mediated ABCE1 KD,Ribo-Seq,GSM4256662
SRR10850869,53159052,5326709778,100,2138,SRX7521412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961021,SAMN13762547,simple,9606,Homo sapiens,GSM4256663,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 02 - riboseq,AK2_M (L6),ABCE1 KD 02 - riboseq,HeLa cells,,siRNA-mediated ABCE1 KD,Ribo-Seq,GSM4256663
SRR10850870,68600700,6880225157,100,2775,SRX7521413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961020,SAMN13762545,simple,9606,Homo sapiens,GSM4256664,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 03 - riboseq,AK3_M (L6),ABCE1 KD 03 - riboseq,HeLa cells,,siRNA-mediated ABCE1 KD,Ribo-Seq,GSM4256664
SRR10850871,56139501,5629045329,100,2275,SRX7521414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961022,SAMN13762542,simple,9606,Homo sapiens,GSM4256665,GEO,SRA1022253,06,2020,Karousis,CTRL KD 01 - riboseq,SK1_M (L7),CTRL KD 01 - riboseq,HeLa cells,,control,Ribo-Seq,GSM4256665
