Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,tissue,developmental stage,description,GEO Accession
SRR8135914,49463459,7374370494,74,2983,SRX4956930,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997438,SAMN10347778,simple,7955,Danio rerio,GSM3452116,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 1,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Angiotag transgenic, immunoprecipitated RNA",GSM3452116
SRR8135915,15996235,3198835091,100,1280,SRX4956931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997439,SAMN10347777,simple,7955,Danio rerio,GSM3452117,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 2,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Angiotag transgenic, immunoprecipitated RNA",GSM3452117
SRR8135916,15901012,3179639577,100,1259,SRX4956931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997439,SAMN10347777,simple,7955,Danio rerio,GSM3452117,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 2,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Angiotag transgenic, immunoprecipitated RNA",GSM3452118
SRR8135917,13350291,2670448417,100,1051,SRX4956931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997439,SAMN10347777,simple,7955,Danio rerio,GSM3452117,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 2,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Angiotag transgenic, input RNA",GSM3452119
SRR8135918,13512881,2703112917,100,1067,SRX4956931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997439,SAMN10347777,simple,7955,Danio rerio,GSM3452117,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 2,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Angiotag transgenic, input RNA",GSM3452120
SRR8135919,21445508,4285984412,99,1717,SRX4956932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997444,SAMN10347776,simple,7955,Danio rerio,GSM3452118,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 3,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Angiotag transgenic, input RNA",GSM3452121
SRR8135920,21386801,4274100578,99,1694,SRX4956932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997444,SAMN10347776,simple,7955,Danio rerio,GSM3452118,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 3,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Ribotag transgenic, immunoprecipitated RNA",GSM3452122
SRR8135921,6185131,1236338816,99,486,SRX4956932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997444,SAMN10347776,simple,7955,Danio rerio,GSM3452118,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 3,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Ribotag transgenic, immunoprecipitated RNA",GSM3452123
SRR8135922,6272051,1253794154,99,494,SRX4956932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997444,SAMN10347776,simple,7955,Danio rerio,GSM3452118,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag IP sample 3,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Ribotag transgenic, immunoprecipitated RNA",GSM3452124
SRR8135923,46722553,6962146471,74,2824,SRX4956933,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997441,SAMN10347775,simple,7955,Danio rerio,GSM3452119,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag input sample 1,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Ribotag transgenic, input RNA",GSM3452125
SRR8135924,18659946,3736216361,100,1516,SRX4956934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997440,SAMN10347774,simple,7955,Danio rerio,GSM3452120,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag input sample 2,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Ribotag transgenic, input RNA",GSM3452126
SRR8135925,18586195,3721317177,100,1494,SRX4956934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997440,SAMN10347774,simple,7955,Danio rerio,GSM3452120,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag input sample 2,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Ribotag transgenic, input RNA",GSM3452127
SRR8135926,9999985,2002588890,100,798,SRX4956934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167240,PRJNA501871,1,"",SRS3997440,SAMN10347774,simple,7955,Danio rerio,GSM3452120,GEO,SRA800750,03,2019,Makar,zebrafish embryos,Angiotag input sample 2,zebrafish embryos,Transgene positive,pooled embryos,24hpf,"Angiotag transgenic, RNA from FACS-sorted endothelial cells",GSM3452128
