Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,GEO Accession
SRR15096303,60524022,1530071591,25,676,SRX11406158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449879,SAMN20164011,simple,9606,Homo sapiens,GSM5435960,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,Naïve_rep1,HEK293T cell,HEK293T,embryonic kidney,wild type,GSM5435960
SRR15096304,43731102,1101251233,25,489,SRX11406159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449880,SAMN20164010,simple,9606,Homo sapiens,GSM5435961,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,Naïve_rep2,HEK293T cell,HEK293T,embryonic kidney,wild type,GSM5435961
SRR15096305,36763990,927278718,25,410,SRX11406160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449881,SAMN20164009,simple,9606,Homo sapiens,GSM5435962,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_rep1,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/-,GSM5435962
SRR15096306,35029568,877136971,25,391,SRX11406161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449882,SAMN20164008,simple,9606,Homo sapiens,GSM5435963,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_rep2,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/-,GSM5435963
SRR15096307,29295487,735196298,25,337,SRX11406162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449883,SAMN20164007,simple,9606,Homo sapiens,GSM5435964,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_VEC_rep1,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/- with empty vector,GSM5435964
SRR15096308,28563921,716059836,25,331,SRX11406162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449883,SAMN20164007,simple,9606,Homo sapiens,GSM5435964,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_VEC_rep1,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/- with empty vector,GSM5435965
SRR15096309,48093796,1210008519,25,555,SRX11406163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449884,SAMN20164006,simple,9606,Homo sapiens,GSM5435965,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_VEC_rep2,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/- with METTL18 wild-type,GSM5435966
SRR15096310,46857825,1177715058,25,545,SRX11406163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449884,SAMN20164006,simple,9606,Homo sapiens,GSM5435965,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_VEC_rep2,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/- with METTL18 wild-type,GSM5435967
SRR15096311,29855546,739056266,24,342,SRX11406164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449885,SAMN20164005,simple,9606,Homo sapiens,GSM5435966,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_WTrescue_rep1,HEK293T cell,HEK293T,embryonic kidney,wild type,GSM5435960
SRR15096312,29172427,721262975,24,336,SRX11406164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449885,SAMN20164005,simple,9606,Homo sapiens,GSM5435966,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_WTrescue_rep1,HEK293T cell,HEK293T,embryonic kidney,wild type,GSM5435961
SRR15096313,45489585,1151645618,25,529,SRX11406165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449886,SAMN20164004,simple,9606,Homo sapiens,GSM5435967,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_WTrescue_rep2,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/-,GSM5435962
SRR15096314,44342669,1120980119,25,519,SRX11406165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP327799,PRJNA745343,35674491,"",SRS9449886,SAMN20164004,simple,9606,Homo sapiens,GSM5435967,GEO,SRA1257349,06,2022,Matsuura-Suzuki,HEK293T cell,METTL18KO_WTrescue_rep2,HEK293T cell,HEK293T,embryonic kidney,mettl18 -/-,GSM5435963
